x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.717271,0.1572585,-0.25681323,0.99993837,0.7313032,0.13808432,-0.24705765,0.9998629,0.71118873,0.13826157,-0.22964247,0.9998156,0.7519301,0.14745204,-0.14875707,0.99981385,0.70581263,0.14350615,-0.06773268,0.9996239,0.72561234,0.17555203,-0.21759847,0.999836,0.71244836,0.17333259,-0.1947698,0.9997773,0.7933855,0.24176349,-0.110418834,0.99976635,0.67874146,0.24448459,0.034526955,0.9996237,0.82086104,0.36584073,-0.28860775,0.9923923,0.6273082,0.34314492,-0.13242707,0.9501097,0.76411533,0.25649273,-0.48884472,0.9921545,0.66832674,0.25470266,-0.4310111,0.9652071,0.7555963,0.5069098,-0.058372688,0.9994135,0.6938478,0.5040792,0.058238655,0.99943256,0.7624725,0.69279975,-0.06338541,0.99043006,0.65227795,0.65583676,0.17315252,0.9701615,0.77623457,0.83832705,0.07904412,0.9847112,0.65603554,0.8130111,0.4351141,0.96966684,0.78193986,0.85994756,0.0808289,0.84193254,0.6696578,0.83622897,0.4544519,0.8964232,idle
0.69142306,0.15695508,-0.2489435,0.9999401,0.708773,0.1382366,-0.23658773,0.9998674,0.6876167,0.13815168,-0.22178698,0.9998236,0.72795135,0.14764701,-0.13497795,0.9998149,0.68835723,0.14329197,-0.061299037,0.99963886,0.700426,0.17540844,-0.20736551,0.9998436,0.6852101,0.17321473,-0.18795753,0.99979043,0.76824474,0.24313337,-0.06830893,0.99976057,0.657952,0.24227925,0.03479567,0.9996422,0.8012568,0.36496648,-0.24737187,0.9921123,0.59760386,0.34205207,-0.12234078,0.9528657,0.7639118,0.2620195,-0.47571284,0.99129635,0.64687896,0.2530749,-0.41558653,0.96723014,0.73106563,0.5061864,-0.043511294,0.99940795,0.6649472,0.502748,0.0433843,0.9994179,0.7434662,0.6898565,-0.025026623,0.9897385,0.6346803,0.6633914,0.11737116,0.9709642,0.7746227,0.8381465,0.12964731,0.9844427,0.6156262,0.82243955,0.35979152,0.9704378,0.7809405,0.8596961,0.13554454,0.83715105,0.6234815,0.8487238,0.3677999,0.89078414,idle
0.6870592,0.15831175,-0.2558837,0.9999433,0.702009,0.13969,-0.24003732,0.9998754,0.6817577,0.1391079,-0.23077771,0.9998347,0.72162044,0.14820212,-0.12214923,0.9998243,0.67947495,0.14352147,-0.07170955,0.9996638,0.69490874,0.1764666,-0.20737389,0.9998546,0.6811196,0.17407633,-0.19509515,0.9998062,0.75486606,0.24286881,-0.04489971,0.9997673,0.6488137,0.24172106,0.025461117,0.99965954,0.790097,0.36284462,-0.22625418,0.99177575,0.5895586,0.3410874,-0.12752466,0.95552295,0.7639871,0.26311406,-0.47992307,0.9905797,0.6316221,0.2503139,-0.41203994,0.9692185,0.7188192,0.50548446,-0.03350639,0.9994248,0.65525424,0.5024928,0.033406034,0.999417,0.7345502,0.68804127,-0.011628381,0.989925,0.6199881,0.6679801,0.10992044,0.97285473,0.76890814,0.84112006,0.12750545,0.9850949,0.60615194,0.8247902,0.34915453,0.97224027,0.769072,0.8648433,0.13235402,0.8425749,0.6191546,0.8489116,0.36711827,0.8914098,idle
0.6763799,0.16810915,-0.3500337,0.99993235,0.6920858,0.15188356,-0.33461902,0.999857,0.67202663,0.14889112,-0.32629433,0.9998177,0.7108778,0.15912494,-0.20174102,0.99979186,0.6700916,0.15064698,-0.15973833,0.99964345,0.68401563,0.1875492,-0.29677075,0.99984294,0.67020357,0.18290733,-0.28539047,0.9997985,0.7437559,0.24845201,-0.11877157,0.99972695,0.6349174,0.24303554,-0.05080726,0.9996457,0.77457297,0.36253747,-0.32817397,0.99082166,0.5779757,0.34099185,-0.233113,0.9583642,0.7603199,0.28990075,-0.6204435,0.9867059,0.6275939,0.25027236,-0.54490495,0.971312,0.7044438,0.50587857,-0.036165636,0.99930596,0.64291537,0.5016962,0.03610665,0.99935263,0.71069276,0.68696946,-0.022376595,0.9901532,0.60415405,0.6700403,0.06360935,0.9745687,0.7433117,0.8378098,0.20679204,0.98559713,0.6089893,0.8283659,0.2927187,0.9738278,0.75039876,0.8589141,0.22156847,0.8412204,0.62491816,0.85061824,0.30924982,0.8934213,idle
0.67207295,0.18121812,-0.3978772,0.999934,0.68807834,0.16565631,-0.38371217,0.99986273,0.666646,0.16155986,-0.3736632,0.9998229,0.7062269,0.16971482,-0.24994814,0.9998009,0.66338676,0.16186,-0.20216016,0.99965835,0.6792263,0.19930115,-0.34379384,0.9998523,0.66690594,0.19638716,-0.33072823,0.99980956,0.74098045,0.25872883,-0.16250637,0.9997344,0.6268763,0.2498165,-0.08962356,0.9996434,0.7746724,0.38333192,-0.37444,0.99127054,0.5711976,0.34792036,-0.28004906,0.9606856,0.75305665,0.29635903,-0.6615528,0.98721284,0.6220508,0.25466645,-0.6062833,0.9728792,0.69981563,0.5131217,-0.03816189,0.99920833,0.6360106,0.5061692,0.038081843,0.99929637,0.7004217,0.68798065,-0.025738686,0.99027413,0.60017574,0.674074,0.029744666,0.9761758,0.72408664,0.8377588,0.23436919,0.98558766,0.6075357,0.8322082,0.2833168,0.9749915,0.7265698,0.85798526,0.2517087,0.8375305,0.62268966,0.85313565,0.30181316,0.89354503,idle
0.6668194,0.19115736,-0.41562587,0.9999333,0.68330413,0.17629269,-0.3988375,0.9998653,0.66251415,0.17289194,-0.39118043,0.9998228,0.700442,0.182413,-0.25824758,0.999804,0.6591469,0.1752597,-0.22181284,0.9996619,0.6736622,0.21040156,-0.35980922,0.99986064,0.66178334,0.2073577,-0.3499667,0.99981767,0.735921,0.27362743,-0.17256615,0.99974746,0.6207959,0.2588412,-0.10958757,0.9996311,0.771227,0.4008054,-0.3831038,0.9915368,0.5648246,0.35909307,-0.3051728,0.9627035,0.75127923,0.31295595,-0.67854315,0.98746264,0.61613256,0.2624229,-0.63173497,0.9738072,0.6984274,0.51683563,-0.03665007,0.9991826,0.63272196,0.51199645,0.036565606,0.99922955,0.69358957,0.68727654,-0.061053663,0.99021405,0.5966233,0.6772926,0.033598594,0.97688264,0.7026495,0.8423702,0.18898226,0.98510134,0.6058084,0.8321101,0.3291667,0.97362006,0.70193374,0.86264324,0.2044301,0.82692665,0.6198758,0.8527069,0.354235,0.88443625,idle
0.6585127,0.20651841,-0.47638577,0.9999365,0.674585,0.19094005,-0.46517497,0.99987316,0.6549311,0.18814148,-0.4541832,0.9998322,0.69461685,0.19620794,-0.3340881,0.99981576,0.65513724,0.18915361,-0.28270352,0.9996851,0.66690665,0.22580758,-0.42256284,0.9998707,0.65488315,0.2222845,-0.40828887,0.9998301,0.73176193,0.28796855,-0.2342315,0.9997571,0.61719286,0.2694454,-0.16492786,0.999647,0.7655841,0.4168753,-0.4643736,0.991616,0.5601742,0.37060633,-0.3767125,0.9645849,0.74689656,0.32567298,-0.7746513,0.98714685,0.6108066,0.2770584,-0.72179717,0.97379166,0.69496596,0.5234402,-0.03467245,0.9991598,0.62973225,0.51885253,0.034556165,0.99922156,0.68763924,0.6918448,-0.07970118,0.9902278,0.59504116,0.68535364,-0.013869504,0.97834426,0.69366515,0.8469042,0.18976574,0.98502547,0.60780835,0.83515245,0.2874025,0.9743562,0.69023186,0.86862653,0.20723167,0.82577866,0.6250807,0.85394615,0.31168374,0.8841593,idle
0.65432703,0.22823139,-0.5208753,0.99994004,0.66942054,0.20995465,-0.5069576,0.9998813,0.6489691,0.20791143,-0.4981431,0.9998412,0.68925655,0.21349503,-0.36093122,0.9998274,0.6483052,0.20850848,-0.32009858,0.9997061,0.6626886,0.2467059,-0.46161324,0.99988073,0.6500493,0.24481636,-0.45033845,0.9998426,0.7268523,0.30314037,-0.2578173,0.9997741,0.61098087,0.2843174,-0.19873512,0.9996675,0.75807405,0.42689148,-0.50576055,0.9917129,0.5563903,0.3853613,-0.41602007,0.9665707,0.74016947,0.34386864,-0.83626604,0.987104,0.6070764,0.29295543,-0.7598589,0.9733774,0.6925519,0.5365076,-0.024478253,0.99919754,0.62543803,0.5329202,0.02438553,0.99924606,0.6828886,0.6966325,-0.10565151,0.99033564,0.5931314,0.6958967,-0.026928838,0.9799029,0.68814194,0.8480766,0.17877091,0.9851373,0.6081511,0.8341464,0.30960876,0.9747685,0.6837429,0.870035,0.19663873,0.8298205,0.624565,0.84835845,0.34010023,0.88188493,idle
0.6525881,0.22999886,-0.4887959,0.9999438,0.66856164,0.21262409,-0.4739563,0.99988925,0.64879626,0.21068457,-0.46621338,0.9998514,0.68702126,0.21619728,-0.3281836,0.99983865,0.6481011,0.2101851,-0.29206368,0.99972844,0.6607651,0.2483621,-0.4298269,0.99989027,0.64823467,0.24527211,-0.41994482,0.999855,0.7248347,0.3045786,-0.2254313,0.9997886,0.6107439,0.2870209,-0.18027598,0.9996895,0.760712,0.42365256,-0.46145982,0.9918908,0.55887794,0.3855871,-0.3953545,0.96870536,0.7386285,0.34353596,-0.78124845,0.9871966,0.6065911,0.29989904,-0.7241351,0.97387576,0.6915379,0.5397909,-0.021902272,0.99923134,0.62529075,0.5353917,0.021785047,0.99927866,0.682241,0.69688636,-0.10838832,0.99058837,0.5925881,0.6982538,-0.05024047,0.98145944,0.68819296,0.84802043,0.17363065,0.9854614,0.6087638,0.8337201,0.2734961,0.9758576,0.6833155,0.8694352,0.18908682,0.83541244,0.6249185,0.84778035,0.3004599,0.8829531,idle
0.6413251,0.29243404,-0.44352227,0.9999414,0.65710723,0.2742826,-0.42902294,0.9998829,0.6363508,0.27197987,-0.4208532,0.9998442,0.67379594,0.27711648,-0.295179,0.999824,0.633635,0.27210167,-0.25620934,0.99971455,0.64876163,0.30994812,-0.38961762,0.9998915,0.63697445,0.30840266,-0.37859145,0.9998542,0.71126163,0.36026955,-0.20422931,0.99979997,0.59772795,0.3471256,-0.1473272,0.9997018,0.7422861,0.47164357,-0.41017056,0.9909885,0.5459473,0.44347817,-0.3393473,0.9708819,0.73073614,0.43922943,-0.7112044,0.9856825,0.58943236,0.36567554,-0.6491538,0.97540575,0.68161863,0.58022267,-0.022219691,0.99926096,0.618278,0.5788931,0.021975022,0.99927586,0.67950356,0.7195104,-0.2622105,0.991186,0.5765302,0.71856153,-0.019769896,0.98275566,0.6890808,0.854202,-0.037817597,0.98640126,0.6103085,0.83691055,0.3008285,0.97700375,0.6870708,0.87537783,-0.024705157,0.8447202,0.62737674,0.85310423,0.3266121,0.88870597,idle
