x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.41795486,0.19382434,-0.2169734,0.99998707,0.4116664,0.18076085,-0.19224437,0.9999829,0.4025817,0.18318492,-0.20391881,0.9999812,0.41178876,0.19028537,-0.04199752,0.99996984,0.38308498,0.19667083,-0.12156997,0.99997926,0.42144126,0.21183519,-0.15983191,0.9999764,0.41381326,0.21261929,-0.17451994,0.99998254,0.44758958,0.28197685,0.064776435,0.9998396,0.35217375,0.28946584,-0.08577292,0.9999189,0.46811992,0.38534674,-0.0744457,0.9187312,0.33542436,0.4008112,-0.17704006,0.9553066,0.4627203,0.32056624,-0.37068027,0.93163913,0.36686403,0.3399173,-0.3169136,0.9639385,0.43642402,0.49636686,0.041212823,0.9998298,0.37192446,0.49686345,-0.041192826,0.99985206,0.47428432,0.6586398,0.092470534,0.99512297,0.349646,0.66452813,-0.032873042,0.9968645,0.49922577,0.8082887,0.2509908,0.99506885,0.31451565,0.8222217,0.111267865,0.9961306,0.49278006,0.83192253,0.25748667,0.9478117,0.3164925,0.84007734,0.11754612,0.91349345,idle
0.4221235,0.19381908,-0.19405076,0.99998534,0.4148229,0.18045951,-0.17050722,0.9999813,0.40746713,0.18315424,-0.18928045,0.99997926,0.411467,0.19017099,-0.029806074,0.9999656,0.38839743,0.1968098,-0.11667465,0.9999782,0.42557374,0.21179196,-0.13986237,0.99997395,0.41810775,0.21259281,-0.16450511,0.99998045,0.44767857,0.28209925,0.06846927,0.9998411,0.35474655,0.28919202,-0.09849129,0.99991876,0.46987477,0.3863705,-0.08111993,0.9137296,0.33609983,0.39963207,-0.24229026,0.958452,0.46786708,0.31779382,-0.35969588,0.93241453,0.37731344,0.33229,-0.34793252,0.96587086,0.43755984,0.49805626,0.046279386,0.9998312,0.37195307,0.49843857,-0.046302438,0.9998572,0.47435704,0.66106576,0.115218,0.9947376,0.35056704,0.66486424,-0.033228338,0.9969471,0.49995175,0.80852723,0.28154033,0.9949914,0.31470937,0.821022,0.10427143,0.9962674,0.49332482,0.8323614,0.29005557,0.94918126,0.3164131,0.83974993,0.11062831,0.91510177,idle
0.42464113,0.1938115,-0.15134211,0.9999833,0.41655588,0.18023701,-0.12894496,0.99998003,0.4098732,0.18320808,-0.14952198,0.99997646,0.41053373,0.19015051,0.0076800273,0.99996406,0.3921185,0.19715734,-0.089409806,0.9999771,0.4275568,0.21151671,-0.09796043,0.99997175,0.42019945,0.21248892,-0.12531097,0.99997777,0.4479801,0.2823327,0.094723,0.99984735,0.35627562,0.28831628,-0.08091043,0.99991566,0.46906716,0.38724568,-0.061936952,0.9059752,0.3378048,0.39433077,-0.2225724,0.95998085,0.47001714,0.31640813,-0.32536083,0.9326679,0.383687,0.32393837,-0.3232271,0.9649891,0.43801564,0.49923047,0.04372058,0.99983764,0.37169927,0.4997713,-0.043657113,0.9998644,0.47412795,0.661515,0.10136247,0.9946572,0.3506666,0.66452163,-0.033268575,0.9970461,0.5002626,0.8090725,0.2616387,0.9950397,0.31520146,0.8200894,0.11107317,0.9964494,0.49401933,0.8327242,0.26950783,0.950984,0.31695548,0.8394845,0.11795665,0.917867,idle
0.42574495,0.1957392,-0.12845065,0.9999728,0.41765866,0.18102542,-0.10804601,0.9999695,0.41184467,0.18458714,-0.13029644,0.99996215,0.40967235,0.19035728,0.018344764,0.9999423,0.3943772,0.19806494,-0.0814716,0.99996936,0.4277497,0.21272323,-0.07804929,0.9999529,0.42069903,0.21366695,-0.106953286,0.9999634,0.44745222,0.28240997,0.098696105,0.9998288,0.3558231,0.28652805,-0.081424825,0.99991167,0.46464825,0.38504708,-0.06360851,0.88008887,0.3388886,0.3901505,-0.19144449,0.9623614,0.46750388,0.31272525,-0.3355158,0.9215469,0.39115614,0.3199342,-0.20375457,0.96533567,0.4379651,0.50024766,0.041509233,0.9998327,0.3715269,0.5003548,-0.041433327,0.9998661,0.47346997,0.6613834,0.08805452,0.9944119,0.35050857,0.6633056,-0.034564804,0.99705863,0.5005618,0.80881065,0.24569519,0.9948916,0.315935,0.8195822,0.10182887,0.9964959,0.4942929,0.8324413,0.25368226,0.95068985,0.317587,0.8392059,0.10802875,0.91821665,idle
0.42592487,0.1960076,-0.109359145,0.99996316,0.41771483,0.1811026,-0.089404166,0.99996066,0.41201648,0.18495707,-0.11817296,0.9999513,0.4075533,0.19056934,0.029793525,0.9999217,0.3950264,0.19852544,-0.08617784,0.9999643,0.4272608,0.21283303,-0.06149552,0.99993604,0.42094797,0.21370077,-0.098538324,0.99995047,0.44316262,0.2825354,0.11055217,0.99980396,0.35414213,0.28437442,-0.115475036,0.999905,0.4620625,0.38314676,-0.045857664,0.84593886,0.3447111,0.38776404,-0.18401884,0.96443486,0.4669969,0.31311157,-0.31921238,0.90483725,0.39677265,0.3171697,-0.12318523,0.9653432,0.4375329,0.50292563,0.04733586,0.9998289,0.3713011,0.50277334,-0.04719304,0.9998659,0.47308788,0.66153294,0.09172263,0.99430674,0.35030842,0.6634797,-0.0274495,0.99706584,0.5008905,0.8090894,0.23963065,0.99477834,0.31603014,0.8197412,0.11302084,0.99652594,0.49465314,0.8326749,0.24790497,0.9512146,0.31775075,0.83925897,0.120283626,0.9177377,idle
0.4259348,0.19703834,-0.08495236,0.999952,0.41772962,0.18172303,-0.06524323,0.9999493,0.41247892,0.18562005,-0.09411508,0.99993896,0.40587315,0.19134642,0.046581864,0.9998906,0.39517087,0.19900708,-0.080921404,0.999958,0.4267102,0.21424036,-0.040218648,0.999912,0.42087573,0.21443541,-0.07746722,0.999935,0.44085717,0.28459442,0.11874999,0.9997598,0.3522268,0.2832021,-0.1057965,0.99989927,0.45815855,0.38390213,-0.03874125,0.8122071,0.34735757,0.387811,-0.15801765,0.9665938,0.46211463,0.31366298,-0.30637458,0.8884814,0.3970984,0.31836203,-0.08108548,0.966057,0.4362617,0.5045609,0.04815392,0.99982494,0.37052402,0.50494534,-0.048024446,0.99986494,0.47207505,0.6607184,0.08191736,0.99420315,0.3501817,0.6637346,-0.020189853,0.99701035,0.50118667,0.8090479,0.20260942,0.9946365,0.3161536,0.81975114,0.12952858,0.9964846,0.49483576,0.8328382,0.20765653,0.9514015,0.3178267,0.8393065,0.13811056,0.9157789,idle
0.42576307,0.19772992,-0.1061761,0.9999407,0.41787416,0.18262489,-0.08639762,0.9999378,0.41254693,0.1863813,-0.11473981,0.999926,0.40633076,0.19206116,0.031173583,0.9998541,0.39599657,0.1993203,-0.089652315,0.9999521,0.4264605,0.21456528,-0.059070546,0.9998888,0.42069978,0.21467291,-0.09555252,0.9999215,0.43992215,0.28587657,0.11635008,0.9996972,0.35232013,0.2820998,-0.121630095,0.9998948,0.4534049,0.3861216,-0.028047005,0.7670144,0.34820732,0.38696253,-0.16134958,0.9687039,0.4618391,0.31904766,-0.29375926,0.86079264,0.40311766,0.31798795,-0.06939338,0.96636546,0.43486708,0.5047862,0.051691897,0.9998163,0.36995217,0.50497216,-0.05152733,0.99986047,0.47071964,0.65976125,0.0780872,0.9941119,0.3501224,0.6614879,-0.015697075,0.9970298,0.5013815,0.80854356,0.18169443,0.99460405,0.31620538,0.81877494,0.14540555,0.99650717,0.4948898,0.83242816,0.18518654,0.9523712,0.3178292,0.8392055,0.15488274,0.9153095,idle
0.42521828,0.19843616,-0.08179357,0.99993247,0.4178439,0.1834521,-0.061594892,0.9999302,0.41219077,0.18683043,-0.09186517,0.99991703,0.40594134,0.19286798,0.054009937,0.9998326,0.39548057,0.19953604,-0.08053376,0.999948,0.4261976,0.21495514,-0.035622813,0.9998715,0.41988277,0.21490441,-0.07460971,0.99991167,0.4369789,0.28820378,0.1352395,0.9996598,0.3522765,0.28140816,-0.11075632,0.99989057,0.4482448,0.38795024,-0.005463056,0.72622484,0.35122132,0.38471085,-0.14606246,0.97051203,0.46133178,0.32339257,-0.26542854,0.83477706,0.40455145,0.3182831,-0.039232984,0.96665674,0.43190616,0.50467336,0.05293376,0.99980915,0.36771414,0.50490564,-0.05272804,0.9998558,0.46933398,0.65848136,0.058138542,0.9941347,0.35008365,0.660259,-0.02582551,0.99707115,0.50143576,0.8078,0.15743196,0.99462175,0.3162049,0.818868,0.12453971,0.99656004,0.49424428,0.8318518,0.15975657,0.9533578,0.3178175,0.83962244,0.13253449,0.91490006,idle
0.4247234,0.19904882,-0.059494585,0.99992895,0.41748175,0.18403,-0.038461115,0.9999287,0.41167408,0.18721364,-0.068620905,0.99991316,0.40501684,0.19360025,0.07824806,0.9998302,0.39496595,0.2000223,-0.056091238,0.9999473,0.4259203,0.21575193,-0.012936212,0.99986607,0.41928172,0.21562766,-0.05177638,0.9999062,0.43572074,0.28976065,0.1547655,0.99966115,0.35236353,0.28017515,-0.10589626,0.9998884,0.44747314,0.38931173,0.010010799,0.69756263,0.35345608,0.3780258,-0.112966396,0.97162163,0.46054643,0.3268328,-0.24150006,0.81988263,0.4064954,0.31857583,0.02744906,0.9653519,0.43035436,0.5045875,0.052600242,0.999813,0.36693045,0.5048251,-0.052383434,0.99985766,0.46797973,0.6581606,0.049984127,0.9942173,0.35001752,0.65952766,-0.031903915,0.99709344,0.50151575,0.80792147,0.15590616,0.9946789,0.31628713,0.8187359,0.11923764,0.99662626,0.49396223,0.8318593,0.15883198,0.9541896,0.31783587,0.839661,0.126955,0.9147599,idle
0.424438,0.19948392,-0.056154996,0.9999212,0.41692585,0.18472716,-0.034494586,0.99992365,0.4114232,0.18808232,-0.06318357,0.99990326,0.40411258,0.19481167,0.081082806,0.99982005,0.39470384,0.20174597,-0.04636527,0.9999425,0.42585143,0.21619876,-0.010527661,0.9998486,0.4190747,0.21628277,-0.047456827,0.9998891,0.43678418,0.2918129,0.15109722,0.99964696,0.35180807,0.28121963,-0.08609667,0.99987406,0.44683155,0.39090267,0.007697967,0.6702458,0.35374522,0.37721065,-0.102467015,0.9710739,0.4573039,0.32731977,-0.2264997,0.80209684,0.4020614,0.3167661,0.022125687,0.96083117,0.42974386,0.5047414,0.051045932,0.99981564,0.36553067,0.5055912,-0.050875176,0.9998584,0.46718222,0.65902966,0.048091155,0.99431217,0.3498255,0.6598006,-0.03346502,0.9970843,0.501593,0.8084852,0.16518535,0.9947504,0.31642252,0.81875265,0.12188295,0.9966627,0.49403673,0.8319281,0.16909175,0.95465446,0.31809586,0.83968365,0.12975115,0.91388685,idle
