x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.6732588,0.19831999,-0.18580297,0.99967414,0.6765749,0.17755991,-0.15589324,0.9994059,0.6604797,0.17477755,-0.19297874,0.99950933,0.66733,0.17699362,0.012054337,0.9986407,0.6318756,0.17327295,-0.17187195,0.99954444,0.67146766,0.21426316,-0.12093751,0.9994796,0.660535,0.2129681,-0.16946056,0.9996613,0.6714993,0.27850395,0.13752249,0.9983802,0.57221556,0.26423386,-0.20547798,0.9997466,0.7056277,0.3853803,-0.03652315,0.6470207,0.59144944,0.40018606,-0.27521762,0.99260783,0.70824176,0.29331067,-0.3809185,0.6892385,0.66428035,0.29178143,-0.25669426,0.98619646,0.65257305,0.5387787,0.10214277,0.9993123,0.5864581,0.5448463,-0.10221926,0.9989128,0.72348046,0.7018778,-0.043391626,0.9769326,0.55398595,0.72804046,-0.035373546,0.99352443,0.7356413,0.8889142,0.102558814,0.98081154,0.47537693,0.8744649,0.20891754,0.9916322,0.72079015,0.9184005,0.109847285,0.95394164,0.45887223,0.8937961,0.22758722,0.90459883,idle
0.6834413,0.19805275,-0.21025114,0.9997038,0.6869207,0.1741061,-0.17914651,0.9994606,0.6701337,0.17257531,-0.2107379,0.99955446,0.68201405,0.17682828,-0.0038008757,0.9987656,0.6439556,0.17197242,-0.15608135,0.99958706,0.68476975,0.21365313,-0.14279492,0.999527,0.67190826,0.2124934,-0.18402866,0.9996915,0.6958758,0.27481717,0.12442635,0.9985236,0.5909115,0.2601357,-0.17321406,0.9997601,0.7465875,0.3689154,-0.051738728,0.6753097,0.6029586,0.39477253,-0.30083105,0.99278814,0.7312311,0.27160674,-0.37747777,0.7157314,0.6672853,0.28252837,-0.3849761,0.9869776,0.68107134,0.538232,0.095908545,0.9993746,0.60969347,0.54340947,-0.095994316,0.9989997,0.74618423,0.7103852,-0.04996576,0.97845346,0.5622369,0.72509444,-0.0735317,0.99384457,0.7390584,0.89251333,0.12083682,0.9819864,0.48425993,0.8723868,0.15540129,0.9917301,0.71968865,0.9202316,0.13112193,0.956161,0.4662413,0.8859021,0.17223617,0.90160185,idle
0.6868943,0.17757605,-0.27207816,0.9997308,0.69402945,0.15567894,-0.23845153,0.99951005,0.6715407,0.15503293,-0.25666818,0.9995959,0.6939015,0.1638854,-0.053289253,0.9988786,0.65104043,0.15996343,-0.14399149,0.9996259,0.6911557,0.19668517,-0.20272668,0.9995706,0.67451125,0.19807956,-0.22648796,0.99971974,0.72009385,0.25470522,0.065944634,0.99864846,0.60012597,0.25694564,-0.1335719,0.9997739,0.77566075,0.34681472,-0.121460356,0.70385724,0.5935906,0.38515663,-0.32250246,0.9932216,0.7388081,0.25286585,-0.44211453,0.7416176,0.65475345,0.27846697,-0.51373327,0.9879718,0.70378554,0.5355873,0.07183646,0.9994293,0.6302791,0.53333503,-0.07191709,0.9990818,0.7527678,0.71041113,-0.047402166,0.97983885,0.5768169,0.71183956,-0.061847944,0.9941789,0.73592967,0.89316446,0.13307407,0.9830465,0.5108488,0.8662515,0.1599185,0.9920752,0.71700907,0.92227083,0.15457945,0.9577364,0.503391,0.8793343,0.17944327,0.90233046,idle
0.6751381,0.16335556,-0.28590775,0.999752,0.685877,0.14169289,-0.2619379,0.99954724,0.66176045,0.14187154,-0.26251155,0.9996264,0.6951383,0.14921968,-0.101277925,0.9989703,0.64773947,0.14897673,-0.105946705,0.9996552,0.6824005,0.18351077,-0.2236847,0.9996038,0.6668843,0.1844957,-0.22509858,0.9997398,0.73754567,0.24203251,-0.006692157,0.99874204,0.61049676,0.2511732,-0.049929213,0.99977297,0.7984308,0.3348368,-0.21079476,0.732001,0.58168024,0.36815438,-0.25469747,0.9927397,0.7326975,0.23187518,-0.48661533,0.76584905,0.6383046,0.26242164,-0.4954955,0.9876639,0.71409136,0.5238963,0.014147143,0.9994681,0.63691926,0.5202841,-0.014173796,0.999157,0.75297266,0.71102947,-0.023127643,0.98145777,0.586139,0.7022772,-0.03777071,0.9946053,0.73478806,0.89343584,0.1693034,0.98424083,0.55042666,0.86624736,0.19890621,0.9925972,0.7166124,0.9207189,0.18305321,0.95725113,0.55652654,0.8832155,0.21442,0.90612787,idle
0.6718838,0.15363409,-0.3289217,0.99976856,0.68498707,0.12997152,-0.30992573,0.9995739,0.6578676,0.13383397,-0.29951262,0.99964917,0.6991808,0.13665667,-0.17385168,0.9990419,0.64703864,0.1437032,-0.12491777,0.9996707,0.6818298,0.17378615,-0.27639425,0.9996247,0.6643185,0.1779252,-0.26227242,0.9997459,0.74948007,0.23240536,-0.10138674,0.99875915,0.6182863,0.24479096,-0.05767525,0.99975353,0.812395,0.32626143,-0.3285715,0.75822383,0.57644475,0.35063308,-0.2588586,0.9923302,0.7273471,0.22905919,-0.57080346,0.78782135,0.6286077,0.22989564,-0.5228597,0.9877927,0.72458327,0.51751786,-0.016915914,0.9994881,0.6444765,0.5130007,0.016854867,0.99922407,0.75001657,0.7115118,-0.012018293,0.9826541,0.6017652,0.69698584,-0.0018370195,0.99495995,0.73644674,0.8959976,0.16464424,0.98516154,0.5900396,0.8714238,0.20141158,0.9930797,0.7202394,0.9215481,0.17354614,0.9560274,0.60443246,0.90031326,0.21349418,0.91158646,idle
0.66749823,0.15318403,-0.30069298,0.9997837,0.6809736,0.12841481,-0.28893894,0.9995982,0.65409726,0.13396616,-0.27382714,0.99966925,0.6976674,0.13251449,-0.18276002,0.9991127,0.64764017,0.14345163,-0.10135404,0.9996765,0.6794659,0.17332926,-0.25766936,0.99964756,0.6618117,0.1769509,-0.23774727,0.99974924,0.75410855,0.22252008,-0.13446347,0.9988397,0.6265248,0.24566023,-0.0070355274,0.9997397,0.8121082,0.31529644,-0.3453739,0.7821061,0.5736594,0.34582406,-0.19697392,0.9914642,0.71177864,0.23548715,-0.5407818,0.8081586,0.6226164,0.23204555,-0.4871645,0.98786527,0.7300453,0.5168123,-0.038898118,0.99951214,0.64847994,0.51160604,0.03878375,0.9992818,0.74991983,0.71862996,-0.006880997,0.9840609,0.6126794,0.69652015,0.09132295,0.9952725,0.74747384,0.8953936,0.17556195,0.98624426,0.6036204,0.8736582,0.3095619,0.99354285,0.7351216,0.9201286,0.18356122,0.9559321,0.6215762,0.90766376,0.32287046,0.91751343,idle
0.6617856,0.15702139,-0.28739044,0.9997935,0.67758584,0.131811,-0.25009164,0.9996091,0.6531868,0.13735744,-0.230916,0.99967915,0.69656265,0.13473299,-0.16510339,0.99916303,0.6515271,0.14479366,-0.057537157,0.999667,0.67422503,0.17554852,-0.21901253,0.9996616,0.6575183,0.17855945,-0.19093685,0.999742,0.7531632,0.21974054,-0.14764278,0.9989276,0.6317441,0.24623045,0.041491345,0.9997325,0.8032559,0.30950204,-0.3615705,0.80362415,0.5808195,0.34689483,-0.1390849,0.9890852,0.7017053,0.24715279,-0.5311818,0.8265252,0.61144835,0.23558004,-0.44490352,0.9873405,0.73038685,0.52025163,-0.058473833,0.99952126,0.65216196,0.5126091,0.05829429,0.99933064,0.75532925,0.7260934,-0.033838373,0.98535913,0.5985274,0.6926409,0.054661196,0.9955507,0.7672436,0.8935365,0.18752536,0.98720104,0.59776336,0.87461185,0.2971832,0.99392325,0.7602982,0.91832393,0.20006803,0.9517192,0.6194374,0.90899456,0.31183198,0.923056,idle
0.65985477,0.15949985,-0.20494759,0.99980384,0.66948503,0.13523915,-0.21635601,0.9996254,0.6476847,0.1395575,-0.17681025,0.9996905,0.6890795,0.13797933,-0.16634664,0.9992234,0.6509048,0.14536467,-0.024705378,0.99966174,0.6654577,0.17807232,-0.18975326,0.9996767,0.65090007,0.18038371,-0.1366184,0.9997308,0.74739844,0.2200533,-0.16280904,0.9990163,0.63636017,0.24660426,0.08975536,0.9997309,0.78329235,0.3175786,-0.34060213,0.8229807,0.59488094,0.34859532,-0.053846896,0.9828478,0.6908562,0.25549108,-0.4952026,0.8431781,0.60349643,0.23671587,-0.38793746,0.9862163,0.72958785,0.52313197,-0.07873502,0.99951833,0.6544193,0.51416886,0.0785244,0.99937224,0.7517971,0.7268926,-0.03670387,0.9866865,0.58743596,0.6915721,0.031356834,0.99574375,0.78206646,0.892746,0.21054764,0.98818934,0.5838822,0.87440777,0.28135735,0.99420464,0.78398263,0.90972346,0.22665557,0.9478382,0.60303116,0.90795064,0.30219403,0.9281245,idle
0.6359695,0.16075824,-0.16900821,0.99979633,0.64792377,0.13586041,-0.19085142,0.99962276,0.6356836,0.14100043,-0.15092586,0.9996736,0.68006337,0.13984017,-0.18479624,0.9992698,0.6441709,0.14598708,-0.020198695,0.999599,0.64881426,0.17898709,-0.16609673,0.9996651,0.6414883,0.18113925,-0.112993166,0.9996571,0.733649,0.21934621,-0.20314884,0.9990934,0.6385912,0.24657162,0.10452143,0.9997011,0.76340675,0.3264524,-0.3308214,0.8400023,0.6105794,0.36172614,-0.0273445,0.95169574,0.6601122,0.2624524,-0.38485742,0.85729355,0.5996555,0.26028767,-0.3611278,0.9772905,0.72625244,0.5232026,-0.10032189,0.9994956,0.6575871,0.5148188,0.10018636,0.9993935,0.74343884,0.7239675,-0.027630424,0.9878216,0.59055316,0.6896311,0.1081691,0.9948755,0.79356134,0.8920992,0.18406996,0.98891675,0.56574357,0.87302536,0.2481812,0.99393445,0.8034748,0.9083281,0.19373284,0.940094,0.58078223,0.90935034,0.29220554,0.93100554,idle
0.61252576,0.17049357,-0.1441717,0.99981016,0.6256362,0.14588757,-0.16549252,0.999653,0.6134209,0.15186483,-0.12458774,0.9996932,0.65981877,0.14501296,-0.17138575,0.99933684,0.6411367,0.1519325,0.008735964,0.9996087,0.6269876,0.18874174,-0.1428258,0.9996869,0.62001145,0.19182393,-0.08906005,0.99966055,0.72235423,0.22161852,-0.20890471,0.9991757,0.6332454,0.24965003,0.13408469,0.99967676,0.71150005,0.3397322,-0.36315706,0.8553296,0.61521846,0.3646563,-0.0157456,0.90368706,0.62723494,0.26909283,-0.3840753,0.87011755,0.5935625,0.26910076,-0.34681574,0.9516738,0.7193454,0.52934194,-0.1098664,0.99952346,0.65587664,0.525992,0.10972422,0.9994373,0.7383629,0.7241263,-0.025399808,0.9889037,0.59436005,0.6900247,0.11872065,0.99430364,0.80053836,0.8912781,0.13601565,0.9897908,0.5555663,0.87302846,0.23790225,0.9940085,0.8145641,0.9084762,0.14256707,0.93622446,0.566321,0.9125279,0.25980592,0.9340173,idle
