x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.7356235,0.18236145,-0.12914519,0.9999149,0.74631304,0.16139515,-0.14250699,0.99987954,0.73138434,0.1659862,-0.11111927,0.9997848,0.7656798,0.16153647,-0.12625554,0.99987835,0.73256254,0.16779515,0.015017624,0.99962676,0.7464924,0.19581178,-0.11749345,0.99977523,0.73629653,0.19857338,-0.076831415,0.9995963,0.8163869,0.22708288,-0.13809071,0.9997094,0.73242056,0.25050262,0.12924857,0.9994799,0.7809339,0.31404883,-0.2599414,0.98002297,0.70136625,0.32719868,0.040628415,0.811047,0.73502815,0.22738622,-0.29300946,0.97868407,0.6989764,0.23939027,-0.22222587,0.9038579,0.7921104,0.4847379,-0.07711314,0.999479,0.73871523,0.48098463,0.07727683,0.9996622,0.78896534,0.65552455,-0.11298789,0.9935233,0.7074343,0.6329922,0.093593776,0.98842347,0.80500585,0.8251466,-0.053003788,0.99229145,0.70745313,0.8003889,0.19745353,0.9911335,0.80896866,0.8546626,-0.055690236,0.9424893,0.71997315,0.82943696,0.19954854,0.95977414,idle
0.733225,0.18191533,-0.110092625,0.9999188,0.74275,0.1613701,-0.12683173,0.9998859,0.7305974,0.16592744,-0.09297149,0.99979657,0.7638668,0.16119343,-0.12644774,0.9998845,0.73490214,0.16699614,0.024659604,0.9996483,0.7439021,0.19503336,-0.10466299,0.9997818,0.73579746,0.19782715,-0.060984273,0.99960893,0.8159135,0.22554766,-0.14138842,0.9997169,0.7358476,0.24754925,0.12743106,0.9994873,0.7779518,0.30957633,-0.2591551,0.9799562,0.69656914,0.32592776,0.022493329,0.8053287,0.733611,0.22261329,-0.27925777,0.9785136,0.6987443,0.23869963,-0.25957108,0.9035055,0.79234594,0.48362643,-0.08114247,0.9994906,0.7386633,0.4801621,0.081295535,0.99966997,0.7886076,0.6526616,-0.13266928,0.9934071,0.70881623,0.6332122,0.10482667,0.9876416,0.80440664,0.82648396,-0.09906095,0.9921451,0.7116462,0.80007195,0.22666657,0.99054265,0.8080654,0.85568595,-0.1039243,0.9441487,0.72276413,0.8294517,0.23092684,0.959309,idle
0.7332607,0.18189923,-0.090557605,0.99992263,0.7421466,0.16177867,-0.10543816,0.99989134,0.73147357,0.16598372,-0.073570184,0.99980694,0.7632436,0.16123705,-0.10581807,0.9998881,0.7365613,0.16699797,0.03845533,0.99966407,0.7431683,0.19503316,-0.08511572,0.9997832,0.73621297,0.19780986,-0.0439428,0.99961466,0.81721526,0.22519907,-0.12500523,0.99972314,0.7353169,0.2442941,0.12681523,0.9994951,0.77747554,0.30961147,-0.21748266,0.9797881,0.6952642,0.32582182,0.013894829,0.806276,0.7318419,0.22057149,-0.21739066,0.9786209,0.6989601,0.23808771,-0.26023585,0.9055058,0.79469997,0.47720447,-0.0807157,0.99949723,0.7409698,0.4764104,0.08085687,0.9996745,0.78798,0.6462803,-0.1562652,0.9935146,0.7112231,0.6315531,0.09294691,0.9871818,0.80392206,0.8264943,-0.14661275,0.9922595,0.70968217,0.80057734,0.18156502,0.99033546,0.807789,0.85527396,-0.15355535,0.945343,0.7207933,0.8304821,0.18272892,0.9584963,idle
0.73158664,0.18173452,-0.07735486,0.99992085,0.74020326,0.16180786,-0.093087085,0.9998867,0.7302114,0.16585305,-0.060580462,0.99980474,0.7614657,0.16096933,-0.100063145,0.9998779,0.73724884,0.16640058,0.046704236,0.9996598,0.74153364,0.1948249,-0.07479289,0.99975234,0.7352612,0.19748802,-0.032812692,0.99957764,0.8165808,0.22520047,-0.124957144,0.99971193,0.73479867,0.24288586,0.12689921,0.9995032,0.77693397,0.30962023,-0.2260154,0.9795711,0.6956926,0.32583892,0.011181659,0.8031603,0.73070055,0.22015229,-0.23224744,0.97862774,0.69705164,0.23872672,-0.25694865,0.9057132,0.79299873,0.47619468,-0.07834431,0.99947983,0.73887044,0.4746815,0.07841875,0.9996767,0.78691304,0.64315987,-0.13718453,0.9929677,0.710729,0.62936944,0.01722333,0.98625594,0.8037964,0.8245564,-0.09533967,0.99145067,0.70824313,0.7984086,0.1011498,0.989865,0.8077399,0.85171586,-0.09944063,0.9411555,0.7198721,0.82827777,0.102832004,0.95711875,idle
0.73118174,0.18115447,-0.013667369,0.99992365,0.73932934,0.16163848,-0.028933506,0.9998907,0.7302015,0.16542746,0.0027384674,0.9998131,0.7611538,0.16040426,-0.04364469,0.9998803,0.7388566,0.16513963,0.098243676,0.99967253,0.74144423,0.1937178,-0.014778103,0.9997455,0.7356907,0.19631758,0.025917038,0.9995715,0.8157384,0.22521761,-0.07661843,0.9997129,0.73765415,0.24270004,0.16784738,0.9995053,0.7704644,0.3097787,-0.15177773,0.9793051,0.69755125,0.32608163,0.060891848,0.79198444,0.7306161,0.22022606,-0.116985366,0.9785412,0.69473255,0.2427838,-0.172769,0.9038657,0.79153407,0.4665905,-0.076451845,0.999497,0.7385802,0.4659244,0.076553024,0.9996836,0.7862905,0.6309551,-0.17769237,0.99186003,0.7100334,0.6272261,0.026464164,0.9816323,0.8032382,0.82270974,-0.1784527,0.9900353,0.7065971,0.79917175,0.083645195,0.98769253,0.8074005,0.8516328,-0.18484548,0.93664473,0.7190577,0.8293018,0.082579546,0.9521559,idle
0.73067653,0.17995955,-0.032931585,0.99992687,0.7390069,0.16132624,-0.049265556,0.9998952,0.7304269,0.16460681,-0.0164762,0.9998229,0.7613958,0.16002728,-0.066411726,0.9998835,0.7407659,0.1642223,0.080865,0.99968636,0.7410285,0.19239518,-0.03525088,0.9997423,0.7354744,0.1949047,0.00710048,0.99956685,0.81551695,0.22517543,-0.097743735,0.9996975,0.74186116,0.24289991,0.15441743,0.99948424,0.76860684,0.30959755,-0.17812848,0.978348,0.6994545,0.3273625,0.047823202,0.78089875,0.73040855,0.22122563,-0.15173116,0.97708786,0.6970261,0.24427591,-0.19400433,0.9007783,0.79094446,0.4681678,-0.07719359,0.9995064,0.7399085,0.4673567,0.07727271,0.9996859,0.7856208,0.63178134,-0.1824022,0.99193174,0.70896065,0.62773705,0.05600993,0.9804685,0.802745,0.819694,-0.18664202,0.9901907,0.70577776,0.79928285,0.1278569,0.98720104,0.8071737,0.84831256,-0.19405614,0.93751454,0.7182204,0.82953674,0.12727472,0.95082444,idle
0.7301841,0.1799547,-0.034477048,0.99992985,0.73847395,0.16145809,-0.053633325,0.9998998,0.7302709,0.16464807,-0.017501766,0.99983215,0.760602,0.16002928,-0.07998909,0.9998873,0.74193347,0.16417252,0.07976869,0.9996998,0.74047124,0.19237041,-0.041013364,0.9997402,0.7355698,0.1949314,0.0055589285,0.99956757,0.8145798,0.22531527,-0.1217671,0.9996917,0.7463114,0.24405274,0.16435584,0.9994746,0.759469,0.31058753,-0.20021912,0.978112,0.70061445,0.32998878,0.05990104,0.76530826,0.725659,0.2231985,-0.15740407,0.97614855,0.697752,0.24807574,-0.183019,0.8946376,0.79071814,0.46931618,-0.086591646,0.99948704,0.7403114,0.4685705,0.086598784,0.99968356,0.78471947,0.63432086,-0.16090946,0.991484,0.70820963,0.62823933,0.04815544,0.97916013,0.80159444,0.8194886,-0.13882424,0.99000347,0.7052465,0.806144,0.107083164,0.9867322,0.8070239,0.8475392,-0.14497916,0.9367815,0.7183529,0.83636725,0.10615629,0.9498666,idle
0.7299863,0.17887956,-0.022225292,0.99992687,0.7383222,0.16126104,-0.04174142,0.9998977,0.73091495,0.16406636,-0.0058384077,0.99982935,0.7603013,0.1599216,-0.07360118,0.9998848,0.74377483,0.16335945,0.08812838,0.99969167,0.7402993,0.19164069,-0.029770026,0.9997092,0.7358891,0.19362178,0.0166556,0.99951595,0.81470525,0.22627331,-0.11898595,0.9996712,0.7488164,0.24484086,0.16741809,0.9994236,0.7541259,0.31067646,-0.19334674,0.97683084,0.7044524,0.32992375,0.0649577,0.73236173,0.7234038,0.223212,-0.14112863,0.97353125,0.6998733,0.25252178,-0.1742257,0.8759758,0.7899925,0.46783864,-0.08514662,0.9994742,0.7403549,0.46687093,0.08517989,0.9996773,0.7845379,0.63465154,-0.17267756,0.99121964,0.7078798,0.62731034,0.046391577,0.9776607,0.80109215,0.8186709,-0.1601331,0.9895872,0.7046952,0.80618113,0.10115854,0.9860305,0.8069463,0.8465355,-0.1659961,0.9332289,0.7180215,0.8361233,0.09946041,0.9478555,idle
0.72974974,0.17834803,-0.032358933,0.999926,0.73807925,0.16126588,-0.05518481,0.99989915,0.7311567,0.16392978,-0.01634993,0.99983096,0.7599586,0.15994804,-0.09801925,0.9998868,0.7465886,0.16323036,0.07525428,0.99968636,0.7401464,0.1915657,-0.04427392,0.9996931,0.73623025,0.19307819,0.005084917,0.9994838,0.81446636,0.22942574,-0.16624972,0.99965286,0.76003486,0.24496715,0.16259214,0.9993596,0.7424454,0.3197613,-0.20144546,0.9750892,0.7090622,0.32988027,0.06546882,0.68757176,0.71527445,0.22829302,-0.08208625,0.9690313,0.7011562,0.25672308,-0.15914203,0.83493614,0.78973776,0.46798438,-0.09061132,0.99942416,0.7415063,0.46699506,0.09066251,0.99966395,0.7844809,0.63489586,-0.16260095,0.9907157,0.70778674,0.62754023,0.049109023,0.9767361,0.80099857,0.821043,-0.14465447,0.9893344,0.7046517,0.8060776,0.12803459,0.98601013,0.80731136,0.8488047,-0.15368624,0.93253607,0.7177025,0.8365155,0.12776008,0.947919,idle
0.72971475,0.17839068,-0.02780642,0.99991566,0.73790514,0.16153778,-0.05430587,0.99989355,0.7314862,0.16393949,-0.013700491,0.9998166,0.75976396,0.15996632,-0.109921835,0.99988604,0.7473009,0.16317393,0.07129455,0.9996551,0.7401122,0.19196144,-0.044532146,0.9996616,0.7368822,0.19311905,0.0075117103,0.9994061,0.8124196,0.23013608,-0.18689972,0.9996582,0.76465523,0.2445555,0.17382197,0.9992611,0.73864585,0.32543632,-0.20516162,0.9735115,0.7169494,0.32970855,0.110062815,0.6342523,0.71219313,0.23018119,-0.05896526,0.96503776,0.70161736,0.25475648,-0.07536887,0.78244007,0.78931296,0.46861598,-0.100530945,0.9993577,0.74381673,0.46740976,0.100564465,0.9996468,0.78121996,0.6450989,-0.1286098,0.9904068,0.7061843,0.627703,0.065808825,0.97576505,0.8009836,0.8262448,-0.06194365,0.98913866,0.7035348,0.80649066,0.13741466,0.9860819,0.8085828,0.852984,-0.061685126,0.9299542,0.7160719,0.8387947,0.13760433,0.9481641,idle
