x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.44286114,0.22360493,-0.33306617,0.99985397,0.4518992,0.20837815,-0.2990225,0.9996668,0.4344719,0.1961205,-0.32017642,0.9995713,0.4452302,0.21167468,-0.100415766,0.99961233,0.40708652,0.19389036,-0.23420212,0.99931866,0.43985105,0.24262948,-0.25866,0.9997763,0.42805308,0.23727326,-0.28894776,0.9996657,0.43846378,0.32399237,0.033689618,0.9999038,0.3348748,0.2875061,-0.20112415,0.99979514,0.4430833,0.42867878,0.044694252,0.94555527,0.30025342,0.40488842,-0.32633966,0.95867777,0.4744485,0.4884428,-0.20610194,0.94956094,0.40942422,0.4248713,-0.48311934,0.9353697,0.4189034,0.5731667,0.0754242,0.99977595,0.34968928,0.5754631,-0.075496696,0.9998094,0.46972036,0.7453541,0.14550665,0.99165475,0.32665366,0.74712205,0.012794073,0.9979942,0.4970975,0.9086538,0.35954514,0.99362046,0.2870299,0.9117221,0.24724436,0.99701583,0.47732228,0.93838704,0.3714979,0.9601894,0.2806359,0.9293083,0.26298082,0.9480821,idle
0.44085822,0.22236201,-0.32926285,0.99986506,0.44813746,0.20671624,-0.29339153,0.9996918,0.43197855,0.19520964,-0.32191226,0.9996097,0.43914247,0.21146618,-0.092749305,0.99961925,0.40391093,0.19093429,-0.23879334,0.99938375,0.43707347,0.24204716,-0.25287864,0.9997878,0.42592707,0.23720431,-0.29157865,0.99969655,0.4294718,0.321236,0.054759778,0.99988043,0.33162132,0.27977774,-0.22354496,0.9998132,0.4283821,0.42750257,0.080188364,0.89628184,0.29889005,0.39559782,-0.35930756,0.9625302,0.46076718,0.48788956,-0.14847983,0.93300706,0.4094084,0.42423424,-0.49408117,0.9411851,0.41172305,0.56851107,0.08504515,0.9997736,0.34312662,0.5717081,-0.08512396,0.9998132,0.45932698,0.74331284,0.1471577,0.9920662,0.32270125,0.74675614,-0.029463748,0.9980609,0.4698577,0.9057989,0.40423527,0.9939526,0.28566283,0.9131687,0.1941756,0.99714506,0.45027217,0.93713945,0.4210914,0.9628551,0.27819303,0.930393,0.20930049,0.94929665,idle
0.43769875,0.22162232,-0.30029333,0.9998723,0.44333124,0.20600766,-0.26529366,0.9997086,0.42925137,0.19480775,-0.2956986,0.99963987,0.43274173,0.20910944,-0.0699258,0.9996084,0.40120667,0.18742119,-0.22034971,0.9994391,0.4329005,0.24152854,-0.22544584,0.9997926,0.4227584,0.23649584,-0.2669319,0.9997226,0.41996795,0.3128022,0.08024095,0.9998452,0.3319443,0.27140316,-0.20792265,0.9998283,0.41437,0.42440018,0.1043302,0.8374332,0.29945454,0.38988644,-0.34275147,0.96593505,0.45005602,0.4757382,-0.11665757,0.90965456,0.40852103,0.42097038,-0.48494697,0.9462587,0.4040014,0.5624092,0.09224337,0.99975574,0.3372644,0.56360203,-0.09224413,0.999804,0.44994497,0.7296983,0.13522303,0.99197114,0.32058987,0.7419707,-0.06881212,0.9980562,0.43699384,0.89776117,0.36439064,0.99392074,0.28650624,0.91284806,0.1402709,0.99717075,0.41858846,0.92949075,0.37963128,0.96453434,0.2783308,0.92992944,0.15330921,0.948825,idle
0.4350598,0.22122055,-0.28727445,0.99987423,0.439046,0.20466596,-0.2533655,0.99971324,0.4266325,0.19469449,-0.28487188,0.99965906,0.42597908,0.20457883,-0.06498438,0.99958414,0.39873457,0.18497762,-0.21639094,0.9994826,0.4291783,0.23958637,-0.21487036,0.99979097,0.4201843,0.23479243,-0.25760537,0.9997439,0.41180784,0.30734378,0.07813348,0.99980223,0.32978305,0.26549208,-0.21398655,0.9998406,0.40737253,0.4235628,0.098002456,0.78991085,0.2999339,0.3867744,-0.34352845,0.96907175,0.442101,0.46863052,-0.122572675,0.89317393,0.4067255,0.41798565,-0.4756492,0.9509707,0.395535,0.55720687,0.09481207,0.9997021,0.33058393,0.5571575,-0.094729945,0.9997652,0.44240633,0.7206002,0.05531506,0.9915528,0.31803465,0.73867375,-0.084621,0.99793184,0.40551457,0.8842795,0.29617178,0.99288595,0.28798097,0.91267,0.11791366,0.9970354,0.38991085,0.9124372,0.3127322,0.9643541,0.27990237,0.9300348,0.1293606,0.9470205,idle
0.432036,0.22069713,-0.25479877,0.9998578,0.43562207,0.20443252,-0.22361442,0.99967444,0.42474943,0.19419987,-0.25824904,0.9996507,0.4205143,0.20150349,-0.05076897,0.99948406,0.3978126,0.18429324,-0.21214983,0.9995004,0.42464867,0.23891689,-0.18746603,0.9997605,0.4171629,0.23429659,-0.23389395,0.99975395,0.4034207,0.3002887,0.09073027,0.99971396,0.329338,0.2619273,-0.22861716,0.9998506,0.40115494,0.4218487,0.119054355,0.7424782,0.30133256,0.38594523,-0.351245,0.9719399,0.43563765,0.46460295,-0.08002678,0.8683798,0.4054698,0.41278812,-0.4646321,0.95530784,0.38790464,0.55371404,0.10147772,0.9995285,0.32563275,0.5515034,-0.10134878,0.9996529,0.43267623,0.7183608,0.015421577,0.99027026,0.31697097,0.73315513,-0.12013878,0.9976206,0.3741098,0.8696717,0.26412255,0.98858047,0.28721723,0.91387856,0.039155535,0.99659014,0.34330374,0.8959545,0.28236005,0.96082616,0.27908424,0.93292797,0.046048038,0.9444355,idle
0.4299709,0.22056323,-0.1876491,0.999815,0.43275198,0.20332418,-0.16160733,0.99958265,0.42322007,0.19389026,-0.19926587,0.99959576,0.41625553,0.19825983,-0.016514672,0.99932086,0.3962168,0.18387976,-0.18987282,0.99946207,0.42229152,0.23776157,-0.12992422,0.99970436,0.41527978,0.23336627,-0.17983809,0.9997486,0.39684615,0.29787675,0.10825928,0.9996496,0.3264654,0.26063314,-0.22365665,0.99985796,0.3980913,0.4218643,0.13330951,0.70592976,0.30298093,0.3863395,-0.3390978,0.97441787,0.43141693,0.46183258,-0.05667483,0.8457434,0.40497357,0.40939668,-0.40284595,0.9590329,0.3818859,0.55013,0.102384806,0.99922025,0.32061678,0.5454994,-0.10222995,0.9994556,0.4211336,0.7167518,-0.0037269518,0.9879332,0.31814367,0.7266813,-0.16375205,0.9968485,0.34807327,0.86023,0.22903478,0.9787063,0.28510678,0.9158594,-0.05757587,0.9953485,0.3162806,0.8843428,0.24640319,0.95099705,0.27567166,0.9360817,-0.055172097,0.9381036,idle
0.42823967,0.22021122,-0.12586787,0.9996145,0.43064412,0.20301464,-0.10431689,0.999072,0.42228398,0.19367813,-0.14619085,0.9992367,0.41300583,0.19663233,0.01350825,0.9983615,0.39581746,0.18392546,-0.17593995,0.9990318,0.42036676,0.23700045,-0.077862404,0.99938947,0.41411042,0.23297103,-0.13277419,0.9996231,0.38980335,0.29521006,0.12631252,0.9994708,0.3250413,0.2607803,-0.23001572,0.999856,0.39115107,0.42227677,0.14974187,0.65972465,0.3053894,0.3879971,-0.3040063,0.97635335,0.4265113,0.460454,-0.03014856,0.80600756,0.40502137,0.40621552,-0.31773227,0.9617294,0.3751759,0.54940623,0.105917014,0.99828756,0.31734818,0.5437578,-0.105781436,0.99888426,0.40370315,0.71931297,0.029332275,0.98122966,0.31468514,0.72700816,-0.13520408,0.9948768,0.32333058,0.8609212,0.27436143,0.9601892,0.28109697,0.9156238,-0.027038898,0.992733,0.29777873,0.883987,0.2920523,0.93379194,0.27063873,0.935729,-0.02346699,0.9300899,idle
0.42704266,0.22051413,-0.08739485,0.99935615,0.42933685,0.20254007,-0.06677534,0.99841595,0.42146793,0.1944342,-0.11034664,0.99878794,0.41096693,0.19590476,0.041764446,0.9968459,0.39538684,0.18447448,-0.15546142,0.99845254,0.4190754,0.23682493,-0.0428356,0.99887216,0.41335887,0.23283531,-0.099783376,0.99939585,0.3854884,0.29153287,0.15027833,0.9992363,0.3245316,0.26102284,-0.22263694,0.9998539,0.38077882,0.42119333,0.1809716,0.60967666,0.30813617,0.38856944,-0.275502,0.97809833,0.42187732,0.4552882,0.007936747,0.76037395,0.4077227,0.40396506,-0.27821764,0.9642963,0.3711416,0.54777086,0.1126913,0.99721855,0.31651482,0.5414385,-0.112567045,0.9983317,0.38223493,0.72126895,0.08394433,0.96883094,0.31418508,0.72731584,-0.1245098,0.9923234,0.30317432,0.8664646,0.29054904,0.9412926,0.28102642,0.91751987,-0.022810955,0.99003416,0.28460962,0.8865997,0.3065996,0.91844314,0.27044725,0.938802,-0.019649323,0.9248748,idle
0.42699915,0.222546,-0.05909134,0.99882376,0.42831188,0.2028256,-0.03983734,0.9971163,0.42141908,0.19705252,-0.08572219,0.9978359,0.40778905,0.19588275,0.058223017,0.9934067,0.39552757,0.18728131,-0.14910191,0.99722904,0.41806608,0.23845954,-0.018197155,0.9975974,0.41337293,0.23434512,-0.07829575,0.99869734,0.3763396,0.28884745,0.17638762,0.9989601,0.32523674,0.26191336,-0.2250863,0.9998492,0.36686411,0.42082345,0.23752168,0.5599767,0.30953428,0.39122698,-0.27144355,0.97941405,0.41450495,0.45559588,0.102663636,0.7151253,0.4079426,0.40377897,-0.2660789,0.96630764,0.36350796,0.54658985,0.12460633,0.9960723,0.31562895,0.5397302,-0.12451968,0.9978115,0.35917264,0.7223634,0.1505827,0.9404574,0.31624764,0.72780097,-0.1259283,0.98766077,0.29104388,0.8690117,0.3034919,0.9242392,0.2804549,0.9205735,-0.022705795,0.986501,0.2724537,0.8912886,0.30989248,0.907831,0.26854128,0.94270825,-0.018899688,0.92092323,idle
0.42772865,0.22307946,-0.046172414,0.9976932,0.42858505,0.20280448,-0.027605277,0.99458206,0.4220596,0.19810438,-0.07322183,0.9960198,0.4073588,0.19556515,0.06575887,0.98670363,0.3960417,0.18881904,-0.14039183,0.9950058,0.41853935,0.23913561,-0.0068748444,0.99448603,0.413971,0.23510227,-0.066489525,0.99699193,0.37294286,0.2854683,0.18754551,0.99837035,0.3267294,0.26260322,-0.22247458,0.9998317,0.3544177,0.41816565,0.26436087,0.5129529,0.31373447,0.3914713,-0.27080578,0.98041797,0.40866542,0.4515274,0.1660994,0.66313314,0.40779358,0.40225896,-0.26165348,0.96772236,0.35739252,0.54362434,0.1255281,0.99372125,0.3149993,0.5370728,-0.12542865,0.9967552,0.34474415,0.72258794,0.16853362,0.9120132,0.31768128,0.72824407,-0.12069999,0.98347104,0.29082766,0.8709338,0.29686058,0.90862477,0.2790475,0.9201478,-0.035065714,0.9826774,0.27413037,0.89344615,0.30133736,0.89691687,0.26621017,0.94208556,-0.032794975,0.9167658,idle
