x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.39862868,0.20835885,-0.17413826,0.9997218,0.39872178,0.18864137,-0.15171342,0.99947333,0.3844982,0.18706323,-0.1802979,0.9996077,0.38706774,0.18916933,-0.015274721,0.99914783,0.35769266,0.1902095,-0.13905564,0.9996977,0.3969539,0.22526336,-0.11831363,0.99958354,0.38744837,0.22424306,-0.15383658,0.999715,0.38614208,0.29011357,0.13930167,0.99717623,0.32322183,0.28567472,-0.18409406,0.999797,0.41931224,0.4169865,0.058736183,0.3576552,0.3527753,0.41692632,-0.25222194,0.97259194,0.44205156,0.34100124,-0.15884486,0.5673211,0.42579523,0.33381733,-0.21422696,0.9606991,0.35547894,0.5672369,0.10317037,0.9866441,0.32804582,0.56368,-0.10311618,0.9946114,0.33954236,0.7504963,0.14542077,0.3701177,0.36618125,0.7616243,-0.12711655,0.8694873,0.28383446,0.9112784,0.2320135,0.5101133,0.35636142,0.96731406,-0.122936346,0.79963267,0.26281703,0.94026935,0.23493484,0.53681046,0.33726898,1.0085702,-0.12680246,0.7717442,idle
0.39826995,0.21354169,-0.17076086,0.99973214,0.39849737,0.19465357,-0.14948866,0.99948883,0.38406944,0.19251393,-0.17597471,0.9996223,0.38679665,0.19553031,-0.013145203,0.9991681,0.35732785,0.19447087,-0.13477921,0.9997079,0.39686438,0.23055623,-0.117037274,0.99959075,0.38706285,0.22942834,-0.14992915,0.9997236,0.38229606,0.29545286,0.14116031,0.99709994,0.32326388,0.28976268,-0.17978895,0.99979967,0.4160812,0.41751176,0.0677751,0.34720594,0.35221216,0.42140245,-0.25030357,0.9731937,0.43994722,0.34697926,-0.14054248,0.56441516,0.42442518,0.33924055,-0.22169285,0.9622654,0.35538667,0.5677683,0.10324268,0.9863014,0.32827404,0.56493974,-0.10318415,0.9945431,0.33975503,0.7506845,0.14425023,0.37739685,0.36603296,0.7632382,-0.12917212,0.875614,0.28417704,0.91135854,0.23183045,0.51380867,0.3566788,0.9674409,-0.13012457,0.8074204,0.26062307,0.93992954,0.2350601,0.5380837,0.33844075,0.9918594,-0.13328227,0.7785454,idle
0.39746553,0.21677504,-0.15607236,0.9997475,0.39712608,0.19794497,-0.13498284,0.9995166,0.38326716,0.19575693,-0.16199175,0.9996443,0.38525566,0.19945298,-0.005006202,0.99921006,0.35639668,0.19823855,-0.124568425,0.99972373,0.3955933,0.23409268,-0.10401173,0.9996098,0.38646436,0.233052,-0.13733394,0.9997382,0.37788072,0.30097583,0.14587437,0.9971252,0.3231489,0.29401824,-0.17584571,0.999806,0.41541943,0.41764784,0.06831533,0.34531465,0.35202616,0.42618454,-0.24492434,0.9738669,0.43808764,0.34931755,-0.14537723,0.5687716,0.42190403,0.34436944,-0.20863327,0.9637454,0.35384032,0.5689067,0.103723384,0.98653066,0.3281196,0.5671624,-0.10367056,0.99469256,0.33945578,0.75090545,0.14827017,0.38465774,0.36694613,0.7672446,-0.13082264,0.8818456,0.28433803,0.909926,0.24161771,0.5196456,0.35737875,0.9694351,-0.15447427,0.81651473,0.25909337,0.9389382,0.245711,0.5408237,0.33809873,1.0263953,-0.16126223,0.7867836,idle
0.39552945,0.2204071,-0.12266972,0.9997533,0.39435562,0.20166782,-0.105542816,0.99952966,0.38174957,0.19960341,-0.13537642,0.99965227,0.38180012,0.2037092,0.004958837,0.99923813,0.3549866,0.20238787,-0.1217707,0.9997309,0.39245495,0.23788747,-0.076856315,0.99962497,0.3846493,0.23692587,-0.113909945,0.9997488,0.37515375,0.30829665,0.14303873,0.99719226,0.32292178,0.29893944,-0.1755442,0.9998094,0.41541559,0.41930887,0.041401185,0.3538481,0.35145062,0.4292769,-0.22698481,0.97458553,0.43644184,0.3496476,-0.1822471,0.5760628,0.41833335,0.3476912,-0.15286326,0.9644015,0.35233298,0.57009107,0.1024946,0.986839,0.32788378,0.5684367,-0.10243271,0.99480957,0.3391682,0.75098664,0.14771679,0.38547772,0.36675286,0.7694588,-0.128679,0.8854383,0.28427666,0.9070489,0.239764,0.5178048,0.3585774,0.96985894,-0.14929745,0.8216663,0.260126,0.9367999,0.24292496,0.537041,0.34288925,0.99830854,-0.15597335,0.7911177,idle
0.39310935,0.22554223,-0.11838031,0.99975574,0.39175206,0.20689599,-0.10127576,0.99953413,0.37974373,0.20435874,-0.1318321,0.99965584,0.37887296,0.20941786,0.00606365,0.999248,0.35329324,0.20744738,-0.122215785,0.9997338,0.38916534,0.24287395,-0.07364036,0.9996296,0.38216528,0.24166515,-0.11165513,0.9997541,0.37062612,0.3122075,0.13845119,0.997126,0.32282203,0.30354977,-0.177131,0.999807,0.4119009,0.4201832,0.03511896,0.35339585,0.35042948,0.43318987,-0.22532344,0.9752185,0.43224168,0.35140887,-0.18171982,0.574419,0.41570538,0.34911636,-0.1420655,0.9649067,0.34884927,0.571504,0.10152829,0.9869873,0.32718435,0.570728,-0.10146178,0.99483836,0.3389955,0.751133,0.13894601,0.38857016,0.36658758,0.7693626,-0.11945945,0.8891702,0.2836666,0.904609,0.22210059,0.52175355,0.3598713,0.9692798,-0.12568276,0.8275433,0.25810194,0.9358733,0.22545615,0.5395249,0.34723145,0.983976,-0.13049094,0.79560435,idle
0.3905711,0.2309479,-0.09162701,0.99975425,0.3889346,0.21265918,-0.07770141,0.99953574,0.37775528,0.2099045,-0.11149031,0.9996542,0.37587938,0.21477278,0.014409706,0.9992526,0.35200414,0.21222489,-0.12411513,0.99973345,0.38620505,0.24804541,-0.0523158,0.9996371,0.37950307,0.24660164,-0.094682924,0.9997599,0.36873275,0.317323,0.1382881,0.9971243,0.32210413,0.30741104,-0.1820961,0.9998069,0.41144395,0.42275435,0.032347627,0.35094354,0.35016498,0.4348816,-0.18690899,0.9753397,0.42874748,0.35437584,-0.19248319,0.56269056,0.415111,0.34769535,-0.039278723,0.9636917,0.34606692,0.57203794,0.10114112,0.9875171,0.32589516,0.57108605,-0.10107543,0.9949968,0.33883455,0.7514841,0.135714,0.38793468,0.36662254,0.76726663,-0.11626653,0.8907105,0.28303635,0.90613973,0.21635015,0.5274478,0.36064374,0.9672575,-0.11338653,0.8324265,0.25708213,0.9356129,0.21962023,0.54388005,0.34863564,0.9777567,-0.11773814,0.7982985,idle
0.38767114,0.23552331,-0.09219918,0.999755,0.38602072,0.2173304,-0.07726265,0.9995405,0.37412626,0.21515557,-0.110438846,0.9996561,0.37358895,0.2198654,0.018332828,0.9992599,0.3491542,0.21804892,-0.12358413,0.9997342,0.38370743,0.2527817,-0.051409613,0.9996421,0.37668318,0.25152043,-0.093065836,0.99976414,0.36651152,0.32019094,0.13890351,0.997157,0.3203938,0.3118405,-0.18161526,0.9998052,0.4107512,0.42295048,0.035324078,0.35282746,0.34845346,0.43687227,-0.18574722,0.97536623,0.4270827,0.35378888,-0.18776074,0.55965346,0.40997797,0.34905803,-0.059497178,0.9630276,0.34342334,0.57145596,0.10125283,0.98812944,0.32322016,0.5707234,-0.10119198,0.99518,0.33865756,0.75054204,0.13237853,0.38597694,0.36690718,0.76083815,-0.11784067,0.89129263,0.2840739,0.9066805,0.21282084,0.52978265,0.36099905,0.96127486,-0.119587936,0.83625597,0.25675547,0.9355209,0.21619508,0.543355,0.34752604,0.97008395,-0.12446724,0.79893637,idle
0.38495532,0.23828463,-0.09605755,0.9997675,0.38361344,0.22053021,-0.08025943,0.99956566,0.37155834,0.21889816,-0.113015875,0.99967355,0.3718539,0.22273554,0.01827022,0.9993027,0.34665903,0.22132058,-0.12355442,0.99974674,0.3818571,0.25516462,-0.054481048,0.99966025,0.37468615,0.2542179,-0.09563954,0.999776,0.36308903,0.3213752,0.13872018,0.99727285,0.31983256,0.31313002,-0.18121907,0.9998039,0.41045108,0.4232763,0.03765699,0.36259827,0.34733188,0.4383689,-0.19561799,0.9756896,0.42476597,0.35365742,-0.17422792,0.5645066,0.4052484,0.34942532,-0.087069385,0.9626431,0.3394994,0.5711805,0.10207071,0.98876864,0.32228345,0.5705923,-0.10202464,0.99532354,0.33774558,0.74752146,0.12517256,0.3899753,0.36968884,0.75602823,-0.11331437,0.89581877,0.28394607,0.90466106,0.19467616,0.53727096,0.3608091,0.958314,-0.11075518,0.8431117,0.25655395,0.9332021,0.19704106,0.5492369,0.34592885,0.97293335,-0.11496848,0.8026362,idle
0.38373548,0.23787898,-0.08354589,0.9997743,0.381282,0.2192902,-0.06880222,0.99958175,0.36998206,0.2183682,-0.10353212,0.99968296,0.3690333,0.22151248,0.024149902,0.9993345,0.34543508,0.22249578,-0.1236433,0.9997507,0.3813832,0.2546545,-0.04416263,0.9996734,0.37438518,0.25364438,-0.08786777,0.9997822,0.36395824,0.32180086,0.14015438,0.9974044,0.31876892,0.3143907,-0.18198635,0.9997931,0.4110666,0.42363632,0.041613508,0.37676173,0.34715527,0.43840453,-0.21423428,0.97526145,0.4237728,0.34756234,-0.16305189,0.5687693,0.40381068,0.34885827,-0.12909105,0.9615779,0.3384066,0.57060355,0.10516639,0.9893656,0.32194585,0.5704747,-0.10515342,0.99543583,0.33578283,0.74650776,0.12584013,0.38929725,0.37327448,0.7557253,-0.11492322,0.8988706,0.28356165,0.90502316,0.20108537,0.5420018,0.35850242,0.95564395,-0.116721176,0.84791,0.2546691,0.93310964,0.20378084,0.5539087,0.34057355,0.9740073,-0.12111678,0.80414176,idle
0.3826779,0.23768862,-0.07625972,0.9997817,0.37991685,0.21841641,-0.06168913,0.9995977,0.3694254,0.21785787,-0.09666663,0.9996935,0.36822647,0.2204563,0.03143329,0.9993622,0.34539574,0.22128609,-0.12098285,0.9997573,0.38068682,0.25393778,-0.036376856,0.9996876,0.37403932,0.25293928,-0.0806645,0.9997904,0.3637942,0.32032904,0.14887473,0.9975525,0.31773332,0.3126779,-0.18181708,0.99979615,0.41094732,0.42252094,0.05867529,0.3910635,0.34267315,0.43317106,-0.2441862,0.97595704,0.42116284,0.343814,-0.14039136,0.5775281,0.40055785,0.34776813,-0.1968862,0.96247405,0.3367128,0.56731045,0.10702194,0.9900563,0.3222982,0.5673736,-0.10699532,0.99566084,0.3325534,0.7404121,0.12684515,0.39614347,0.37268844,0.75148493,-0.11613262,0.9041258,0.28339693,0.90324026,0.20402141,0.5539505,0.35805386,0.9480169,-0.11955358,0.85657036,0.2554093,0.9296556,0.20668277,0.56276786,0.33985162,0.973925,-0.12394957,0.81061333,idle
