x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.20754585,0.11195733,-0.29897812,0.9999904,0.21591432,0.09889679,-0.27018982,0.99998266,0.1924894,0.09654304,-0.27654186,0.9999865,0.22185306,0.11159967,-0.08720584,0.9999562,0.17908116,0.10632879,-0.12139185,0.99998844,0.21377063,0.13203555,-0.23047943,0.9999744,0.19742624,0.13017009,-0.2399817,0.9999887,0.25430804,0.22309867,0.04946242,0.9997979,0.14124961,0.20977393,-0.05010583,0.99997306,0.28913647,0.3511959,-0.11873925,0.90132,0.11560331,0.33663833,-0.207087,0.9894081,0.27928442,0.30659178,-0.46619862,0.9461687,0.13101625,0.30452383,-0.51732045,0.9902138,0.252549,0.47483847,0.03814172,0.999497,0.17916703,0.47936282,-0.03815365,0.99979746,0.30389446,0.65168834,0.119767174,0.9886713,0.14018664,0.67628676,-0.10455277,0.99656135,0.31231174,0.82568246,0.33882806,0.9895167,0.10123156,0.8569467,0.013902398,0.99599594,0.29611742,0.85581946,0.3495167,0.9507314,0.11105905,0.88229424,0.015506605,0.92902285,idle
0.21826546,0.11150397,-0.30067614,0.99999094,0.22709498,0.09854646,-0.27260277,0.9999836,0.20319764,0.09610793,-0.2795484,0.9999873,0.23373356,0.11072431,-0.092297055,0.99995816,0.19042371,0.1060816,-0.12977837,0.9999889,0.225086,0.13102563,-0.23306334,0.99997586,0.2077792,0.1296559,-0.24355426,0.9999892,0.26616067,0.21870284,0.041257717,0.9998032,0.15189345,0.20917657,-0.05153967,0.9999733,0.3067732,0.3479492,-0.11030632,0.9071002,0.13085258,0.3362583,-0.1957873,0.9887164,0.29033166,0.30353564,-0.46282586,0.9497361,0.14739679,0.30610988,-0.5008132,0.9899097,0.26197177,0.473108,0.03812609,0.99952525,0.18769011,0.4775296,-0.038133167,0.99981135,0.3102494,0.6501154,0.11217169,0.9893993,0.15296416,0.6721738,-0.0946777,0.99683446,0.31572625,0.8263167,0.3197857,0.99021035,0.10595478,0.8523765,0.033918574,0.99631876,0.2989004,0.8567256,0.33209723,0.9537665,0.11432012,0.8810168,0.035923276,0.93326557,idle
0.22433844,0.10955019,-0.26087698,0.9999915,0.23526208,0.09764817,-0.23267896,0.99998474,0.2105772,0.09578826,-0.23673975,0.9999881,0.24377675,0.10915601,-0.05424888,0.9999609,0.1987312,0.10595956,-0.07841161,0.99998933,0.23240535,0.12878162,-0.19444638,0.9999775,0.21452734,0.12803517,-0.2012492,0.99998975,0.27853727,0.21157996,0.07154266,0.9998168,0.16244975,0.2088342,-0.0028647895,0.9999725,0.32183662,0.34482464,-0.07228891,0.91421515,0.14342478,0.33490717,-0.13949858,0.98762125,0.30258995,0.29841027,-0.41907215,0.9540176,0.15713309,0.30642083,-0.44923156,0.9891991,0.27225792,0.46929154,0.038104042,0.9995547,0.1972774,0.4715001,-0.0380971,0.99982274,0.3169573,0.6506161,0.10466168,0.99002105,0.1643371,0.66915333,-0.098581694,0.99707884,0.31439558,0.82728726,0.29943687,0.99078333,0.10927621,0.8497788,0.025066996,0.9965899,0.2999864,0.8563734,0.30715597,0.95602465,0.113953255,0.8792656,0.026871884,0.93585706,idle
0.23237793,0.10421786,-0.252294,0.9999919,0.2428431,0.09169172,-0.22345135,0.9999856,0.21881488,0.09135844,-0.2291791,0.9999886,0.25140065,0.1037265,-0.042874448,0.99996287,0.20618841,0.103190064,-0.07421091,0.99998975,0.240886,0.12383931,-0.18508457,0.99997884,0.22342563,0.124227025,-0.19388443,0.9999902,0.2854969,0.20442353,0.08896931,0.9998282,0.17230716,0.20700936,-0.0047462373,0.99997216,0.32954484,0.339008,-0.049393408,0.9201163,0.14967684,0.33103874,-0.13435782,0.987077,0.31049764,0.29239193,-0.401689,0.95753044,0.1628071,0.30622223,-0.42709607,0.98874795,0.2752076,0.4678626,0.042800814,0.9995802,0.20296177,0.46689168,-0.042749353,0.99983144,0.31341356,0.6504199,0.103636146,0.9901128,0.17491195,0.6659001,-0.09813039,0.9972248,0.3138224,0.8292615,0.28761026,0.9909747,0.116091095,0.848868,0.034616303,0.99673843,0.29971153,0.8562569,0.29378626,0.9571424,0.11871821,0.8781811,0.03805859,0.93649006,idle
0.24262075,0.10063296,-0.21117425,0.99999124,0.251255,0.08840808,-0.18273053,0.99998486,0.22896066,0.08741962,-0.19034496,0.9999877,0.25656635,0.10065873,-0.008219587,0.99996096,0.21148792,0.097472474,-0.046645712,0.9999889,0.2488265,0.120681986,-0.14565748,0.9999783,0.2333544,0.12074932,-0.15648176,0.99998957,0.29021937,0.19721507,0.11432494,0.99983454,0.17731884,0.20216584,0.018586911,0.9999696,0.33402336,0.33086008,-0.0053409934,0.92358303,0.15413834,0.32492957,-0.09085591,0.9864942,0.31576714,0.289198,-0.32966304,0.95976645,0.1632408,0.30641356,-0.3541426,0.9884454,0.281138,0.46232176,0.04361946,0.99959636,0.21074629,0.46241713,-0.043530323,0.9998313,0.31187242,0.65029335,0.06414096,0.9901853,0.18684112,0.65656894,-0.0630148,0.9972109,0.31324786,0.83001584,0.22502676,0.9909034,0.13685158,0.8389831,0.11377279,0.99669516,0.29915363,0.856109,0.22977385,0.9573394,0.13696083,0.86493486,0.121407345,0.934718,idle
0.24858277,0.09786685,-0.19615981,0.99999076,0.2570805,0.08636642,-0.16674954,0.99998444,0.23505774,0.08521161,-0.17489156,0.9999869,0.26252043,0.099336416,0.0075314166,0.99996024,0.21642105,0.0959686,-0.033437364,0.9999879,0.25471625,0.11888756,-0.13110767,0.99997807,0.23919359,0.11857048,-0.14273873,0.9999889,0.29738525,0.19754495,0.12313658,0.9998419,0.18223384,0.20062739,0.030858735,0.99996656,0.3394345,0.33085388,-0.008575342,0.9275042,0.15706068,0.32126626,-0.086424224,0.985348,0.31903395,0.28518146,-0.3340551,0.96214485,0.16321841,0.30630046,-0.35964292,0.9880334,0.2845018,0.4550014,0.04329018,0.9996116,0.21333778,0.45632884,-0.043200586,0.99983126,0.31061393,0.648657,0.055372637,0.99020606,0.19744027,0.65315694,-0.057675697,0.99713427,0.31348714,0.8297722,0.21968544,0.99082965,0.14913617,0.8386936,0.11951159,0.99663657,0.30009377,0.8550664,0.2251014,0.95647043,0.15033266,0.8628082,0.1267594,0.9317612,idle
0.25202084,0.09809222,-0.20948792,0.9999905,0.2609861,0.086410046,-0.17959943,0.9999847,0.23839739,0.08495982,-0.18706037,0.99998605,0.26632458,0.09922279,0.00019435506,0.99996203,0.21884903,0.09585842,-0.03866668,0.9999865,0.25775295,0.119087,-0.14244682,0.9999787,0.2415406,0.118621476,-0.15359126,0.9999883,0.30012804,0.19875142,0.11518143,0.9998515,0.1859116,0.20001513,0.040200982,0.99995464,0.34227192,0.33243993,-0.013370502,0.9317555,0.1561363,0.31299746,-0.08176701,0.97554314,0.31890565,0.2829575,-0.3223637,0.9642026,0.1586691,0.3024558,-0.37435314,0.9790539,0.28485444,0.452297,0.041468795,0.99962634,0.2142928,0.45305967,-0.041251816,0.9998303,0.31227452,0.6460592,0.04821878,0.9906408,0.20017096,0.64631337,-0.060348876,0.99721223,0.31380194,0.8288513,0.21788633,0.99123603,0.16226268,0.8343639,0.10574615,0.99678105,0.30095884,0.8536761,0.22326382,0.9576879,0.1633348,0.8587323,0.111182496,0.93273443,idle
0.25466388,0.09832378,-0.23005247,0.9999909,0.2626509,0.08644582,-0.20045169,0.9999855,0.23930874,0.0848528,-0.2081345,0.9999864,0.26715574,0.09933212,-0.018400615,0.99996465,0.21997671,0.09591057,-0.059296943,0.9999867,0.25946134,0.119224526,-0.16273117,0.9999802,0.24238026,0.118735895,-0.17427604,0.9999888,0.30083266,0.199286,0.09942044,0.99986243,0.18730642,0.20013872,0.024707912,0.9999513,0.3470778,0.3332572,-0.028795863,0.9366904,0.15079728,0.31117573,-0.08719676,0.96550775,0.31771913,0.28373605,-0.34547836,0.96646625,0.15734074,0.31086966,-0.3796004,0.9654438,0.28649145,0.4538105,0.04141824,0.9996462,0.21627203,0.4547928,-0.04122179,0.9998378,0.31580588,0.6470965,0.058966897,0.99103576,0.20013683,0.64742774,-0.06080351,0.9973184,0.3146276,0.82793546,0.2544747,0.9916374,0.16462818,0.83261645,0.09854163,0.9969629,0.30119804,0.85270286,0.2620056,0.95954794,0.16693133,0.8572906,0.10363535,0.9349726,idle
0.2597224,0.09849356,-0.2246652,0.9999914,0.26642507,0.08651108,-0.19301175,0.9999865,0.24443886,0.084832534,-0.20280471,0.99998707,0.2678945,0.099406205,-0.010431366,0.9999676,0.22279516,0.09574232,-0.061182093,0.99998724,0.26355767,0.11937668,-0.15766901,0.9999818,0.24829939,0.118769035,-0.17225555,0.99998945,0.30003545,0.20217744,0.09655713,0.9998737,0.18785883,0.20150453,0.01750563,0.99994934,0.3472155,0.33488452,-0.027049888,0.9412352,0.15234873,0.30043238,-0.09320458,0.95811,0.3170287,0.2927664,-0.33005372,0.96880174,0.14157681,0.32190597,-0.37949887,0.9550833,0.28903452,0.4542959,0.040838018,0.99966925,0.2176873,0.45551947,-0.04060132,0.999847,0.3163886,0.6478389,0.06652404,0.99143517,0.2003096,0.6485558,-0.06113453,0.9973799,0.31547874,0.8278801,0.26187202,0.9919508,0.16350403,0.83341706,0.098191924,0.9970936,0.30156437,0.8526707,0.26964098,0.96056676,0.16677883,0.8571791,0.10243652,0.93586373,idle
0.25872082,0.09962942,-0.22084539,0.99999183,0.26600277,0.088024616,-0.19075339,0.9999871,0.24326658,0.085134774,-0.19584098,0.99998707,0.26853418,0.100554,-0.016928006,0.9999696,0.22303064,0.09646137,-0.04732498,0.9999864,0.2622536,0.120285064,-0.15777263,0.999983,0.24588008,0.11919184,-0.16661522,0.9999896,0.30079022,0.20668182,0.06285667,0.99988353,0.18928567,0.20490077,0.049250454,0.99994755,0.34687212,0.33532384,-0.08092066,0.9465613,0.15434437,0.29294452,0.005938147,0.9535623,0.3135277,0.2928054,-0.3826403,0.9716,0.12083024,0.33770368,-0.2296062,0.9500067,0.28750655,0.45547,0.023710953,0.99968636,0.21553428,0.4562498,-0.023500144,0.99985486,0.3157491,0.6476796,0.03270674,0.99139327,0.19747987,0.64686084,-0.07596128,0.9973037,0.31588796,0.82783884,0.20382996,0.99163353,0.1664128,0.833815,0.06313645,0.997082,0.30258888,0.8526651,0.2100511,0.95881504,0.17351192,0.85685813,0.06398679,0.9353714,idle
