x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.45690957,0.25978383,-0.19409443,0.9999149,0.4543872,0.24641225,-0.17147426,0.9998359,0.4433815,0.24593322,-0.19355223,0.9998892,0.4444735,0.25432768,-0.035933994,0.9996306,0.42234653,0.2535646,-0.13976398,0.99988127,0.45686236,0.27780142,-0.14283367,0.9996809,0.44925803,0.27747545,-0.17282581,0.9998121,0.47861648,0.3404513,0.06397885,0.99962133,0.37697938,0.34630316,-0.114073776,0.99978834,0.515177,0.44062236,-0.029883843,0.79859674,0.3397806,0.45380685,-0.2648601,0.9889983,0.52207696,0.34413502,-0.28333157,0.932852,0.35079724,0.40294597,-0.4732377,0.9906237,0.46634054,0.59318954,0.058830917,0.9998031,0.39573002,0.59219635,-0.05893454,0.999741,0.5007399,0.7450193,0.1211043,0.9807797,0.36415496,0.76204675,-0.073648185,0.99059486,0.50617933,0.90360236,0.35330188,0.9841388,0.313605,0.9052349,0.08044946,0.9864522,0.49098334,0.9296036,0.37025395,0.9450291,0.30730346,0.9212929,0.089417465,0.8537513,idle
0.45407075,0.26011255,-0.17505464,0.9999224,0.4526189,0.2466434,-0.15212879,0.9998508,0.44193473,0.24614294,-0.17315242,0.9998989,0.44413155,0.2545394,-0.023210078,0.999663,0.4190578,0.25388125,-0.12429313,0.99989164,0.45456132,0.27807894,-0.12629382,0.9997105,0.44704455,0.2776027,-0.15570019,0.99982977,0.47514772,0.34632576,0.06485374,0.9996497,0.3698235,0.34587854,-0.10605466,0.99980664,0.49090952,0.4629342,-0.05637024,0.812916,0.3275019,0.45344815,-0.2611116,0.9896822,0.49529392,0.35931826,-0.31673273,0.937784,0.34867904,0.3971445,-0.4464942,0.9910298,0.45954385,0.59286517,0.05831995,0.9998131,0.38834795,0.5924175,-0.058439534,0.999759,0.49558657,0.7402914,0.08095054,0.9811017,0.3627821,0.7621594,-0.060470395,0.990841,0.5027407,0.89989007,0.26997256,0.9839883,0.31349906,0.9056257,0.08199234,0.98635155,0.48794168,0.9265041,0.28392687,0.9439373,0.30722648,0.92183524,0.08972029,0.84576845,idle
0.4488035,0.26354036,-0.18385151,0.9999212,0.4471112,0.2482892,-0.16103989,0.9998528,0.43657666,0.24744868,-0.18238935,0.9999,0.43784362,0.25460783,-0.03168166,0.99966055,0.41386813,0.2545399,-0.12696181,0.9998954,0.44958606,0.2799316,-0.1332208,0.99971896,0.44172174,0.27862892,-0.16226497,0.99983895,0.46305808,0.3470176,0.05960024,0.99959975,0.36415967,0.34616315,-0.111939825,0.99981976,0.47380763,0.46182862,-0.05509307,0.7950915,0.32201052,0.45322612,-0.25984693,0.9900416,0.47688985,0.3747019,-0.31555498,0.9254081,0.34382913,0.39668182,-0.44254646,0.99116606,0.45263186,0.5929643,0.053617436,0.99979097,0.3828242,0.5933208,-0.053708047,0.9997634,0.4929027,0.7389196,0.1373052,0.9811618,0.3578894,0.76116383,-0.026983887,0.9912253,0.5026967,0.8988037,0.3096145,0.9838738,0.31315184,0.9057304,0.112559475,0.98685306,0.48742947,0.9264006,0.32045007,0.9429038,0.307668,0.9229847,0.12071751,0.8471202,idle
0.44387832,0.26550138,-0.18689194,0.9999238,0.4423566,0.250015,-0.165082,0.9998602,0.43117896,0.24912068,-0.1860713,0.9999023,0.43336645,0.25570095,-0.039017715,0.9996769,0.40849203,0.25649935,-0.12891729,0.99989873,0.44503504,0.2817416,-0.13642576,0.9997368,0.43679786,0.27989683,-0.16447873,0.99984944,0.4581346,0.34984574,0.04937715,0.9996161,0.35790318,0.3465107,-0.10379733,0.99983203,0.4669853,0.47341096,-0.06785986,0.7975913,0.31553617,0.45314968,-0.24388127,0.9904231,0.47939378,0.3817264,-0.33725497,0.9276197,0.3422605,0.39480326,-0.42743152,0.9913597,0.4474073,0.59284973,0.046516757,0.999788,0.37649912,0.5934827,-0.04654937,0.99976957,0.4887418,0.73815006,0.088503465,0.9819582,0.35250282,0.76082873,-0.005697382,0.9916095,0.5027421,0.89877355,0.23442423,0.98420393,0.31268376,0.90576977,0.153436,0.98718,0.4873848,0.9264336,0.24265477,0.9424732,0.30814773,0.9234045,0.16299984,0.84694916,idle
0.43952742,0.2672439,-0.18357828,0.9999251,0.4377686,0.25146624,-0.16372067,0.99986553,0.4272662,0.25058135,-0.18466935,0.9999034,0.42884046,0.25663096,-0.038512047,0.9996851,0.40514868,0.25759053,-0.1305472,0.9999003,0.44058686,0.2829688,-0.13387658,0.9997485,0.4328309,0.28079388,-0.16235481,0.9998571,0.45332485,0.35043156,0.052986093,0.99961823,0.35317,0.34653166,-0.104912125,0.9998416,0.46242556,0.47105417,-0.05486046,0.7945904,0.31060952,0.45257112,-0.24347922,0.9906872,0.4782533,0.3801342,-0.3247759,0.92575336,0.33976966,0.39128223,-0.42433214,0.991313,0.4409632,0.59104294,0.04838925,0.99977285,0.3724572,0.5935915,-0.04842346,0.999766,0.48254547,0.7342708,0.074906565,0.9821001,0.35195655,0.75789464,-0.016960165,0.9918425,0.5028175,0.89885163,0.19083719,0.9844396,0.31232473,0.9058701,0.122471586,0.9873603,0.48770747,0.9265187,0.19563928,0.94245845,0.30801424,0.9240204,0.1302648,0.8458793,idle
0.4354232,0.26769015,-0.18492493,0.99992687,0.43424883,0.25180426,-0.16810638,0.99986905,0.4242373,0.25061944,-0.18550543,0.9999042,0.42593998,0.25681016,-0.044695534,0.99968827,0.4018069,0.25765145,-0.13154162,0.9999011,0.4357904,0.28327096,-0.13728039,0.99976,0.42813843,0.2809319,-0.16374053,0.999865,0.451657,0.35038838,0.041702732,0.99962974,0.34641126,0.34642497,-0.091085896,0.99985105,0.46715766,0.47002727,-0.075476445,0.80445194,0.3058012,0.45254418,-0.22301015,0.9911342,0.4735814,0.37854454,-0.34347412,0.92915004,0.33305973,0.38518578,-0.41442695,0.99166745,0.43805084,0.589867,0.03659319,0.99976045,0.36746883,0.59224033,-0.036604412,0.9997671,0.47931743,0.73583615,0.07722686,0.98279864,0.35066605,0.75507194,0.010980398,0.9919381,0.503045,0.89872193,0.21315613,0.984543,0.3123546,0.9048957,0.18421094,0.9872485,0.48983985,0.92565316,0.21980532,0.94005406,0.30983487,0.9238042,0.19502798,0.84318537,idle
0.43266672,0.26769033,-0.18355739,0.99992865,0.4315338,0.251871,-0.16536672,0.9998727,0.421062,0.25061172,-0.18136099,0.99990475,0.4234546,0.25701174,-0.04461091,0.999697,0.39808372,0.25759313,-0.11930565,0.9999024,0.4325983,0.28327847,-0.13579056,0.9997702,0.42491508,0.28097713,-0.15897942,0.9998715,0.4490462,0.35029528,0.04062563,0.9996403,0.34355918,0.34642404,-0.07031242,0.999858,0.4665947,0.46812284,-0.0655954,0.813871,0.3016798,0.45237893,-0.19753058,0.9914341,0.47270137,0.3781437,-0.30713716,0.9323548,0.32819983,0.38023487,-0.38796747,0.99190927,0.4347474,0.5888819,0.030620065,0.999746,0.3640897,0.591878,-0.030633682,0.9997649,0.47629675,0.73820215,0.06771398,0.98363346,0.3452588,0.75553477,0.011450069,0.9920599,0.50232,0.8997077,0.20470957,0.9845504,0.31277177,0.90485287,0.18564379,0.9872701,0.48976278,0.9263209,0.21091917,0.9367988,0.3156466,0.9234783,0.1964112,0.841246,idle
0.4313798,0.26686728,-0.18319456,0.9999312,0.43041426,0.25165412,-0.16388127,0.99987805,0.41943884,0.25033826,-0.18033837,0.999907,0.42256507,0.25705054,-0.04433175,0.9997097,0.39607266,0.25723955,-0.11999353,0.9999046,0.43113217,0.28268364,-0.13563354,0.9997822,0.42339045,0.2805452,-0.15908924,0.9998783,0.44860187,0.3501547,0.034963477,0.99964786,0.34180164,0.3461767,-0.07706034,0.99986184,0.46732765,0.4661401,-0.07394357,0.82261497,0.30349284,0.45233116,-0.21061859,0.99150705,0.47275767,0.3756758,-0.3105392,0.935581,0.3230781,0.37997928,-0.40454927,0.991932,0.43422356,0.5890688,0.031148324,0.99973804,0.36313254,0.5920063,-0.031157324,0.99976355,0.47588402,0.7408669,0.06834452,0.9842245,0.3436689,0.7553787,0.013943553,0.99203515,0.50050455,0.8997311,0.21722773,0.9841009,0.31280357,0.90398556,0.19914448,0.9869008,0.48895398,0.9263698,0.22497804,0.9331116,0.3160618,0.92171973,0.2112526,0.8365406,idle
0.42917222,0.26527518,-0.17134628,0.999935,0.42816705,0.25124916,-0.15190198,0.99988574,0.41662455,0.24989635,-0.1676609,0.9999107,0.42069858,0.25708055,-0.033408564,0.99973,0.39366576,0.2571305,-0.10692388,0.99990785,0.4291118,0.28161764,-0.12502582,0.99979675,0.42120343,0.27972212,-0.1471693,0.99988514,0.4473067,0.34968698,0.038044482,0.9996591,0.341221,0.3451857,-0.064338975,0.9998597,0.46694002,0.464744,-0.07438806,0.83054686,0.3050169,0.44933268,-0.19658718,0.99068934,0.46974143,0.37202585,-0.30359045,0.9381986,0.31813163,0.38351244,-0.39378265,0.99076265,0.43301076,0.58590335,0.030164396,0.99972355,0.36249834,0.5892338,-0.030137936,0.99974966,0.47603026,0.74009866,0.042478494,0.9847761,0.3420088,0.7547227,0.012828697,0.9919521,0.49943218,0.89973134,0.1530194,0.9835498,0.31359145,0.9038115,0.18031839,0.98648363,0.48818693,0.92620385,0.15657896,0.92908764,0.31729427,0.9207357,0.19031428,0.83143806,idle
0.42816997,0.26428753,-0.16319163,0.9999376,0.42692795,0.25082952,-0.14376262,0.9998917,0.4151352,0.24948192,-0.15979248,0.9999119,0.41921583,0.25708,-0.023183469,0.99974686,0.39207667,0.25680456,-0.09863143,0.9999073,0.42812696,0.28095213,-0.11610985,0.99980795,0.4198738,0.27927843,-0.13851896,0.9998884,0.44596916,0.34938785,0.03858272,0.9996708,0.34059617,0.34510595,-0.057937257,0.9998498,0.46560234,0.46561033,-0.065365925,0.8368107,0.3074475,0.44912282,-0.19540718,0.98849934,0.4687705,0.3706663,-0.29051077,0.9408436,0.31761435,0.38382372,-0.4007967,0.98883855,0.43330264,0.5860119,0.030426204,0.9997245,0.3628284,0.58945787,-0.030392671,0.9997478,0.47722822,0.7401407,0.040168814,0.9853049,0.34315053,0.75479114,0.024139354,0.9916564,0.49943715,0.9011621,0.16792792,0.98284686,0.31450632,0.90377635,0.21734539,0.9859301,0.488285,0.9266525,0.17342094,0.9246389,0.31793195,0.92038834,0.22985908,0.8254449,idle
