x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.47248513,0.15120748,-0.41504878,0.999978,0.48465005,0.13442484,-0.38555795,0.99995804,0.4614121,0.13169621,-0.4265562,0.99996364,0.49793682,0.13878217,-0.22504881,0.99993813,0.45060188,0.13348778,-0.20847544,0.99997205,0.4781589,0.16949318,-0.34554106,0.99995774,0.46281242,0.16746351,-0.3564305,0.9999696,0.53185695,0.22364092,-0.07583683,0.9997874,0.41376692,0.20547237,-0.0911731,0.9999085,0.6012995,0.2923352,-0.15353453,0.8236432,0.35824123,0.27410194,-0.18781012,0.9980316,0.5554534,0.1944011,-0.14810316,0.89872235,0.41060704,0.16802856,-0.32524,0.9934709,0.47744757,0.48516732,0.006898643,0.9996566,0.40892655,0.47295424,-0.006977531,0.9996398,0.48798427,0.65647334,-0.022983354,0.982086,0.3731535,0.6521912,-0.035609085,0.99393374,0.4689907,0.83875906,0.13443659,0.9879668,0.3683854,0.83781934,0.12287758,0.9921281,0.45683336,0.86086786,0.1410737,0.9421977,0.37819117,0.86328983,0.13309687,0.89208406,idle
0.46329674,0.15313728,-0.3324264,0.9999728,0.47250977,0.1384096,-0.3126113,0.9999441,0.451337,0.13444333,-0.3116532,0.999952,0.48141032,0.14631602,-0.18581697,0.9999255,0.43952194,0.1413956,-0.14991525,0.99995965,0.4683085,0.17537387,-0.27941108,0.9999493,0.45443386,0.17193869,-0.27247065,0.9999612,0.51755154,0.23465152,-0.074064255,0.9997684,0.3987235,0.22058001,-0.0896834,0.9998973,0.5867955,0.30463603,-0.25061125,0.8407899,0.34992388,0.29566735,-0.27405372,0.9979244,0.5350124,0.20645675,-0.4195699,0.9072715,0.40434775,0.19148315,-0.35190937,0.99367046,0.46622604,0.50518787,0.003812611,0.9996523,0.39448667,0.47575113,-0.0038360022,0.9996545,0.4907794,0.6799929,-0.02726975,0.9834943,0.33742514,0.6629358,-0.059521914,0.9943947,0.4693214,0.8392847,0.16133586,0.9884722,0.31043226,0.8388078,0.12217494,0.9926835,0.45644903,0.8629032,0.17743911,0.94240755,0.32029435,0.8665944,0.12087838,0.8977161,idle
0.44726142,0.17653126,-0.33920333,0.9999743,0.45707208,0.15824606,-0.31840354,0.99994767,0.43674356,0.15597773,-0.32094067,0.99995494,0.46735603,0.1614867,-0.18296811,0.9999308,0.4250091,0.15592009,-0.17757976,0.9999619,0.4528888,0.19565675,-0.28214556,0.9999525,0.43931794,0.19386083,-0.28379834,0.99996346,0.5025368,0.2467003,-0.07775959,0.9997722,0.37872738,0.23546393,-0.12088206,0.99989784,0.55730015,0.34078598,-0.25959772,0.85581386,0.34114495,0.32669145,-0.29172814,0.99774516,0.5123416,0.21882834,-0.4762709,0.9146162,0.39373648,0.22355103,-0.55225474,0.99379706,0.45015544,0.52305293,0.010464383,0.99964756,0.37676084,0.49942082,-0.010513597,0.99966645,0.48128405,0.69318414,-0.04328198,0.9847861,0.31467336,0.6664299,-0.12273727,0.99482244,0.4702932,0.84546155,0.17045204,0.9890569,0.27355492,0.8430687,0.029589642,0.9931712,0.4547174,0.8682487,0.19023576,0.94384354,0.27437377,0.86923033,0.03611124,0.90119565,idle
0.4285404,0.19195755,-0.2690122,0.999975,0.4402736,0.17403969,-0.25036493,0.9999501,0.41835165,0.17171644,-0.253855,0.99995565,0.45097804,0.17748404,-0.11356942,0.99993455,0.4072791,0.17231052,-0.1260414,0.9999619,0.43550554,0.20932104,-0.2140275,0.9999555,0.42049465,0.20699932,-0.21874812,0.9999652,0.48147956,0.26599878,-0.04765822,0.9997882,0.3566598,0.2507765,-0.06870594,0.9999003,0.5148715,0.37804422,-0.21138291,0.8692715,0.32077697,0.3560736,-0.26200515,0.9972932,0.48564243,0.26438794,-0.4701244,0.9218603,0.3774295,0.23309073,-0.53963125,0.9935764,0.42821798,0.5305634,0.008639702,0.9996463,0.35591233,0.5131696,-0.008713715,0.9996659,0.46558905,0.6999839,-0.026509563,0.9861112,0.30138963,0.6714428,-0.050199322,0.9951814,0.47551155,0.85369575,0.23121575,0.9897598,0.26706603,0.84286076,0.12695424,0.9935064,0.46264738,0.8747667,0.24791381,0.9434454,0.26787266,0.8674024,0.13690615,0.9021921,idle
0.41623458,0.20415883,-0.35849983,0.99997634,0.427258,0.1846359,-0.34570268,0.9999534,0.40448317,0.1825159,-0.3500757,0.9999576,0.4343141,0.18489218,-0.19910397,0.9999393,0.3903901,0.17960303,-0.21870461,0.9999635,0.42285237,0.22002254,-0.29706445,0.999959,0.40647522,0.2178151,-0.30271453,0.99996775,0.4648474,0.26970583,-0.09430634,0.9998069,0.34087828,0.2513563,-0.0998724,0.9999066,0.49526197,0.3931013,-0.28222638,0.8818328,0.29700464,0.35586232,-0.33181876,0.99702275,0.47144026,0.2920984,-0.5791718,0.9289008,0.357878,0.23947094,-0.62522554,0.99322706,0.413459,0.52875406,0.008132674,0.9996186,0.34058282,0.5143448,-0.008148747,0.9996577,0.4445528,0.70133513,-0.011975931,0.9872784,0.2953387,0.67626804,-0.060844563,0.99550134,0.4699328,0.8553292,0.23209098,0.9903483,0.2628679,0.8488312,0.11152625,0.9938417,0.4615857,0.8779327,0.24679382,0.9423245,0.26504847,0.8709353,0.12111919,0.9036442,idle
0.40280008,0.20606391,-0.41383988,0.99997735,0.41502523,0.1870049,-0.40142488,0.999956,0.3910526,0.18411145,-0.40748852,0.9999588,0.42158166,0.18578859,-0.25061637,0.99994344,0.37685937,0.17983942,-0.27778643,0.9999649,0.40950862,0.22120881,-0.34970894,0.99996203,0.39142025,0.21907802,-0.35822454,0.99997,0.45006338,0.27015126,-0.12922345,0.99982405,0.3270778,0.24716748,-0.17123257,0.99991316,0.48464793,0.3872042,-0.31730452,0.89294475,0.27902615,0.34902135,-0.39003503,0.9966828,0.46619973,0.2814789,-0.58995926,0.9348645,0.33710957,0.2448575,-0.6702229,0.99249053,0.3988089,0.52713627,0.011293175,0.9996132,0.32563522,0.51428777,-0.011307973,0.9996668,0.42921513,0.7009191,-0.010849921,0.9882159,0.2882584,0.6783932,-0.124889776,0.9957566,0.4626232,0.8561812,0.21905378,0.9907182,0.26765716,0.8543089,0.047078706,0.9940876,0.45365143,0.8800946,0.23270969,0.94067574,0.269991,0.8760454,0.056657303,0.9051409,idle
0.3929345,0.20265517,-0.40011153,0.99997896,0.4052937,0.18423086,-0.38537607,0.99995923,0.38178542,0.18119814,-0.39090833,0.9999613,0.4128514,0.18393342,-0.23308614,0.999948,0.36735937,0.17842056,-0.2580821,0.9999672,0.39894417,0.21832734,-0.3362072,0.99996525,0.38095897,0.21635076,-0.3442989,0.9999725,0.43923092,0.2691923,-0.11801076,0.99984026,0.31589845,0.2400677,-0.16821487,0.99991953,0.4837227,0.37773374,-0.29558378,0.9031258,0.26468623,0.3261613,-0.38349742,0.9964976,0.4577314,0.2772787,-0.53393185,0.9405506,0.32559162,0.23829645,-0.64692175,0.9920663,0.39081872,0.5260651,0.010179545,0.9996257,0.31545833,0.513421,-0.010234669,0.9996821,0.42320266,0.7001409,-0.04028747,0.98916155,0.28230417,0.67936397,-0.13266584,0.9959908,0.4588068,0.8558523,0.21259145,0.99117357,0.2684497,0.85450685,0.057429176,0.9943468,0.4492926,0.87995136,0.2300951,0.9398078,0.2720101,0.87552774,0.068692625,0.9073963,idle
0.3940156,0.20137066,-0.39050502,0.9999801,0.40239176,0.18183753,-0.37434477,0.99996156,0.381431,0.1796531,-0.38311535,0.999963,0.40656948,0.18068734,-0.2216521,0.9999515,0.3636337,0.17690463,-0.26265696,0.9999689,0.39901727,0.21554106,-0.32705545,0.9999679,0.38182703,0.21468295,-0.33908403,0.99997455,0.43321782,0.26692155,-0.10130946,0.9998543,0.31116995,0.23842803,-0.18196908,0.9999241,0.47986388,0.3739626,-0.25763467,0.9121064,0.25874895,0.3144806,-0.4029366,0.99651206,0.45848504,0.27095973,-0.48276305,0.9454274,0.3190188,0.22982678,-0.66576093,0.9921761,0.38512087,0.524079,0.014311259,0.9996447,0.31131953,0.51307607,-0.014370227,0.99969655,0.4243532,0.6982747,-0.04393746,0.9900194,0.2819735,0.6798238,-0.13243823,0.9962101,0.45661503,0.85564077,0.19681685,0.9916263,0.26598036,0.85361207,0.06253669,0.99460065,0.44590425,0.8797771,0.2138892,0.9403672,0.26850638,0.8748036,0.069049776,0.90985805,idle
0.39196023,0.1973051,-0.33281782,0.9999806,0.39937466,0.17822255,-0.31394997,0.9999629,0.37948257,0.17629819,-0.325915,0.999963,0.40192503,0.17759787,-0.16164161,0.9999535,0.35984412,0.17370154,-0.21673878,0.99996924,0.39512676,0.21169862,-0.27051467,0.9999699,0.37931842,0.21057963,-0.28688282,0.9999761,0.4273631,0.26012978,-0.06389444,0.9998669,0.30893716,0.23627883,-0.15063475,0.99992645,0.46937394,0.37309033,-0.23944357,0.9199866,0.26366025,0.31783146,-0.3979111,0.99641407,0.44893545,0.2702181,-0.47667885,0.9499313,0.32991096,0.23428583,-0.63195896,0.9921211,0.38695568,0.52179796,0.016531335,0.99965316,0.31381637,0.5130549,-0.016576055,0.9997001,0.4340191,0.69754905,-0.05614522,0.9907539,0.28463054,0.6808012,-0.16415931,0.9963979,0.45994583,0.85527825,0.15972455,0.9919326,0.26538986,0.8527523,0.023699094,0.9947456,0.4503277,0.8794812,0.17277785,0.94012994,0.26849246,0.8738338,0.034627534,0.9106942,idle
0.39692184,0.19660106,-0.2542909,0.9999815,0.40347195,0.17780344,-0.23490658,0.999965,0.3853806,0.17593347,-0.2554156,0.99996394,0.40396792,0.1775466,-0.08794915,0.99995655,0.36123803,0.1733131,-0.18219922,0.99996984,0.40005666,0.2114145,-0.19393994,0.99997216,0.3860866,0.21004955,-0.22194111,0.9999777,0.4215057,0.25998104,-0.00077938946,0.9998793,0.305373,0.23674525,-0.124671206,0.9999285,0.45160422,0.377675,-0.14770812,0.9265532,0.27101982,0.33484173,-0.336007,0.9958121,0.44147205,0.27649373,-0.41231856,0.95401967,0.3365607,0.2478897,-0.56476057,0.99172264,0.39022714,0.5207032,0.020571947,0.9996708,0.3165626,0.51372176,-0.020527646,0.9996973,0.44300073,0.69662356,-0.05086711,0.991479,0.28598163,0.6857348,-0.107446864,0.99646604,0.46266723,0.8556878,0.1706244,0.9922228,0.26597196,0.8523415,0.112367354,0.9947279,0.4528942,0.87937325,0.18271604,0.9399369,0.26876062,0.87304455,0.12681341,0.90936416,idle
