x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5075913,0.18957552,-0.17538044,0.9999827,0.5163739,0.16973333,-0.18321638,0.9999718,0.5009264,0.1766327,-0.15203846,0.9999489,0.53418624,0.1687933,-0.13907838,0.99997264,0.49987698,0.17911161,0.0042284494,0.9999069,0.51790273,0.20119876,-0.15389088,0.99996406,0.50674796,0.20467456,-0.11289644,0.9999438,0.5860477,0.23138408,-0.124306455,0.9999455,0.49680465,0.25819203,0.1268109,0.9999014,0.5811468,0.32450163,-0.2770647,0.99374086,0.4437903,0.33315316,-0.0027034923,0.94601583,0.52984047,0.24262746,-0.38120222,0.99101996,0.45463043,0.2384137,-0.31535769,0.96928513,0.5638897,0.4892414,-0.08627091,0.99978215,0.5109832,0.48757702,0.08631839,0.99981755,0.58320224,0.6589621,-0.12264992,0.9969171,0.48554835,0.6558117,0.17047258,0.9919725,0.62568176,0.8199662,-0.068269834,0.99750006,0.5021381,0.814574,0.33287576,0.99485755,0.6379,0.8406681,-0.071842924,0.97056496,0.517864,0.8381674,0.34209067,0.9756208,idle
0.51008636,0.18954436,-0.18234432,0.9999836,0.5196698,0.16952997,-0.18839936,0.99997336,0.50380737,0.17661364,-0.15927848,0.99995154,0.5373677,0.16872846,-0.140699,0.9999742,0.5024917,0.17911682,-0.0027035887,0.99991196,0.5209384,0.20115842,-0.15878299,0.99996626,0.5087273,0.20452097,-0.12025503,0.99994695,0.5885821,0.23144917,-0.1297535,0.9999472,0.4984513,0.25820735,0.120323464,0.9999039,0.58513755,0.3245477,-0.28575075,0.993796,0.44960698,0.33359626,-0.0054997997,0.94758326,0.5351444,0.24262227,-0.39455345,0.99117583,0.45658103,0.23845662,-0.3121726,0.9699229,0.567963,0.49092427,-0.083582476,0.9997853,0.513247,0.489835,0.08362879,0.9998198,0.5854158,0.6587533,-0.11000834,0.99703723,0.48763022,0.6574356,0.17086326,0.9923082,0.6257132,0.8196497,-0.04939542,0.99755836,0.50254244,0.814566,0.3376613,0.99499214,0.6378634,0.8399791,-0.05257923,0.9711409,0.5185849,0.83812976,0.34751394,0.9757615,idle
0.52242374,0.18852149,-0.20188761,0.99998474,0.5324409,0.16874725,-0.20019023,0.99997514,0.5135383,0.17546695,-0.17763333,0.99995494,0.5478351,0.16807164,-0.13833824,0.99997586,0.5111702,0.17861557,-0.018134011,0.9999181,0.53479725,0.2006185,-0.16936642,0.9999686,0.5207753,0.20357434,-0.13935983,0.99995065,0.596659,0.23130485,-0.12127475,0.99994844,0.50415367,0.25820318,0.10527994,0.9999054,0.5954278,0.32508025,-0.27821144,0.99400204,0.4609026,0.33362213,-0.03291041,0.95027626,0.54839194,0.2436053,-0.39957315,0.99154526,0.470975,0.24311066,-0.325503,0.9711698,0.5761033,0.49102134,-0.08024986,0.999791,0.5198774,0.48982233,0.08030509,0.9998226,0.58984804,0.65758115,-0.111075856,0.9970777,0.49757066,0.6488504,0.16600335,0.9924215,0.62578464,0.8195023,-0.054252483,0.99755216,0.5029371,0.81287986,0.337853,0.9949826,0.63800085,0.839702,-0.057824004,0.971509,0.5186698,0.83800334,0.34756148,0.9755673,idle
0.5311766,0.18770151,-0.21882005,0.9999859,0.54042953,0.16834289,-0.21691969,0.99997693,0.52175415,0.17518471,-0.19491187,0.9999583,0.554572,0.16742542,-0.14124738,0.99997747,0.51849294,0.17856029,-0.032187175,0.99992406,0.54392815,0.2000525,-0.18343247,0.9999708,0.53048867,0.2029977,-0.1546055,0.9999542,0.6056568,0.23081347,-0.118586645,0.9999501,0.512051,0.2579679,0.094680116,0.99990773,0.6028288,0.32510006,-0.2666966,0.9941969,0.4696029,0.3324998,-0.045181803,0.95266557,0.5542988,0.2431608,-0.38384145,0.9919146,0.4789474,0.24548553,-0.3342437,0.9721149,0.58351004,0.48859686,-0.076686874,0.9998007,0.52755964,0.4870305,0.07675083,0.9998282,0.5925876,0.6534836,-0.113621555,0.9971704,0.5027293,0.6426849,0.16242222,0.9926511,0.625837,0.8196127,-0.06509136,0.9976304,0.50407064,0.8122647,0.3353684,0.9951284,0.63589346,0.8427072,-0.07006481,0.9727277,0.5190784,0.83787817,0.34492078,0.97586507,idle
0.5352762,0.18604669,-0.22758564,0.9999864,0.5453795,0.16700931,-0.226168,0.9999775,0.5265631,0.17293599,-0.20348962,0.9999598,0.55988985,0.166503,-0.14416468,0.99997765,0.52414864,0.17723103,-0.041570336,0.9999265,0.5478999,0.1989677,-0.19330174,0.99997157,0.5342987,0.20131049,-0.16374794,0.9999558,0.6107326,0.23059948,-0.12244324,0.99994797,0.51653826,0.25796527,0.08270879,0.99990684,0.60799,0.32515574,-0.2742987,0.99424666,0.47253686,0.33219153,-0.053428657,0.95436454,0.5581498,0.2421221,-0.39768806,0.9921222,0.4803412,0.24658085,-0.3504665,0.97293437,0.5885878,0.48785082,-0.07397431,0.99979424,0.532389,0.48571432,0.07401342,0.9998252,0.59360546,0.64956856,-0.09544877,0.9970757,0.5061563,0.6415765,0.12938555,0.9926536,0.6261993,0.8195029,-0.018300924,0.9975403,0.5041221,0.8121736,0.29118404,0.99508005,0.6359302,0.8422043,-0.019898525,0.9720734,0.5188973,0.83785474,0.29934162,0.9752916,idle
0.5392505,0.18578313,-0.24103744,0.99998724,0.5492755,0.16661175,-0.24142602,0.99997896,0.53015673,0.17251429,-0.21693297,0.9999625,0.56379765,0.16590835,-0.1640177,0.9999789,0.5280337,0.1766038,-0.05258138,0.99993116,0.55188394,0.19859639,-0.20806071,0.9999733,0.5381495,0.20099573,-0.17602322,0.99995846,0.6149553,0.23045135,-0.1388029,0.99994874,0.5202447,0.25795114,0.07813992,0.9999078,0.61079395,0.3252142,-0.2895801,0.99434555,0.47481292,0.33237937,-0.06036679,0.9566582,0.5617505,0.24142937,-0.41702813,0.99227995,0.48223677,0.24577497,-0.366893,0.97418696,0.5926393,0.487388,-0.075004146,0.9998011,0.53636575,0.4845554,0.07500426,0.99982804,0.59484166,0.64958566,-0.13610563,0.9971988,0.508388,0.6392077,0.14099693,0.9928,0.62647796,0.8220197,-0.09946976,0.997658,0.5044373,0.8119869,0.32377154,0.995176,0.636076,0.8480901,-0.10553278,0.9734587,0.51895535,0.8380187,0.33358717,0.9756229,idle
0.5426148,0.18514465,-0.23069915,0.9999878,0.55307263,0.16605845,-0.23369035,0.9999799,0.5330268,0.17187575,-0.20693608,0.99996436,0.56763804,0.16533008,-0.1547513,0.9999797,0.53105795,0.17618805,-0.044580363,0.999934,0.55510795,0.19801323,-0.20049195,0.9999743,0.5406855,0.20034888,-0.16603833,0.99996006,0.6169955,0.23047353,-0.13206765,0.99994624,0.5237564,0.25814942,0.08761333,0.9999042,0.6147978,0.32516164,-0.2887608,0.99434,0.477063,0.33237866,-0.04584857,0.9578346,0.5653516,0.24210112,-0.41926926,0.99227315,0.4838367,0.24502434,-0.3496658,0.9745591,0.5943819,0.48740232,-0.076029815,0.9997951,0.5388237,0.48461264,0.07605918,0.99982107,0.59676254,0.6494221,-0.12079996,0.99717015,0.5112817,0.63992584,0.14433345,0.9928213,0.6265121,0.8218062,-0.064004965,0.9976131,0.50412595,0.81230754,0.3011707,0.9951642,0.63520104,0.84757876,-0.06807823,0.9731025,0.51709694,0.83847183,0.30836636,0.9752242,idle
0.5454392,0.18465559,-0.22082269,0.9999883,0.55587095,0.16548039,-0.21983007,0.9999808,0.5361226,0.17127153,-0.19576424,0.999966,0.5708933,0.16471606,-0.14314023,0.9999806,0.5344025,0.17561409,-0.03630359,0.9999369,0.55782175,0.19749719,-0.18939868,0.9999752,0.54360974,0.19978294,-0.15858257,0.9999613,0.6199939,0.23055577,-0.12569797,0.9999441,0.5272657,0.25827834,0.08895652,0.9998993,0.6178985,0.32545152,-0.27668864,0.99437004,0.4809878,0.33147854,-0.041246284,0.958194,0.56786215,0.24262767,-0.39363402,0.99234647,0.48599392,0.24255498,-0.3393506,0.9742712,0.59685856,0.48792258,-0.075375535,0.99978304,0.5405927,0.48466593,0.07541169,0.99981153,0.6000729,0.6513827,-0.10180751,0.99704677,0.5128827,0.6406956,0.13664497,0.992753,0.6283476,0.8216237,-0.03172883,0.997413,0.50445604,0.8117577,0.28126186,0.9949916,0.6353904,0.8468561,-0.034122452,0.97155786,0.51730883,0.8383561,0.2877631,0.97411954,idle
0.547331,0.18468004,-0.21542528,0.999989,0.5570581,0.16547371,-0.21493337,0.99998194,0.53894556,0.17128824,-0.19010198,0.99996823,0.5734492,0.16456938,-0.14256498,0.9999817,0.53772056,0.17559214,-0.03020466,0.99994093,0.5597318,0.1974905,-0.18495414,0.99997646,0.54582024,0.19978069,-0.15316407,0.9999634,0.6228012,0.23057035,-0.12329105,0.99994236,0.5308999,0.25826257,0.090899,0.9998997,0.6208888,0.32583958,-0.27617466,0.99441063,0.48212832,0.33148095,-0.040553752,0.95935446,0.5710754,0.2427187,-0.39544934,0.9923764,0.48799658,0.24174967,-0.33524835,0.97493446,0.59843105,0.48800907,-0.07619074,0.9997825,0.54325026,0.484687,0.07623167,0.999813,0.6018676,0.6511806,-0.122965835,0.9970787,0.514415,0.6400797,0.12734693,0.99286145,0.6283845,0.8229884,-0.07334786,0.997424,0.50465715,0.8117534,0.26707304,0.99504733,0.6345707,0.8473005,-0.07797255,0.9722063,0.5173589,0.83891237,0.2729735,0.9743337,idle
0.54817003,0.18460782,-0.20136449,0.9999893,0.55765975,0.16535114,-0.20319398,0.99998254,0.54110336,0.17128465,-0.1769125,0.99996924,0.575086,0.16412511,-0.13691224,0.9999823,0.5402154,0.17546508,-0.017157719,0.9999423,0.560443,0.19740905,-0.17224404,0.99997693,0.54695666,0.19964375,-0.1381574,0.99996376,0.62434876,0.23055346,-0.11695947,0.99994135,0.53365296,0.25777772,0.108965956,0.9998951,0.6214956,0.32699212,-0.26152807,0.99426633,0.48485875,0.33143932,-0.014566553,0.9575268,0.5723522,0.24258962,-0.37333992,0.9922451,0.49114555,0.24082227,-0.31461278,0.9743911,0.60017335,0.48491338,-0.07698288,0.99977875,0.5454351,0.48249823,0.07705886,0.9998084,0.60108984,0.64805305,-0.13556841,0.99688125,0.5172162,0.6401994,0.12252196,0.9921011,0.62909555,0.82295203,-0.09938331,0.9972394,0.50480527,0.8117328,0.24372275,0.99462366,0.63471025,0.8470463,-0.1046987,0.97151303,0.51739657,0.839021,0.24794924,0.97334164,idle
