x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.39038995,0.21553819,-0.37881708,0.99985665,0.40520605,0.19834262,-0.35851786,0.9996868,0.37554297,0.19335976,-0.35916165,0.9996775,0.41347447,0.2065911,-0.20450333,0.9997008,0.3630107,0.19610614,-0.20987055,0.99926883,0.39819357,0.23869017,-0.31844983,0.99969774,0.37848517,0.2376409,-0.31979018,0.9995948,0.44400087,0.31027728,-0.09512063,0.9998118,0.31851104,0.29360178,-0.09928048,0.99959034,0.48444057,0.41757545,-0.15632659,0.9894926,0.27964485,0.41332713,-0.20330305,0.77571803,0.43575603,0.45038646,-0.38053203,0.96296483,0.35714188,0.38818422,-0.46198362,0.78084236,0.4155055,0.5565245,0.00010838043,0.9996691,0.34115797,0.5578765,-0.000107106214,0.9997566,0.43070108,0.72520256,0.007891889,0.996611,0.33241433,0.73043686,0.03106589,0.9922051,0.4201037,0.85323787,0.3502651,0.996313,0.32505754,0.8777249,0.2982098,0.99564534,0.40579733,0.8652468,0.3753315,0.93018526,0.33766815,0.8969739,0.316675,0.96773213,idle
0.38516468,0.2139087,-0.3664345,0.9998699,0.39936677,0.19660659,-0.34702933,0.9997149,0.3701713,0.19247586,-0.34630948,0.9997071,0.40766826,0.2052929,-0.19944666,0.9997265,0.35841396,0.197019,-0.19920936,0.9993384,0.39351636,0.2371646,-0.3085541,0.9997267,0.3738206,0.236482,-0.30828643,0.9996343,0.43879867,0.30885968,-0.09395419,0.9998264,0.31434688,0.29197988,-0.090289444,0.99962527,0.4772827,0.4150804,-0.11140356,0.9902016,0.2762501,0.41113552,-0.18171088,0.79732287,0.4316059,0.45007753,-0.29416382,0.9660122,0.35157266,0.3873511,-0.44787902,0.80147994,0.40351072,0.5566581,0.0026544211,0.99966395,0.33261842,0.5548106,-0.0026540682,0.99975824,0.40056664,0.7234329,0.047650557,0.9965104,0.32899386,0.7267192,0.03862327,0.9927907,0.3914197,0.855681,0.3303929,0.9959129,0.32554704,0.877241,0.2836828,0.99575335,0.37954748,0.8731699,0.34990436,0.933722,0.33729947,0.89678305,0.29844096,0.9668624,idle
0.3845047,0.21150115,-0.36031526,0.9998815,0.39817712,0.19498654,-0.33916897,0.9997391,0.37098384,0.190125,-0.34312737,0.999733,0.40686855,0.20426948,-0.19169948,0.99974763,0.35945007,0.1957577,-0.18893172,0.9993996,0.39249536,0.23469728,-0.30379975,0.9997523,0.3733669,0.23317988,-0.30408806,0.99966955,0.43870535,0.30814615,-0.09049587,0.999839,0.31405815,0.29074043,-0.084498584,0.9996558,0.47737184,0.4138487,-0.103668734,0.9908426,0.27526286,0.40843737,-0.17186823,0.8167282,0.4296171,0.45001343,-0.26645604,0.9686661,0.35159162,0.38768068,-0.404316,0.81992686,0.40087932,0.55714065,0.002877274,0.99965644,0.33097908,0.5540249,-0.002856958,0.99975544,0.39611703,0.71871173,0.055770956,0.99623334,0.32981843,0.7216778,0.05129396,0.99324644,0.3881738,0.8573354,0.31464738,0.99532473,0.32830423,0.8771263,0.28395727,0.9957369,0.37716153,0.87942386,0.332908,0.9368748,0.33681127,0.89644635,0.29920918,0.96558553,idle
0.38502452,0.21118417,-0.35666603,0.9998922,0.39815176,0.19394346,-0.33654258,0.9997617,0.37186584,0.18970938,-0.33733314,0.9997567,0.40886998,0.20326807,-0.19094782,0.9997687,0.35997662,0.19529948,-0.18517515,0.99945575,0.39290306,0.2342458,-0.30016872,0.9997759,0.3740812,0.23274,-0.2989697,0.9997016,0.43988022,0.30767146,-0.09096593,0.9998518,0.31648612,0.28911132,-0.0805109,0.9996843,0.47715694,0.41246244,-0.106779434,0.99144435,0.2752291,0.4055284,-0.16963497,0.83421046,0.42872095,0.45034167,-0.27278966,0.9711375,0.35179517,0.38823503,-0.40641832,0.8368677,0.39886543,0.5575399,-7.160877e-05,0.99966055,0.3289178,0.55516,7.7320496e-05,0.9997563,0.39573598,0.71912855,0.04237839,0.99623775,0.32756692,0.72135776,0.058776647,0.99373305,0.38988242,0.8592035,0.33326432,0.99503046,0.32962146,0.87700313,0.31407174,0.99584967,0.37766868,0.88269764,0.3537326,0.93975025,0.3393462,0.89607733,0.3318946,0.9655287,idle
0.38689107,0.2120304,-0.36482313,0.9999016,0.39948073,0.19469528,-0.34522706,0.99978137,0.37413758,0.19057009,-0.34468234,0.9997773,0.41065735,0.20371866,-0.19507077,0.9997865,0.36122924,0.19566645,-0.1914831,0.99950516,0.39410937,0.23460491,-0.30565324,0.999797,0.37577516,0.23303556,-0.30486712,0.9997303,0.44097194,0.30759183,-0.09283618,0.99986356,0.3178244,0.2870469,-0.0821382,0.99970967,0.4765241,0.41292298,-0.11381121,0.9919744,0.27495626,0.40274292,-0.17102356,0.849947,0.4280663,0.45051244,-0.29209036,0.97339314,0.35104948,0.38849956,-0.42007113,0.85215,0.3979356,0.55732536,-0.0009212028,0.9996556,0.3276288,0.5547322,0.0009064855,0.9997476,0.39423305,0.7194011,0.028874671,0.9962247,0.32438305,0.7212058,0.0516509,0.994146,0.38997024,0.8607619,0.32568914,0.99475044,0.32858622,0.8766082,0.30960286,0.99592936,0.37595934,0.8843544,0.34653914,0.9418296,0.3383564,0.89542544,0.32755557,0.96487063,idle
0.38943154,0.21559177,-0.38330692,0.9999102,0.40242428,0.19913651,-0.3630567,0.9997995,0.3757225,0.19299889,-0.365488,0.99979687,0.41298756,0.20862524,-0.2010543,0.9998025,0.3643135,0.19630595,-0.21493931,0.99955225,0.3960607,0.23618439,-0.3189221,0.9998162,0.3784642,0.23330908,-0.3232028,0.9997566,0.44052362,0.31150612,-0.0911299,0.9998744,0.31608945,0.28643003,-0.103017375,0.99973655,0.4754488,0.41640875,-0.14548919,0.9923356,0.2633239,0.39377362,-0.21606214,0.86433864,0.4230725,0.44676337,-0.41050187,0.9753208,0.32270348,0.39844924,-0.49508643,0.8653561,0.39105883,0.5585274,0.00793471,0.99966335,0.31821018,0.55260754,-0.007965972,0.99976146,0.39221612,0.72466755,0.04432705,0.9962384,0.29613724,0.72113633,-0.02274948,0.99463725,0.3873023,0.86354697,0.3698779,0.9946509,0.29037124,0.87043446,0.23484895,0.99614567,0.37170202,0.8874963,0.39363188,0.94432575,0.30322915,0.8886542,0.2513306,0.9650893,idle
0.39082894,0.21911539,-0.38692427,0.99991775,0.4039817,0.2030157,-0.36690155,0.99981517,0.37652212,0.19543245,-0.36981708,0.999814,0.41418934,0.21178392,-0.20295243,0.9998159,0.36554623,0.19810176,-0.21942735,0.9995943,0.3970883,0.23872092,-0.32151234,0.9998332,0.37981343,0.23422375,-0.32651094,0.9997802,0.43963474,0.31450245,-0.091763854,0.99988407,0.31389707,0.28578886,-0.10266378,0.99976087,0.47074193,0.42301518,-0.17715015,0.99258953,0.25803334,0.3880073,-0.21695368,0.87720823,0.4131537,0.43723497,-0.46453398,0.9769353,0.31445652,0.40472174,-0.5018531,0.8769491,0.3870392,0.55929863,0.008253423,0.99966395,0.31335664,0.5509033,-0.008276477,0.99977183,0.39297336,0.72562855,0.034219988,0.9962367,0.28564245,0.7200563,-0.052832525,0.99506503,0.38749614,0.8643144,0.35628772,0.99450946,0.27262762,0.8664731,0.2126563,0.99633247,0.37180373,0.8877118,0.37985623,0.94551384,0.28301328,0.88592994,0.22982939,0.96498907,idle
0.39175272,0.22364421,-0.38864526,0.9999251,0.40498057,0.20803767,-0.36780885,0.99983156,0.37764838,0.19865437,-0.37200245,0.9998307,0.4139977,0.21542637,-0.20137584,0.9998309,0.3659089,0.20055677,-0.22270219,0.99963325,0.396771,0.2427949,-0.32191446,0.9998492,0.38003933,0.2372546,-0.32879683,0.99980175,0.43757495,0.31644946,-0.08603452,0.9998938,0.31217676,0.28558588,-0.10779764,0.99978316,0.46456847,0.42923123,-0.1917258,0.99273604,0.2535514,0.3838153,-0.2248183,0.88882667,0.41169906,0.42657965,-0.50579345,0.9783999,0.3094893,0.41020766,-0.50606084,0.8870767,0.38420653,0.56013304,0.013930539,0.99967724,0.30945355,0.55070865,-0.013971711,0.99978244,0.39381894,0.7268464,0.053304113,0.9963352,0.2776406,0.7198314,-0.021387635,0.99546534,0.38928264,0.8653047,0.3767014,0.9945783,0.2537232,0.8651067,0.23543052,0.9965349,0.37333044,0.887837,0.4002781,0.9472214,0.25802228,0.88232034,0.252023,0.9642256,idle
0.39175028,0.23006128,-0.3891577,0.9999316,0.4049653,0.21460658,-0.3680231,0.99984604,0.37876898,0.20469438,-0.3758984,0.99984545,0.4125329,0.22036342,-0.20038645,0.99984366,0.36546355,0.20379831,-0.24034338,0.9996682,0.39513084,0.24922678,-0.32172966,0.99986356,0.3792401,0.2432759,-0.3336229,0.9998211,0.43285623,0.31804803,-0.085700974,0.9999029,0.30701062,0.2860088,-0.13312072,0.99980354,0.4552788,0.43480963,-0.20797166,0.99265206,0.24832463,0.38107416,-0.24311881,0.8993226,0.40668836,0.41754112,-0.5440393,0.979708,0.30667242,0.41831496,-0.49699992,0.8958438,0.38001877,0.5618826,0.023408405,0.99969596,0.3051033,0.55118865,-0.023472968,0.99979466,0.39162558,0.7282318,0.0635622,0.9963984,0.26881686,0.7198982,-0.015168449,0.99582446,0.38781333,0.86694443,0.389281,0.99465275,0.23296145,0.864469,0.24575552,0.9967233,0.37193185,0.88904476,0.4138297,0.9492288,0.23479874,0.87804335,0.26298702,0.96339434,idle
0.39135563,0.23557974,-0.38383922,0.99993783,0.40452933,0.21983409,-0.36311457,0.99986017,0.379504,0.20988153,-0.37061,0.9998597,0.4103214,0.2250423,-0.1967945,0.999857,0.36416146,0.20775515,-0.24259922,0.9997004,0.393498,0.25438467,-0.31868163,0.9998768,0.37857962,0.24809547,-0.32977763,0.99983877,0.42780668,0.31990692,-0.084496334,0.99991155,0.30220583,0.28646663,-0.13703778,0.9998224,0.44547582,0.4395204,-0.20582183,0.99265176,0.244172,0.38127115,-0.23898897,0.90878385,0.40133175,0.41583875,-0.5377103,0.9810582,0.29934612,0.42720133,-0.48305893,0.9035566,0.37597516,0.56387603,0.027696718,0.99971455,0.3008974,0.5515078,-0.027761739,0.9998087,0.39097124,0.7281576,0.07612841,0.9965189,0.26327723,0.7197514,-0.036945406,0.9961714,0.38743824,0.8670256,0.405204,0.9948201,0.21797426,0.86466247,0.20362811,0.9969379,0.37121534,0.88894427,0.43057466,0.9515575,0.2176632,0.876854,0.21922064,0.9632406,idle
