x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.39367506,0.28985426,0.04961761,0.99994403,0.39794433,0.27346224,0.011854252,0.99996805,0.4000505,0.27304867,0.04860463,0.9999523,0.41442007,0.27746433,-0.09163615,0.9999547,0.4191628,0.27609614,0.06903626,0.9999234,0.3994465,0.30524895,0.019429345,0.9997857,0.40056077,0.305235,0.06601201,0.99979436,0.40382075,0.35687593,-0.18723908,0.99983466,0.46418506,0.3617284,0.16900656,0.9994878,0.34114373,0.41951045,-0.1567075,0.96972495,0.43965945,0.45283535,0.2767451,0.14413933,0.33374384,0.34080866,0.03952612,0.9325496,0.3915276,0.42981377,0.3273735,0.2193297,0.43220258,0.57350606,-0.109878436,0.9995421,0.47128478,0.57003105,0.10987957,0.999547,0.389113,0.7256859,-0.067218885,0.95796996,0.48090488,0.7049667,0.18265767,0.7341776,0.37326115,0.8783722,-0.020790413,0.984346,0.5245237,0.84856313,0.25464097,0.92398316,0.3905464,0.9092081,-0.016535174,0.96489304,0.54263026,0.8787018,0.2625508,0.92000777,idle
0.39447504,0.28977963,0.054325145,0.9999446,0.3990364,0.2733951,0.017423984,0.99996847,0.40147942,0.27299368,0.053211056,0.9999531,0.4148968,0.27712157,-0.085019514,0.9999551,0.42020616,0.2760326,0.071602926,0.9999251,0.4001131,0.30513802,0.024542978,0.99978894,0.40151185,0.30515566,0.06977297,0.99979717,0.4048493,0.35690963,-0.18038914,0.9998381,0.4652695,0.36170664,0.17048612,0.99948347,0.34163958,0.4194306,-0.14971462,0.9710223,0.42942753,0.44091514,0.27943376,0.13677509,0.3347518,0.340747,0.046967156,0.9341224,0.37874427,0.41440976,0.3467,0.20504063,0.4337805,0.5734861,-0.1086483,0.9995595,0.47265476,0.570021,0.10863918,0.99955267,0.39039713,0.7255888,-0.07281107,0.95963424,0.48226047,0.70491415,0.17747281,0.7410196,0.3732791,0.87836957,-0.045835968,0.9845491,0.52445877,0.84897995,0.23408553,0.9250003,0.39031938,0.9092045,-0.04392963,0.9660893,0.541776,0.8796522,0.23986511,0.92131835,idle
0.39547104,0.28963456,0.06502649,0.99994373,0.40001792,0.27337614,0.027030941,0.99996793,0.40260544,0.2729598,0.06322027,0.99995255,0.41528058,0.27680886,-0.078799956,0.99995387,0.42128414,0.27588654,0.07914026,0.9999241,0.4011898,0.30510423,0.033892144,0.9997853,0.402779,0.30510226,0.079676345,0.9997931,0.40609536,0.35680118,-0.17702726,0.9998399,0.4669768,0.36172363,0.17268753,0.999472,0.34238842,0.41917616,-0.14441475,0.9723662,0.43206698,0.44073883,0.28423372,0.12944095,0.33618218,0.34076083,0.05653129,0.9351112,0.3807755,0.4008556,0.35854542,0.18977392,0.43481284,0.5729107,-0.1081241,0.9995713,0.47415504,0.56973153,0.108120404,0.99955326,0.39176446,0.7255274,-0.0758441,0.96133274,0.4832046,0.70474267,0.17208678,0.74886376,0.37337726,0.87839216,-0.052672476,0.9848931,0.52431154,0.8489716,0.22183833,0.92682844,0.3903274,0.9092016,-0.05085819,0.9674735,0.5413685,0.8800371,0.22694103,0.9232401,idle
0.39658004,0.28957427,0.05496677,0.99994195,0.40152526,0.27326548,0.017722532,0.99996656,0.4037355,0.27289385,0.05436523,0.99995095,0.41649723,0.27669784,-0.082533754,0.9999515,0.42203802,0.2758751,0.07658855,0.99992144,0.40201682,0.30500105,0.025318384,0.99977845,0.40352052,0.3050742,0.071714625,0.9997855,0.40704387,0.35670015,-0.17969523,0.9998433,0.46890026,0.36193758,0.17159209,0.99946254,0.34261087,0.41914073,-0.14734748,0.9737876,0.44161096,0.44972447,0.28410578,0.12251166,0.3378858,0.34073755,0.056786347,0.9356401,0.39258605,0.42034847,0.3407279,0.1744986,0.43542933,0.5729343,-0.10829055,0.9995797,0.4742917,0.5699505,0.10829232,0.99954057,0.39199442,0.7255321,-0.077245355,0.96240133,0.4847119,0.70568115,0.18006305,0.7520213,0.3733048,0.8784686,-0.05411337,0.9850854,0.52435386,0.84915245,0.24330838,0.9273228,0.38998416,0.909347,-0.05208055,0.9687834,0.5415677,0.88078094,0.2500784,0.92441815,idle
0.39802536,0.28941962,0.056545593,0.99994236,0.40324527,0.27302116,0.019091124,0.9999663,0.4049963,0.27264202,0.05594129,0.99995124,0.41776174,0.2765376,-0.08240331,0.9999507,0.42295223,0.2757703,0.07815596,0.9999221,0.4032027,0.30447668,0.026760295,0.9997768,0.4044198,0.30459425,0.07340695,0.9997848,0.40764126,0.35618955,-0.180298,0.9998481,0.46945828,0.36177737,0.17209847,0.9994623,0.34291753,0.41907877,-0.14734635,0.9754209,0.4510653,0.45752323,0.28239375,0.1160906,0.33918327,0.34074768,0.05729562,0.9357231,0.40405065,0.44680747,0.3373487,0.1601181,0.4361338,0.5726956,-0.108410574,0.9995923,0.47475433,0.5698461,0.10840875,0.9995337,0.39314014,0.7254607,-0.08477475,0.9637771,0.48535436,0.70594656,0.18614203,0.75494057,0.3731569,0.87887365,-0.07399956,0.9852575,0.5243305,0.849263,0.24963573,0.9272394,0.38922322,0.9098079,-0.072936565,0.9702149,0.5415738,0.8808796,0.25659445,0.92530537,idle
0.3989448,0.28931057,0.06554078,0.999942,0.4041141,0.27298492,0.02775603,0.9999654,0.4057409,0.2725868,0.06421299,0.9999509,0.41828585,0.27629483,-0.07635771,0.99994874,0.42379338,0.27558416,0.083122656,0.9999215,0.40395626,0.30415022,0.03503173,0.99976957,0.40507022,0.30432716,0.08116703,0.99977994,0.40782326,0.35565698,-0.1799343,0.9998496,0.4705631,0.36160076,0.17152616,0.99945956,0.3435791,0.41862392,-0.1428753,0.976945,0.45694584,0.46153954,0.2718745,0.11017176,0.33983368,0.34071645,0.06711025,0.93497646,0.41120824,0.46395075,0.31877735,0.14702068,0.43655223,0.57238275,-0.107607566,0.9995946,0.4753797,0.5696989,0.10757363,0.99951893,0.39433035,0.72540575,-0.08599333,0.9650384,0.48568287,0.70626765,0.18022612,0.75901884,0.37316826,0.8791637,-0.07452635,0.98533106,0.52430737,0.8493258,0.23565209,0.9275368,0.38924912,0.9099238,-0.07355308,0.97136825,0.5415791,0.8809308,0.24127722,0.92624056,idle
0.39987633,0.28914437,0.06820701,0.99994236,0.40497273,0.27274263,0.02977528,0.999965,0.40659547,0.27234122,0.06611514,0.99995106,0.4187954,0.27583554,-0.07651858,0.99994755,0.42460966,0.27511472,0.082673945,0.9999219,0.40485755,0.3032684,0.036813285,0.9997685,0.40598837,0.30353737,0.08283116,0.9997798,0.40799245,0.35526714,-0.18048841,0.999853,0.47257358,0.36156055,0.16841306,0.9994603,0.34422427,0.4180602,-0.14363638,0.9784895,0.45816,0.4623914,0.26492625,0.105351865,0.3404032,0.34048754,0.059135653,0.93588686,0.41191047,0.4601919,0.3122633,0.13540262,0.43684334,0.5723751,-0.10682446,0.9996028,0.47600532,0.5697208,0.10677053,0.9995121,0.39490187,0.72541344,-0.08248507,0.96634424,0.48601642,0.7065748,0.18352845,0.76448995,0.37318066,0.87931895,-0.067724325,0.9855512,0.52447975,0.8494038,0.24219589,0.928415,0.3892663,0.9101658,-0.06613851,0.9726646,0.5414716,0.8809959,0.24890561,0.92786944,idle
0.40043634,0.2889932,0.07070591,0.9999413,0.40558544,0.27259484,0.032180708,0.9999636,0.40723437,0.27213758,0.068206094,0.99994993,0.4193645,0.2756016,-0.07574804,0.9999449,0.4254684,0.2748145,0.08234949,0.99992055,0.40550414,0.3025935,0.03864028,0.99976295,0.40663084,0.30293173,0.08426972,0.999776,0.40793777,0.35488433,-0.18082401,0.9998548,0.47388107,0.36142418,0.16542442,0.9994564,0.34493357,0.41788965,-0.14373238,0.9797449,0.458647,0.4616399,0.26057667,0.1005164,0.34139472,0.34046996,0.05613502,0.93644863,0.4126657,0.46073246,0.3071416,0.12466902,0.43694434,0.5723666,-0.10601286,0.99960786,0.47654206,0.56973344,0.10593867,0.99950135,0.3958105,0.7253917,-0.08026199,0.9672474,0.48634487,0.7074245,0.18233232,0.7684124,0.37352425,0.87921107,-0.064683765,0.9856579,0.52474695,0.8495823,0.23940797,0.92856246,0.38937408,0.91017276,-0.06305298,0.97372365,0.5412889,0.881032,0.2459782,0.92892826,idle
0.40072575,0.28879178,0.07332211,0.99993837,0.4057502,0.27237877,0.03458277,0.9999615,0.40759152,0.27191764,0.07087235,0.9999473,0.41951603,0.2753571,-0.07504452,0.99994123,0.42591006,0.2745799,0.08377844,0.9999165,0.40590835,0.3020639,0.040448654,0.9997532,0.40710574,0.30241647,0.08647161,0.9997658,0.4079457,0.35451832,-0.18074948,0.9998557,0.47436038,0.36094424,0.16676697,0.99944365,0.34558493,0.41768464,-0.14562763,0.98070794,0.4534997,0.45987463,0.26532152,0.096227765,0.34210286,0.34037513,0.052287586,0.93755686,0.40603447,0.4474979,0.33141595,0.11538053,0.4371048,0.572238,-0.10590877,0.9996118,0.4769474,0.5695428,0.10584551,0.99948937,0.39685884,0.7253562,-0.08131851,0.96769077,0.4864269,0.70755684,0.18090059,0.7709427,0.37396806,0.8791179,-0.07025809,0.9857853,0.5247705,0.849641,0.2356389,0.92864877,0.38984472,0.91013086,-0.069403596,0.9746632,0.54114324,0.8810267,0.24160504,0.9298548,idle
0.40134946,0.28837493,0.079733744,0.9999325,0.40631986,0.2720532,0.040202778,0.99995774,0.40830907,0.2716023,0.07660883,0.9999422,0.41978002,0.27518898,-0.07252465,0.999935,0.42642778,0.27447927,0.08679679,0.99990875,0.40628648,0.30164433,0.045865852,0.9997336,0.40764028,0.30206063,0.092029326,0.9997461,0.4082717,0.3542926,-0.18053485,0.9998555,0.47476596,0.36082852,0.16686961,0.99941826,0.34577587,0.41759297,-0.15038295,0.9815812,0.45160156,0.4588627,0.2686132,0.09218592,0.34265587,0.3392584,0.043824602,0.9383826,0.403194,0.44284406,0.3364914,0.106733695,0.43705088,0.5722465,-0.10577954,0.99961364,0.4773888,0.5695312,0.10572851,0.9994723,0.39695886,0.72589236,-0.081416056,0.9680576,0.48636556,0.70789057,0.17952397,0.77412236,0.37401688,0.8792327,-0.06917971,0.9857749,0.52460194,0.8498353,0.23347874,0.9283862,0.38988638,0.9103515,-0.06835365,0.97528714,0.5409462,0.88111156,0.23945737,0.93036944,idle
