x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.3543484,0.088590406,-0.33354473,0.99999195,0.35817814,0.071245566,-0.30915737,0.999987,0.3377451,0.07061115,-0.31594932,0.9999808,0.35909393,0.0777948,-0.12830546,0.9999781,0.3170579,0.078219905,-0.18663464,0.9999741,0.35813057,0.10782903,-0.2654702,0.9999887,0.34329075,0.10835061,-0.27482918,0.99998814,0.38557458,0.18558006,0.028081592,0.9999651,0.27970788,0.17098752,-0.08800806,0.99991494,0.41643482,0.32091203,-0.09727456,0.95240736,0.24467619,0.30284598,-0.23375683,0.9418782,0.41308442,0.2737473,-0.45003304,0.97950536,0.27122843,0.25280365,-0.538464,0.9594447,0.37331253,0.4408638,0.030419106,0.99983716,0.30405012,0.4425141,-0.030335179,0.9998486,0.40240735,0.6404272,0.017346438,0.9942479,0.27991503,0.63339484,0.014023719,0.9965869,0.43548107,0.82490844,0.13682102,0.9956371,0.2536949,0.8140987,0.25112468,0.99741644,0.42492643,0.85119236,0.13682884,0.95173997,0.25487798,0.8410627,0.26312348,0.9477299,idle
0.35091627,0.08970105,-0.3813445,0.999992,0.35317367,0.0716102,-0.35670152,0.99998707,0.33266926,0.07495392,-0.3704849,0.99998116,0.35357326,0.079721995,-0.17443271,0.9999779,0.31262857,0.08671841,-0.24167648,0.9999743,0.3554129,0.10823865,-0.3101756,0.9999885,0.33979526,0.110627554,-0.32901832,0.9999879,0.3839275,0.18888749,-0.024194634,0.99996275,0.2749953,0.18328649,-0.13532357,0.9999104,0.41946492,0.3239617,-0.14664504,0.95341057,0.24677959,0.3119748,-0.28871015,0.94194335,0.41769916,0.27850658,-0.5033557,0.9798634,0.26859507,0.26152906,-0.6136087,0.95924443,0.37497908,0.44284648,0.028950801,0.99983096,0.30346137,0.4462773,-0.028894085,0.9998433,0.40557727,0.6453536,0.015277654,0.9944335,0.27496892,0.63874334,0.026188504,0.9965792,0.43396258,0.8290295,0.13131273,0.9957128,0.24897087,0.81599975,0.25424916,0.9974564,0.4202105,0.85677445,0.13024265,0.9536307,0.25398874,0.8421918,0.2646537,0.94884443,idle
0.34652537,0.104305774,-0.3579966,0.99999213,0.3499903,0.088235326,-0.33288664,0.9999871,0.32953027,0.0880928,-0.344964,0.9999812,0.35085994,0.09369635,-0.15246364,0.99997777,0.30926052,0.09712594,-0.21484101,0.9999738,0.35061124,0.12188312,-0.2869641,0.99998844,0.3342827,0.1223517,-0.30413455,0.9999875,0.37884557,0.20070416,-0.0147057865,0.99996346,0.27081716,0.19382185,-0.11362316,0.9999063,0.41298765,0.33358657,-0.11887691,0.95535547,0.25064367,0.32225546,-0.26402617,0.9396728,0.41571602,0.28294316,-0.4247864,0.98106045,0.271347,0.27531192,-0.586907,0.95967615,0.37212625,0.4530588,0.026887944,0.9998371,0.30053687,0.4562356,-0.026842061,0.9998432,0.40525478,0.6516301,-0.0382761,0.99451,0.27420843,0.64219886,0.060783524,0.99612236,0.4280559,0.83384776,0.028103089,0.9955602,0.24767964,0.8167354,0.30368528,0.9971907,0.41455644,0.8618727,0.022683367,0.95454663,0.2547699,0.84168625,0.3163853,0.9476924,idle
0.3403331,0.109677695,-0.31813794,0.9999924,0.34472615,0.09364167,-0.2935414,0.9999875,0.32255745,0.09539328,-0.2990778,0.9999816,0.34707147,0.10147451,-0.13455014,0.99997836,0.30493057,0.10734628,-0.15982108,0.99997354,0.3459627,0.12801667,-0.25698334,0.9999888,0.32821733,0.12963001,-0.26458436,0.9999876,0.37790367,0.21303044,-0.016530495,0.9999648,0.26975483,0.21118073,-0.05576394,0.9999026,0.4108181,0.3451231,-0.1263543,0.9578889,0.2519743,0.34808597,-0.17898457,0.9390179,0.41360387,0.29868022,-0.43516555,0.9821404,0.27040693,0.29510623,-0.4857851,0.9610985,0.37027746,0.46769482,0.007881533,0.9998437,0.2982983,0.47118014,-0.0078074327,0.99984163,0.40428448,0.6583824,-0.046710867,0.9947405,0.2728544,0.648562,0.093876116,0.9959555,0.43124112,0.83775806,0.03872511,0.9955978,0.24840362,0.8224373,0.34112778,0.9969677,0.42026526,0.8648786,0.035123743,0.9538559,0.25658542,0.843117,0.35561058,0.94628876,idle
0.33558625,0.11284653,-0.3251973,0.99999243,0.34035927,0.09617045,-0.29948464,0.99998766,0.31734872,0.098203555,-0.30330032,0.99998146,0.34314746,0.10414706,-0.13368848,0.99997914,0.30114335,0.11129998,-0.16461986,0.9999725,0.34227392,0.13149044,-0.26161447,0.999989,0.3240435,0.13357043,-0.26844472,0.9999872,0.37713856,0.21670628,-0.0150064435,0.9999652,0.26853395,0.21330962,-0.059826016,0.99988985,0.4098445,0.34762126,-0.12737378,0.95953214,0.2523368,0.3462099,-0.19445571,0.92990816,0.40644026,0.30282813,-0.4393546,0.98249656,0.27044815,0.30265385,-0.5121945,0.95631826,0.36866948,0.47162,0.007150974,0.9998451,0.29618368,0.47543973,-0.0070513412,0.9998367,0.4032809,0.6613108,-0.026892498,0.9950109,0.2688157,0.6588432,0.066179976,0.9960224,0.43200332,0.83736503,0.09489888,0.9957348,0.24576172,0.82860076,0.29850405,0.9970161,0.4194766,0.8645933,0.094582126,0.9538972,0.25369936,0.84743714,0.31071717,0.94677544,idle
0.33328885,0.116376914,-0.39217094,0.99999136,0.33771846,0.09870276,-0.36726463,0.99998564,0.31583923,0.1012074,-0.38014036,0.9999803,0.33959383,0.1055939,-0.18327633,0.9999755,0.29855803,0.113094255,-0.24302192,0.99997133,0.33947876,0.13488767,-0.31973785,0.9999869,0.32254416,0.13679458,-0.33690992,0.9999853,0.37202242,0.21691783,-0.025888184,0.9999557,0.26484367,0.21236616,-0.14480789,0.9998844,0.40789396,0.3474251,-0.115477584,0.9547238,0.2536394,0.34842196,-0.28932318,0.92906594,0.40242046,0.3049131,-0.41646796,0.9791336,0.2680901,0.30183885,-0.6037322,0.95625407,0.36598128,0.47202095,0.023269705,0.9998396,0.29484782,0.47644126,-0.023226792,0.9998331,0.40351853,0.66100156,0.009863342,0.99510086,0.2698205,0.65836674,0.05361082,0.9959921,0.42731676,0.8346226,0.11958059,0.9956803,0.2449582,0.8264015,0.28824916,0.9969441,0.41202727,0.8642094,0.115137205,0.95396054,0.25287586,0.8467101,0.3006745,0.94549686,idle
0.3310448,0.11763083,-0.38095874,0.9999914,0.335653,0.10011351,-0.3568778,0.9999855,0.3132208,0.10256776,-0.36905533,0.9999802,0.337993,0.10650761,-0.17622598,0.9999753,0.29568756,0.11404316,-0.2332696,0.9999707,0.33735293,0.13627405,-0.31003827,0.9999868,0.31997758,0.13819095,-0.3266062,0.9999849,0.37315416,0.21631971,-0.028527182,0.999956,0.2627534,0.21087098,-0.1310362,0.9998843,0.41021433,0.34762868,-0.13008669,0.95718884,0.25393063,0.34618044,-0.27587298,0.9303343,0.40446,0.30507794,-0.47058478,0.98042154,0.26773185,0.30087027,-0.60769534,0.95755714,0.36657223,0.47090977,0.025203923,0.99983495,0.295714,0.4750187,-0.025141414,0.99983174,0.40464765,0.6607439,0.009239596,0.9952317,0.27092883,0.65426123,0.035941105,0.9960724,0.42159057,0.83434975,0.11723454,0.9957029,0.24524644,0.8255857,0.25872287,0.9970222,0.40747634,0.86356246,0.11502154,0.9555713,0.25223565,0.846389,0.26798302,0.9469644,idle
0.3334805,0.11818874,-0.37614816,0.99999094,0.3362079,0.10022233,-0.35258195,0.9999845,0.31543937,0.102549486,-0.36749926,0.9999799,0.33696902,0.10618431,-0.17218153,0.9999736,0.29563376,0.11381047,-0.24214692,0.9999708,0.3386257,0.13687894,-0.30465624,0.9999861,0.32256317,0.13866146,-0.32462925,0.99998444,0.37203,0.21597299,-0.023773437,0.9999494,0.2630356,0.20983526,-0.15112658,0.9998833,0.4106655,0.34603384,-0.13492385,0.9568217,0.2540883,0.34461597,-0.30510074,0.93162847,0.40117946,0.29748574,-0.47163844,0.9795271,0.2688445,0.30057466,-0.6102177,0.9578425,0.36761582,0.470353,0.031081673,0.9998302,0.2969776,0.47448298,-0.031021306,0.99983037,0.40516394,0.6603596,0.02909168,0.9953529,0.27204198,0.6573331,0.03622045,0.99615496,0.41942158,0.8327524,0.15925437,0.9957267,0.24527654,0.8255569,0.26638487,0.997099,0.40407896,0.8626227,0.16000208,0.9573717,0.2510151,0.84647673,0.27724385,0.9481674,idle
0.33386606,0.11940394,-0.37476918,0.9999897,0.3361649,0.10091971,-0.35058227,0.999982,0.3152433,0.10363328,-0.36383864,0.9999781,0.33709568,0.10650719,-0.17275363,0.9999685,0.29523045,0.114667326,-0.23344132,0.99996823,0.33896357,0.13829286,-0.3048565,0.99998426,0.3229601,0.14010197,-0.32250747,0.9999828,0.37351805,0.21521209,-0.030845528,0.99994105,0.26331607,0.21167956,-0.1364516,0.99987835,0.41453847,0.3420308,-0.15612563,0.9572976,0.2517711,0.35289592,-0.28005427,0.9346112,0.40370232,0.29541048,-0.50150996,0.978162,0.26543564,0.30119842,-0.6065242,0.95868486,0.36836058,0.47104362,0.030241821,0.99982506,0.29774246,0.47534302,-0.030190185,0.99982226,0.4058455,0.660816,-0.042378172,0.9955198,0.2728222,0.66103643,0.03533002,0.99618125,0.41714364,0.83270735,0.07956593,0.9957857,0.2445684,0.82579106,0.26935512,0.9970726,0.40360546,0.86219966,0.07954942,0.95906514,0.24957053,0.8465616,0.28054246,0.9475553,idle
0.33531824,0.12077716,-0.3537801,0.999989,0.33761775,0.10216997,-0.32768968,0.9999807,0.31644106,0.1051174,-0.3428709,0.99997765,0.33814645,0.10739956,-0.14782238,0.99996537,0.29596415,0.116134115,-0.21792464,0.9999685,0.34057,0.13934323,-0.2835063,0.9999832,0.32469815,0.1411226,-0.3034136,0.99998236,0.37496814,0.21408652,-0.0021628817,0.9999352,0.26457846,0.21322325,-0.12608483,0.9998782,0.4217135,0.33631843,-0.13150753,0.956367,0.24977918,0.354585,-0.27045056,0.93844056,0.40426612,0.29211465,-0.47209877,0.9765439,0.2662956,0.30301952,-0.5535195,0.959923,0.3734075,0.4723384,0.034829896,0.9998258,0.3010574,0.47739908,-0.0347652,0.99982244,0.41354975,0.6630204,-0.031805165,0.99567103,0.27435046,0.6677654,0.022663748,0.9962416,0.41851526,0.83300155,0.101717785,0.99582916,0.24395585,0.8257984,0.26240927,0.99709356,0.40525,0.8620983,0.101405285,0.96072507,0.24872956,0.8465911,0.2745007,0.94723445,idle
