x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4271709,0.34938487,-0.13802631,0.9973532,0.43258554,0.33939606,-0.113849364,0.99715984,0.41635928,0.33680388,-0.12188184,0.9975121,0.4370173,0.3466795,0.0194907,0.9939484,0.40106648,0.3445752,-0.013736082,0.99604756,0.43216848,0.36436033,-0.088873565,0.9951579,0.4178295,0.3625894,-0.10035726,0.9962349,0.4619174,0.43330717,0.10348041,0.9985243,0.36775482,0.41736972,0.0030517562,0.9997583,0.47511107,0.52839816,-0.03414526,0.51701564,0.3557913,0.5175398,-0.13096341,0.9670091,0.4731059,0.45462415,-0.2647234,0.5979091,0.3964346,0.47121283,-0.31333902,0.9115651,0.43501717,0.6188839,0.047385983,0.9981424,0.3810312,0.6090872,-0.0473496,0.99905664,0.42967087,0.76941687,0.07754619,0.65672094,0.35824773,0.761846,-0.13984385,0.97981083,0.4267128,0.91059715,0.2153033,0.8073185,0.3189227,0.91520476,-0.09247129,0.9794598,0.41482526,0.93597853,0.22004673,0.78251505,0.31230205,0.9392092,-0.09581634,0.8935179,idle
0.42439723,0.35375834,-0.15772995,0.99761695,0.43036133,0.34382135,-0.13429885,0.9974422,0.41336495,0.34139043,-0.14359249,0.9977594,0.43471137,0.35042796,-0.0010318839,0.994549,0.39803857,0.34777373,-0.04315932,0.9964411,0.42892057,0.36937702,-0.10789245,0.9956388,0.41479987,0.36776772,-0.12118324,0.99660945,0.45915517,0.43464625,0.0893651,0.99865377,0.36289114,0.42150983,-0.014570294,0.99977654,0.4757801,0.52793777,-0.030970614,0.56141406,0.34840688,0.51731956,-0.1576955,0.96831805,0.47323322,0.4554257,-0.2583309,0.63637143,0.38340905,0.46357736,-0.36087254,0.91859466,0.43390912,0.6193758,0.04290224,0.998278,0.3776457,0.6103841,-0.042843394,0.99913245,0.4305018,0.7662076,0.055015255,0.688068,0.3521328,0.7606031,-0.13925038,0.9813922,0.4268473,0.91081244,0.16613562,0.82458115,0.30836803,0.91276675,-0.09146584,0.9810406,0.41512394,0.9366455,0.1686853,0.7975252,0.30325037,0.9371185,-0.09468947,0.8955513,idle
0.42007217,0.35739937,-0.16431358,0.9978529,0.42656475,0.34648332,-0.14295028,0.99769413,0.40852612,0.34562573,-0.15123692,0.99797875,0.4308793,0.3520638,-0.01671681,0.99508345,0.3939839,0.35162345,-0.055761553,0.9967913,0.42532593,0.37254074,-0.116857685,0.99606895,0.41128892,0.3721442,-0.1286277,0.9969441,0.45767894,0.43539,0.06666822,0.9987742,0.35779908,0.42325553,-0.023725513,0.9997921,0.47570014,0.5277981,-0.06109203,0.6027364,0.34241122,0.5171708,-0.15267447,0.9700467,0.47219115,0.45815337,-0.28950375,0.6715425,0.3817355,0.45167682,-0.32356608,0.92518574,0.431151,0.6213029,0.045960415,0.9983613,0.37044406,0.611602,-0.04595433,0.999174,0.43137598,0.7670561,0.06237643,0.7132529,0.34717947,0.7606738,-0.13957237,0.9826314,0.42624387,0.91186297,0.16401699,0.83862805,0.30306864,0.9097579,-0.097851805,0.9818392,0.4148574,0.9373989,0.16639349,0.8075742,0.2969041,0.9313889,-0.10108461,0.8906015,idle
0.41391867,0.36268628,-0.20726165,0.99806523,0.42117697,0.3512635,-0.18796727,0.9979207,0.4027341,0.35120183,-0.1939858,0.9981755,0.42645088,0.35627207,-0.060626645,0.99556476,0.3901148,0.35689366,-0.090237245,0.9971058,0.4197251,0.3777432,-0.15854715,0.996456,0.40600705,0.37774706,-0.16740128,0.99724525,0.45650858,0.43841982,0.031668648,0.99888116,0.35460427,0.42602962,-0.042778596,0.99980575,0.4748872,0.52756923,-0.09271841,0.6402016,0.3312645,0.5168921,-0.16902183,0.97177917,0.46692467,0.4582123,-0.32285732,0.7032125,0.36889493,0.44657075,-0.34997803,0.9309571,0.42337093,0.62468827,0.043933,0.9984312,0.36333314,0.6166801,-0.043951135,0.99920917,0.43127614,0.76672524,0.050558776,0.73673177,0.3417233,0.7608047,-0.1381276,0.98382354,0.42590547,0.91185373,0.1437432,0.8516492,0.30112052,0.90781146,-0.094840385,0.98268825,0.41458812,0.9378582,0.14545172,0.8178678,0.29539338,0.9306075,-0.0979539,0.88775223,idle
0.40793848,0.36878014,-0.25938934,0.9982573,0.41593042,0.3586475,-0.23876925,0.9981261,0.3969878,0.3571706,-0.24240284,0.99835503,0.422455,0.36398545,-0.1102893,0.99600154,0.38577825,0.3624364,-0.13002744,0.9973918,0.41398358,0.38458338,-0.21144828,0.99680614,0.3997599,0.38404676,-0.21730988,0.9975183,0.44736677,0.45117754,-0.018795675,0.99897134,0.35043323,0.43166474,-0.079840615,0.99981934,0.4668836,0.53137445,-0.14040872,0.67409813,0.31673652,0.51629025,-0.21140964,0.9740258,0.46206298,0.46002206,-0.35343128,0.7318675,0.35487884,0.44269302,-0.39477843,0.93700427,0.41325408,0.6328993,0.03816571,0.998509,0.35482386,0.62466514,-0.03821308,0.999256,0.43037167,0.76726127,0.059726078,0.7591418,0.33442375,0.76205945,-0.13582048,0.9850719,0.42573118,0.9106251,0.16010723,0.86380506,0.30040747,0.9084802,-0.09277832,0.983546,0.4143762,0.9357974,0.16242035,0.8278913,0.2970559,0.9286693,-0.09526735,0.88534415,idle
0.40373507,0.3708528,-0.2247251,0.9984307,0.41209698,0.36047605,-0.20355412,0.9983122,0.392921,0.35832307,-0.20879953,0.99851763,0.417905,0.3664909,-0.07419806,0.9963989,0.38056365,0.36363146,-0.10254413,0.99765056,0.40886322,0.38619077,-0.17661741,0.9971236,0.39432028,0.3847775,-0.18480834,0.99776506,0.43869996,0.4513569,0.0061654304,0.9990649,0.34261996,0.43184245,-0.07454105,0.999829,0.4595387,0.5309833,-0.118788615,0.7053436,0.3077262,0.5126338,-0.19285366,0.97530615,0.4569831,0.46113107,-0.33632892,0.7580683,0.34249416,0.43992725,-0.39010665,0.94143456,0.4070626,0.6334692,0.03149134,0.99859995,0.34855568,0.6275405,-0.031485192,0.9993009,0.4297947,0.7680921,0.059832256,0.7812833,0.32774425,0.76546794,-0.0863395,0.98612577,0.42549825,0.909588,0.16659828,0.87578595,0.29940748,0.9086754,-0.020952472,0.9844666,0.41445932,0.93394375,0.16921303,0.8389414,0.29813573,0.9303828,-0.021738395,0.8835753,idle
0.40158343,0.37204993,-0.21158214,0.99858725,0.4093225,0.36181772,-0.19046222,0.9984803,0.39021087,0.35915154,-0.19670849,0.998665,0.41388997,0.36796325,-0.058372803,0.9967576,0.37655672,0.36462995,-0.09187501,0.99788463,0.4059926,0.38702476,-0.1618852,0.9974101,0.39092648,0.3853073,-0.17156574,0.9979879,0.43178686,0.45040542,0.027356427,0.9991512,0.33639973,0.43245852,-0.037804417,0.9998416,0.44606394,0.53497356,-0.08988531,0.73250043,0.29705632,0.5149213,-0.17607057,0.97652197,0.4514683,0.46194252,-0.31664708,0.78164417,0.3290674,0.44208688,-0.36000997,0.94615716,0.40358752,0.632448,0.030158993,0.99869186,0.34401718,0.627375,-0.03014116,0.99934477,0.42847604,0.7691924,0.045740537,0.8013918,0.3230477,0.7688592,-0.08280677,0.9869986,0.42492527,0.90959543,0.15023318,0.8865933,0.29832804,0.91302794,-0.015083389,0.9853607,0.41365236,0.9339555,0.15269049,0.8490801,0.29788956,0.93381715,-0.015898073,0.88428026,idle
0.3990258,0.37279037,-0.24983981,0.99872804,0.40667766,0.36192343,-0.22920284,0.9986314,0.3877061,0.35931376,-0.235425,0.99879736,0.41023564,0.36795607,-0.097469695,0.99708015,0.3740096,0.3646678,-0.12979265,0.99809504,0.40305653,0.38773012,-0.19984427,0.9976676,0.3880882,0.38597003,-0.20935428,0.9981883,0.4261969,0.45066422,-0.006183191,0.9992298,0.33246413,0.4322567,-0.059503615,0.99985296,0.4451189,0.5364648,-0.09832631,0.757792,0.28946453,0.51484376,-0.18595603,0.9782414,0.4502079,0.46246877,-0.30702928,0.803103,0.3216914,0.4428245,-0.38965493,0.9510848,0.3996868,0.6315108,0.02725274,0.99877244,0.339387,0.62642837,-0.027280468,0.99937576,0.42843312,0.7687852,-0.0035148617,0.8201365,0.32119402,0.7700736,-0.09370083,0.9877027,0.42506462,0.9083979,0.08723833,0.8964886,0.2992175,0.9139314,-0.020022085,0.9859676,0.4135502,0.9314112,0.088586345,0.85738033,0.2990116,0.93399924,-0.019579757,0.8839841,idle
0.397312,0.37156063,-0.2953789,0.9988548,0.40459424,0.36072662,-0.27319187,0.99876755,0.3859138,0.35835588,-0.27993414,0.99891675,0.4095478,0.36706161,-0.12991127,0.9973709,0.3721906,0.3639112,-0.16420394,0.99828464,0.40180898,0.38670716,-0.2407661,0.99789965,0.38657597,0.3849365,-0.25094005,0.9983688,0.42509812,0.4495554,-0.029463645,0.99929935,0.3288475,0.4319453,-0.07932125,0.99986136,0.4468142,0.5374867,-0.12738927,0.7807623,0.28593743,0.51277,-0.21346918,0.97918326,0.45067444,0.46283102,-0.3525605,0.82229984,0.31577784,0.44354516,-0.45471007,0.95488536,0.39815685,0.63062584,0.02421778,0.99881756,0.3374015,0.62564003,-0.02423006,0.999392,0.42834163,0.76796603,-0.00697598,0.837339,0.3210926,0.7702316,-0.09933179,0.9884317,0.42876053,0.907998,0.077716045,0.9057893,0.2993961,0.91399163,-0.0248202,0.98675734,0.41593274,0.93116575,0.07765042,0.86506164,0.29984897,0.9341297,-0.024554733,0.8862673,idle
0.39736694,0.37078887,-0.29205123,0.9989687,0.40404806,0.36000815,-0.2693508,0.9988897,0.3867727,0.35789242,-0.27731842,0.99902385,0.40882006,0.36647716,-0.12797931,0.99763185,0.37206835,0.36354277,-0.16754085,0.998455,0.40097842,0.38613993,-0.23844862,0.9981078,0.3866885,0.38424912,-0.25014177,0.99853086,0.42397466,0.4489013,-0.026550153,0.9993605,0.3286896,0.43152142,-0.091828674,0.999869,0.44700366,0.5370144,-0.11650379,0.8011575,0.28655252,0.5069363,-0.22598974,0.98068726,0.45301127,0.4625983,-0.32822147,0.83941585,0.32120755,0.4334062,-0.43961558,0.95874554,0.3979317,0.62780344,0.026300926,0.9988629,0.33714086,0.62518704,-0.026303401,0.99940664,0.4287827,0.763318,-0.016568165,0.85274696,0.32075778,0.7695237,-0.101618394,0.9891274,0.4319555,0.9049171,0.0561077,0.91424197,0.29943988,0.91376024,-0.03456641,0.9874427,0.4188909,0.92916423,0.05539933,0.87319905,0.2994674,0.93413377,-0.03487732,0.8874033,idle
0.3990174,0.37082833,-0.30558127,0.99907106,0.40546054,0.35962048,-0.28300652,0.99899936,0.38888687,0.3573844,-0.29223648,0.99911994,0.4091703,0.36609814,-0.14002743,0.9978662,0.37340444,0.36315966,-0.18540612,0.9986083,0.40228963,0.38626015,-0.25098485,0.9982952,0.38929698,0.38423833,-0.26435724,0.99867684,0.4250214,0.44797707,-0.034512747,0.99941695,0.3312196,0.42853087,-0.1104749,0.99987894,0.44898647,0.5368643,-0.13877647,0.8197803,0.28770292,0.5042284,-0.24249788,0.9822437,0.4542982,0.46147224,-0.3694277,0.85487276,0.32543516,0.43467033,-0.44667822,0.96234757,0.3991031,0.6260015,0.029447004,0.9989273,0.33889312,0.6238509,-0.029444698,0.9994379,0.4306902,0.75981724,-0.053679157,0.86625195,0.32164866,0.7651965,-0.16382162,0.98981076,0.43532896,0.90391356,-0.002036507,0.921686,0.29962528,0.91311663,-0.10151875,0.98814106,0.42264533,0.92938495,-0.004573395,0.88170034,0.29954404,0.93346083,-0.10239719,0.8907333,idle
0.40036592,0.37116918,-0.29005507,0.9991634,0.4069523,0.360195,-0.26759478,0.99909836,0.39007896,0.3577668,-0.2751397,0.99920696,0.41086572,0.36688593,-0.12651905,0.9980776,0.37468547,0.36350223,-0.16405429,0.9987467,0.40400466,0.38672405,-0.23623817,0.99846405,0.39097816,0.38485098,-0.24734649,0.99880826,0.42706662,0.44936517,-0.01959512,0.9994573,0.33459315,0.42845437,-0.10477811,0.9998876,0.4498578,0.53636813,-0.12714484,0.8354554,0.29553768,0.5031767,-0.24557006,0.98340416,0.45475286,0.45797363,-0.33968073,0.86775815,0.3342446,0.43624675,-0.4369684,0.96499217,0.4009064,0.62685287,0.030518373,0.99899095,0.341891,0.62388843,-0.030477975,0.99947304,0.43327785,0.76034915,-0.053085636,0.8780108,0.32306236,0.76521516,-0.17693815,0.99045646,0.43965894,0.9039812,-0.0036101758,0.9281986,0.29922175,0.9131736,-0.12621799,0.98885506,0.4286336,0.9320145,-0.0063631544,0.8892178,0.2983586,0.9335499,-0.12829813,0.89414555,idle
0.4012589,0.37365347,-0.2684593,0.99924666,0.40760154,0.36339298,-0.24655691,0.9991879,0.39095587,0.36032093,-0.25449735,0.9992854,0.41181618,0.36899987,-0.117448844,0.9982685,0.37564301,0.36458609,-0.14863388,0.9988713,0.40504178,0.388457,-0.21733847,0.9986165,0.39189488,0.38705337,-0.22791894,0.99892664,0.42780033,0.44956386,0.014827016,0.99950445,0.33553392,0.43032965,-0.095160976,0.9998945,0.45043325,0.53752446,-0.09471124,0.8483604,0.30346078,0.50442535,-0.24466975,0.98353356,0.45526943,0.464847,-0.3302042,0.87995803,0.34634727,0.44375116,-0.45501795,0.96683586,0.401927,0.6270422,0.043237586,0.99905646,0.3426433,0.62370026,-0.04325565,0.99950016,0.43639794,0.7601679,-0.03865416,0.8885274,0.32513064,0.7638636,-0.19166322,0.9911079,0.44376034,0.906613,0.0072254487,0.9343466,0.29953963,0.9123734,-0.13410953,0.9896283,0.4331131,0.93588734,0.0035266348,0.89707553,0.29755354,0.93253535,-0.13573258,0.8988782,idle
0.40566793,0.37649122,-0.28442356,0.9993215,0.410396,0.36531973,-0.2621362,0.99926835,0.39322042,0.36315978,-0.2746834,0.99935615,0.4119474,0.37002996,-0.11770995,0.9984399,0.3769376,0.3673285,-0.17425457,0.9989837,0.40896386,0.39071333,-0.227478,0.99875325,0.3964588,0.39007416,-0.24425371,0.99903315,0.43068948,0.44928584,0.015153478,0.9995417,0.34112638,0.4340429,-0.12084862,0.9999023,0.4505403,0.53730553,-0.0707647,0.85540295,0.3215639,0.5227076,-0.25769895,0.9846271,0.4583784,0.47014624,-0.30354804,0.88970387,0.35407075,0.4713655,-0.46639514,0.9696954,0.4090597,0.6303743,0.048435647,0.9991153,0.35005164,0.6250709,-0.04844815,0.99952835,0.44211015,0.7602427,-0.054489244,0.8984286,0.32599163,0.76244766,-0.21965614,0.99180794,0.44565916,0.9092813,-0.014712307,0.94009125,0.29933792,0.91205364,-0.18059257,0.99036723,0.43473807,0.9391643,-0.019109238,0.90470487,0.2963484,0.93257755,-0.18389773,0.9039509,idle
0.4123394,0.37928206,-0.27372414,0.99938923,0.41546884,0.36759412,-0.25057578,0.9993412,0.4001375,0.3661082,-0.2633298,0.9994203,0.41492024,0.37215874,-0.10830146,0.99859494,0.38413066,0.37093413,-0.16652481,0.9990851,0.4155156,0.39350024,-0.21804038,0.9988773,0.40400523,0.39295974,-0.2355046,0.9991296,0.43529138,0.45320165,0.022092812,0.99957913,0.34958535,0.4411033,-0.1241053,0.99991053,0.45088068,0.5394086,-0.06811255,0.86392736,0.33841777,0.53857905,-0.2603177,0.98583454,0.46817285,0.47290665,-0.30532247,0.8993846,0.37070763,0.47853428,-0.45127088,0.972491,0.42113608,0.6380885,0.04874245,0.9991663,0.36233133,0.6324865,-0.048756626,0.9995631,0.44847232,0.76748586,0.040597215,0.90750057,0.33205158,0.763704,-0.20295736,0.9925282,0.44763684,0.91106933,0.15634225,0.9453245,0.2979966,0.9119142,-0.14643303,0.9911417,0.43649593,0.93935275,0.15901129,0.9109113,0.29245737,0.9317893,-0.1477904,0.90909564,idle
0.41722614,0.38029888,-0.26349014,0.9994501,0.4201873,0.36856338,-0.24109754,0.9994067,0.40593362,0.36703488,-0.26214322,0.999478,0.4189136,0.3731457,-0.095837146,0.9987343,0.39045182,0.37195453,-0.159186,0.9991764,0.42031407,0.39449373,-0.20617291,0.9989889,0.40923277,0.3937801,-0.23149276,0.9992163,0.44134077,0.453041,0.032957874,0.9996164,0.3581106,0.43947774,-0.11828748,0.9999179,0.45999932,0.53886724,-0.05824701,0.87243265,0.3490347,0.5409021,-0.26023346,0.9868187,0.47762078,0.47488183,-0.30289513,0.9084565,0.38831586,0.47750884,-0.45106155,0.9749385,0.4347113,0.64015925,0.04850838,0.9992204,0.37897843,0.63751376,-0.048513584,0.9995976,0.45477262,0.7761027,0.092964575,0.9159076,0.34206843,0.76815766,-0.18964082,0.9931933,0.44984388,0.9110084,0.25315803,0.95025176,0.29755342,0.91117173,-0.12859729,0.9918823,0.4385062,0.9377612,0.26058844,0.91681343,0.29077473,0.92809296,-0.13017434,0.91422915,idle
0.4211483,0.38033706,-0.22773886,0.99950457,0.4240269,0.36837074,-0.20712121,0.9994651,0.40976554,0.3668841,-0.2238402,0.9995295,0.42381293,0.37290087,-0.07084049,0.99885815,0.39502817,0.37255898,-0.14331752,0.99925834,0.42485395,0.39439744,-0.17468154,0.999089,0.41379952,0.3936385,-0.19639263,0.9992942,0.44955435,0.44954893,0.047736265,0.9996485,0.36414057,0.44040215,-0.1120467,0.99992424,0.4724813,0.53635204,-0.05523799,0.8795624,0.35207433,0.53785384,-0.2500995,0.9877972,0.47937852,0.4741452,-0.30197057,0.9159809,0.39751184,0.4776879,-0.41657916,0.9770098,0.4426837,0.63933635,0.05375713,0.99927247,0.3901698,0.63757205,-0.053753752,0.99962133,0.458587,0.77789265,0.078064874,0.92327434,0.35974866,0.77322996,-0.14039038,0.9937329,0.44891912,0.91150653,0.21478,0.9546375,0.29818076,0.8967794,-0.059663076,0.9924701,0.4369739,0.93762416,0.22006068,0.922099,0.29046422,0.9127585,-0.05782,0.91769063,idle
0.42464623,0.38003528,-0.20743549,0.99955344,0.427359,0.36788386,-0.1882911,0.99951744,0.413563,0.36625224,-0.20830233,0.9995756,0.42661768,0.37256938,-0.05140228,0.99896896,0.39766142,0.3720425,-0.14259309,0.99933195,0.42761666,0.39406765,-0.15261471,0.999179,0.41706982,0.3932079,-0.17939141,0.9993642,0.44797954,0.441116,0.0764895,0.9996814,0.36577883,0.43950084,-0.11673585,0.9999302,0.47354,0.5303779,-0.008306013,0.87921035,0.3549276,0.53628826,-0.26224774,0.98845917,0.48087588,0.4681724,-0.25488377,0.92229867,0.39393312,0.47938687,-0.42836174,0.9787863,0.44924054,0.6370847,0.068763986,0.9993361,0.3979446,0.637004,-0.06884021,0.999648,0.45882732,0.77833855,0.079715595,0.92886275,0.38706693,0.7781082,-0.13225815,0.9940479,0.44829187,0.9116088,0.24491291,0.9583074,0.3085168,0.88570106,0.0028898537,0.99274796,0.4361824,0.9375407,0.25480762,0.92638266,0.2918017,0.8938942,0.01243146,0.9192324,idle
