x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.38328788,0.16092996,-0.23624837,0.9998934,0.39087063,0.14501205,-0.2061704,0.99973786,0.36909193,0.14273769,-0.22642271,0.9998418,0.39408547,0.15251659,-0.022993889,0.9987307,0.35421705,0.15044639,-0.118777074,0.99988556,0.38772622,0.17679079,-0.16589871,0.9997241,0.37362787,0.17693368,-0.19328366,0.9999265,0.40811196,0.25247365,0.13435239,0.9996858,0.30946386,0.23731971,-0.09172593,0.9999733,0.41895825,0.35779682,0.08666961,0.73342633,0.28149027,0.35172978,-0.20772104,0.99548274,0.4185165,0.33772695,-0.2077631,0.9315775,0.36189765,0.31847504,-0.40852866,0.9942361,0.3920897,0.4737423,0.09898685,0.998713,0.34210894,0.47541845,-0.09907539,0.9993153,0.38680363,0.65150255,0.088722035,0.7989527,0.35511813,0.63751346,-0.20277803,0.987374,0.3754177,0.83706534,0.21993506,0.9215849,0.3180589,0.8280265,-0.102175616,0.97809035,0.35870558,0.8696787,0.22262943,0.8949418,0.30731127,0.85501045,-0.10182041,0.927538,idle
0.38156483,0.15952046,-0.3196155,0.9998867,0.38960513,0.143131,-0.29302174,0.99972457,0.36800095,0.14103456,-0.30471334,0.9998272,0.39389613,0.1511838,-0.11815679,0.99867857,0.35349235,0.14728925,-0.1760019,0.9998626,0.38632107,0.17538597,-0.25262737,0.9997196,0.37216598,0.17580222,-0.26926538,0.9999194,0.4159698,0.25210428,0.018323807,0.9996694,0.3091218,0.23684558,-0.0971328,0.9999643,0.43355426,0.35924855,-0.07611012,0.7534574,0.27996236,0.35226876,-0.2119731,0.9952957,0.41963702,0.33772817,-0.4157229,0.9349236,0.34676802,0.31868085,-0.43680912,0.9939346,0.3919676,0.47573668,0.058417343,0.99871343,0.32863906,0.47581854,-0.058581132,0.9992437,0.383894,0.6548618,0.05296736,0.8106778,0.31654662,0.64066595,-0.04765082,0.98658705,0.3752927,0.83598894,0.21273413,0.92559355,0.2736875,0.8196732,0.16479178,0.9772192,0.3588762,0.8662916,0.21836552,0.8950145,0.27353722,0.8461155,0.17635344,0.9106642,idle
0.3777216,0.1562315,-0.41706896,0.99989355,0.3889681,0.14006338,-0.39252654,0.999742,0.36608416,0.1386344,-0.39697665,0.9998365,0.39346445,0.1483891,-0.21507148,0.9987771,0.35179514,0.1447364,-0.24017946,0.999866,0.3847109,0.17297609,-0.34845215,0.99973875,0.36905777,0.17274454,-0.3558969,0.9999225,0.42054,0.25163567,-0.081523776,0.9996816,0.30443612,0.23600915,-0.12253392,0.9999602,0.44282192,0.36666346,-0.19637172,0.7767409,0.2722115,0.35200012,-0.22380543,0.9946573,0.41910714,0.33760574,-0.5306389,0.9403432,0.33384308,0.31819928,-0.53804326,0.99323946,0.38717747,0.47827658,0.021402074,0.9987637,0.31500727,0.47386393,-0.021507103,0.999272,0.38112262,0.66002256,0.020341927,0.82553685,0.28141534,0.6378977,-0.10128186,0.9870256,0.37541586,0.83617723,0.20557538,0.9308608,0.24283533,0.81805664,0.11091403,0.978399,0.3609343,0.86684346,0.21257,0.8954618,0.24576469,0.84417707,0.12161398,0.90616035,idle
0.37283403,0.1536884,-0.49469858,0.99990207,0.3859495,0.1381296,-0.47086963,0.99976254,0.3616258,0.13529529,-0.47353053,0.99984926,0.39264834,0.14610748,-0.2912138,0.99888796,0.34714454,0.14062592,-0.30695313,0.99987566,0.37927526,0.17054348,-0.4249711,0.9997609,0.36266536,0.169758,-0.42989296,0.9999281,0.4201374,0.24889499,-0.16144517,0.9996887,0.29956865,0.23365808,-0.17856932,0.99995834,0.4463777,0.36620063,-0.31154174,0.79817265,0.26405704,0.35051563,-0.33119792,0.9941115,0.41470152,0.33598262,-0.63909096,0.94504386,0.3212781,0.31542665,-0.66750854,0.9923657,0.38143492,0.48149326,0.006568972,0.9988365,0.30731606,0.47428226,-0.0065958807,0.99933106,0.3802477,0.6613262,-0.015441887,0.8417707,0.25403553,0.637846,-0.15382135,0.98817116,0.37555075,0.836051,0.20776615,0.93694997,0.22126961,0.81838685,0.03868161,0.9803909,0.36094683,0.86705106,0.21686156,0.9004773,0.22976215,0.8433624,0.0492086,0.91177845,idle
0.3630022,0.15122654,-0.47798267,0.99991095,0.37709445,0.13538374,-0.4554882,0.999784,0.35146636,0.13378702,-0.45571837,0.9998627,0.3885241,0.14409722,-0.28282288,0.998995,0.33899072,0.13988334,-0.2862875,0.9998862,0.37122223,0.1682352,-0.41079497,0.9997832,0.35180905,0.16777386,-0.41206056,0.9999342,0.4176317,0.24725932,-0.1598244,0.99970746,0.29381537,0.23249508,-0.16163486,0.9999583,0.44370255,0.36617273,-0.30987677,0.8179032,0.2571165,0.3498343,-0.31940743,0.9937004,0.40364772,0.33631283,-0.6302064,0.9499169,0.30784026,0.3149784,-0.67193174,0.9920704,0.37443417,0.48689592,-0.0008856648,0.99891907,0.2986348,0.4746876,0.00084881,0.9993902,0.38182908,0.6660549,-0.018035067,0.85684437,0.24084401,0.63965285,-0.17105284,0.98926216,0.3758699,0.83497554,0.21211568,0.9426042,0.21060488,0.817642,0.033351623,0.9822307,0.36246568,0.8655883,0.22275409,0.90522146,0.21842372,0.84142756,0.044218335,0.9179185,idle
0.35398585,0.15307383,-0.3926136,0.99991804,0.3683752,0.13683112,-0.36899915,0.99980175,0.34217724,0.13693103,-0.3737888,0.99987364,0.38023543,0.14598273,-0.20393655,0.99908954,0.33263355,0.14404394,-0.26972768,0.9998946,0.3633115,0.17009994,-0.32801762,0.9998023,0.34290525,0.16959824,-0.33555973,0.99993896,0.41600347,0.25149405,-0.093806684,0.99971133,0.28707054,0.23589854,-0.10494997,0.999957,0.44202566,0.37817943,-0.24302359,0.835252,0.25058794,0.35089502,-0.25617713,0.9930622,0.38367894,0.33975944,-0.5512718,0.95352435,0.29255968,0.32272542,-0.58867925,0.9914398,0.36452952,0.50150406,0.004015077,0.99898386,0.28903505,0.48828116,-0.004034746,0.9994362,0.38197833,0.6691301,0.0053628753,0.87077534,0.23343726,0.65270776,-0.070106186,0.990269,0.38338923,0.8350327,0.21061423,0.9479471,0.20648083,0.82535446,0.12663488,0.9838953,0.37149388,0.8628797,0.22031872,0.91145694,0.2151675,0.84816146,0.13544267,0.9230422,idle
0.34597236,0.17953481,-0.32805672,0.999924,0.36093992,0.16685565,-0.3046338,0.99981695,0.33452338,0.16393225,-0.30116442,0.9998815,0.37195677,0.17310171,-0.16716982,0.99917495,0.32634047,0.16805562,-0.14753394,0.999899,0.35450536,0.19922738,-0.2736389,0.99982035,0.3349402,0.19762231,-0.2682261,0.9999434,0.40815347,0.28234085,-0.061415285,0.9997342,0.2795613,0.26100484,-0.04606949,0.99995506,0.42878675,0.409253,-0.19842236,0.85116076,0.24114808,0.37752712,-0.1812505,0.9923603,0.37433112,0.37134758,-0.4980147,0.9572658,0.27537557,0.35724118,-0.4936049,0.9906631,0.35675845,0.52467304,0.0017762547,0.99906397,0.28189576,0.51824546,-0.0018489927,0.99947536,0.3847491,0.6790975,-0.06742649,0.88356847,0.22643428,0.6774863,-0.0481411,0.99116004,0.39600915,0.8351117,0.20520277,0.9528978,0.20817041,0.83066404,0.20946093,0.9853462,0.38572633,0.86085486,0.22067042,0.91554356,0.21578908,0.849671,0.22519343,0.9265411,idle
0.34217247,0.20910928,-0.3827018,0.9999308,0.3580784,0.19451205,-0.36057314,0.9998338,0.3316417,0.1906711,-0.35809857,0.99989176,0.36926085,0.20325652,-0.20935695,0.99925566,0.32415447,0.19455673,-0.19491674,0.99990636,0.35089326,0.23036432,-0.32450423,0.99983764,0.33180454,0.22824603,-0.32131004,0.9999482,0.40456158,0.30940923,-0.118185066,0.999758,0.27701315,0.28854412,-0.070883125,0.9999529,0.42550033,0.4309816,-0.2556403,0.8657864,0.23719802,0.3996403,-0.21775687,0.9917792,0.36618477,0.4056594,-0.53618187,0.9609104,0.27676955,0.389362,-0.52966917,0.9894966,0.35475647,0.54033643,-0.005122106,0.99913406,0.28157276,0.53271204,0.0049854736,0.99950546,0.3848452,0.69293004,-0.098839,0.895095,0.2212219,0.68671936,-0.041660875,0.9919485,0.40349904,0.8361097,0.17008431,0.9574077,0.2049298,0.83302665,0.19490609,0.9866635,0.39542153,0.86117446,0.1876442,0.9193182,0.21386752,0.8521954,0.20883365,0.93008745,idle
0.34615764,0.20961043,-0.3418027,0.9999364,0.3606409,0.1941311,-0.31721434,0.99984795,0.33557245,0.19203836,-0.3121379,0.9999001,0.3714077,0.20306823,-0.17288941,0.9993271,0.3265348,0.19916742,-0.14364447,0.99991214,0.35469314,0.22823404,-0.28652537,0.99985284,0.3365509,0.22706243,-0.27774447,0.99995226,0.40908056,0.30979773,-0.076590165,0.9997771,0.2772545,0.29250687,-0.047112733,0.99994916,0.4304947,0.43069923,-0.21772175,0.87847507,0.24138913,0.39956328,-0.1907708,0.99120843,0.3745492,0.4060153,-0.50507015,0.96307105,0.28662878,0.38725567,-0.49513835,0.9884196,0.35899055,0.54587936,-0.009506844,0.9991959,0.28912127,0.5377437,0.00942996,0.9995333,0.39288345,0.69895893,-0.1133978,0.9054366,0.23218551,0.68627083,-0.07409145,0.99264526,0.4050991,0.8377603,0.18684343,0.9613705,0.2077326,0.8322124,0.19819504,0.9878251,0.39793295,0.86145055,0.19840285,0.92047894,0.21634679,0.8534264,0.21648392,0.93322223,idle
0.36154285,0.199944,-0.34573412,0.9999414,0.375379,0.183953,-0.32315204,0.99986064,0.35151097,0.18125992,-0.31608728,0.9999079,0.38728184,0.19239014,-0.17466107,0.9993911,0.34262818,0.18762206,-0.15779601,0.9999175,0.36894417,0.21788265,-0.28929186,0.99986625,0.35321546,0.21611007,-0.27924025,0.9999556,0.42573968,0.29730102,-0.085589685,0.9997908,0.30050436,0.2802792,-0.05668231,0.99994487,0.45138922,0.41893896,-0.22342885,0.889834,0.26503134,0.3905158,-0.18804663,0.9900472,0.38783053,0.39026317,-0.5121121,0.96477216,0.295745,0.37172857,-0.49843508,0.98768276,0.37909237,0.5346075,-0.014521159,0.9992472,0.30632436,0.5259334,0.014439015,0.99955845,0.40472022,0.6951529,-0.056280613,0.9147672,0.25040036,0.67682594,-0.01249252,0.99328417,0.40829363,0.83912873,0.23170769,0.96500117,0.21373823,0.82942647,0.22987513,0.98893106,0.40051502,0.8617183,0.24888675,0.9216198,0.22074397,0.8516441,0.24439123,0.93729883,idle
