x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.61359346,0.24496907,-0.308144,0.99978924,0.6275378,0.22626734,-0.30399555,0.99958885,0.613283,0.22572966,-0.28264388,0.9995576,0.6503917,0.2361563,-0.23266187,0.9993271,0.6168703,0.2333066,-0.13283409,0.9989731,0.6228634,0.26032206,-0.2786967,0.9994738,0.61289245,0.2585533,-0.2511035,0.99940455,0.695573,0.326649,-0.20757005,0.99851084,0.58237296,0.33377093,-0.016901175,0.99947524,0.6853217,0.43223062,-0.3854093,0.9870422,0.53961885,0.4293366,-0.14371453,0.93118376,0.63224876,0.32685584,-0.5730798,0.9855355,0.53929347,0.33225325,-0.46138462,0.9657282,0.6668068,0.571803,-0.048624538,0.9987921,0.59603935,0.57115775,0.048522837,0.9994491,0.6867649,0.7399307,0.0028496806,0.99799913,0.5692764,0.72150314,0.094229065,0.99694383,0.70602304,0.8842022,0.16778424,0.9963833,0.56359804,0.8837059,0.2922628,0.99670315,0.6995054,0.9034448,0.17370209,0.9117603,0.57549953,0.90954965,0.30313742,0.9655521,idle
0.6099686,0.24461754,-0.28380388,0.9997909,0.62348187,0.2260719,-0.27949673,0.9995896,0.60963464,0.22557013,-0.2597783,0.99955386,0.64626116,0.23608224,-0.20352025,0.999329,0.6128806,0.23326588,-0.111144006,0.9989533,0.6189669,0.25980347,-0.25196165,0.9994787,0.6094252,0.25820044,-0.2265662,0.9994089,0.6890455,0.32610792,-0.17663097,0.9985571,0.5770515,0.33267674,0.0051193237,0.9994836,0.6787604,0.4284349,-0.35266477,0.9873169,0.53315306,0.42432863,-0.11472541,0.9314707,0.624789,0.3193677,-0.5480223,0.9858421,0.5353116,0.3296906,-0.42253327,0.96611285,0.6604382,0.56927484,-0.048537727,0.998815,0.59183115,0.5688292,0.048427418,0.9994555,0.68211913,0.7375524,0.0037365798,0.9980175,0.5673286,0.7213593,0.0987757,0.9969795,0.7056563,0.8822858,0.16686288,0.99647015,0.56303513,0.88369924,0.2821139,0.99678886,0.6995085,0.89990723,0.1724393,0.91246796,0.57489675,0.9094518,0.29078773,0.9660134,idle
0.6068756,0.24129958,-0.28593305,0.99978364,0.62061435,0.22231658,-0.28167775,0.9995698,0.6069769,0.22210453,-0.26233545,0.99953496,0.6432715,0.23182903,-0.20718312,0.999299,0.61054736,0.2297944,-0.11232801,0.9989042,0.61597437,0.25619963,-0.25290373,0.99945873,0.60692286,0.25512594,-0.22795136,0.99939424,0.6862258,0.32435828,-0.17690508,0.9985526,0.57445323,0.32745817,0.004589854,0.99949586,0.6744318,0.42469993,-0.3644789,0.9874507,0.5295948,0.41790053,-0.11907814,0.9319778,0.6214597,0.31302446,-0.56686914,0.98592097,0.5331148,0.32627496,-0.42998782,0.9669658,0.65671057,0.56619334,-0.04956329,0.9988148,0.5885514,0.5656289,0.04942937,0.99946743,0.6787925,0.73433596,0.009216584,0.99804145,0.56570125,0.7212086,0.09499632,0.9970415,0.7041593,0.87839943,0.18017313,0.99654514,0.5627454,0.88368917,0.26123995,0.9968937,0.69926983,0.89537644,0.18673988,0.9125035,0.5749147,0.9093965,0.26850706,0.96682024,idle
0.6055087,0.23478682,-0.28259242,0.99978477,0.6200576,0.21653214,-0.27799043,0.99956816,0.60503733,0.21544522,-0.2591557,0.99953175,0.6424967,0.22710457,-0.19824845,0.9993043,0.6077224,0.22438927,-0.10868027,0.998888,0.6149703,0.2511753,-0.24849752,0.99946105,0.6052867,0.25001487,-0.22415046,0.9993952,0.6835636,0.32068127,-0.17032945,0.9985742,0.5722596,0.3212597,0.012896085,0.9994968,0.67121106,0.42324728,-0.3464549,0.9876242,0.52830446,0.4147008,-0.11172565,0.932024,0.6206773,0.30813402,-0.54555714,0.98616356,0.53272814,0.3219552,-0.42276677,0.9677587,0.6540471,0.56044453,-0.050586205,0.9988103,0.5860775,0.5597648,0.0504516,0.9994614,0.6739315,0.72787994,-0.0075147054,0.9980628,0.5654039,0.7203595,0.10757152,0.99698794,0.69875824,0.876658,0.14685616,0.99656427,0.5622504,0.88314915,0.26863688,0.99687696,0.69696116,0.89510006,0.15171681,0.9113696,0.57429653,0.90836227,0.27780282,0.9669042,idle
0.60429585,0.23008676,-0.27094197,0.99978536,0.6193878,0.21204902,-0.26933333,0.99956715,0.60363513,0.21095353,-0.2483621,0.99952525,0.6420558,0.22276275,-0.19811162,0.9993163,0.60668206,0.22077985,-0.10123271,0.998865,0.6139408,0.24722907,-0.24053779,0.9994654,0.60375035,0.24625984,-0.21336707,0.9993938,0.68327266,0.31691998,-0.17274807,0.998613,0.5715183,0.31751284,0.022896444,0.9994977,0.6692762,0.42294124,-0.3413673,0.98775095,0.527819,0.41366148,-0.092860535,0.9300466,0.62054574,0.30532274,-0.520108,0.98639935,0.5323805,0.3208137,-0.3962522,0.9678369,0.65245974,0.55711216,-0.052829616,0.9987892,0.5847889,0.55571634,0.052702982,0.99945444,0.6701225,0.7246215,0.0072581256,0.9980363,0.5656561,0.7198659,0.11308296,0.9968747,0.6892239,0.8720795,0.17771155,0.99647695,0.56215256,0.88247544,0.27111912,0.9967851,0.69118387,0.889103,0.18480709,0.90779644,0.574012,0.90608525,0.27919263,0.9665171,idle
0.60338676,0.22854258,-0.2582788,0.99978566,0.6188138,0.21086927,-0.25825492,0.999564,0.6027466,0.20926401,-0.23652251,0.9995185,0.64144623,0.22144015,-0.19256066,0.9993187,0.60595185,0.21851683,-0.0930703,0.99885046,0.61295325,0.24625914,-0.22987907,0.9994724,0.60258275,0.24492629,-0.20176522,0.9993989,0.6828243,0.3144072,-0.16424535,0.9986194,0.57071555,0.31505454,0.022794705,0.9995033,0.6688918,0.422278,-0.32763207,0.9874735,0.52825457,0.41304663,-0.093912885,0.929447,0.62131965,0.30746487,-0.5076687,0.98650664,0.5329818,0.31888905,-0.39394757,0.96837443,0.65294576,0.5560853,-0.051049333,0.9987664,0.5838346,0.5535776,0.050926514,0.9994553,0.6687593,0.7237534,0.021750227,0.9980021,0.5653828,0.71991456,0.105526686,0.99689716,0.6805591,0.87117267,0.21671483,0.9963665,0.5605825,0.88215065,0.26193973,0.9967881,0.67990756,0.88707286,0.22643039,0.90566826,0.5725634,0.90441453,0.2697186,0.96633124,idle
0.60291356,0.22728552,-0.22957125,0.9997873,0.618469,0.20946833,-0.22984584,0.9995614,0.60222715,0.20789367,-0.20790546,0.99951786,0.6415297,0.22010574,-0.16900608,0.9993134,0.60579264,0.21706638,-0.06830447,0.9988439,0.61220133,0.24549352,-0.20308666,0.99947375,0.60196036,0.24412934,-0.1745769,0.9993962,0.6827948,0.31362435,-0.14117315,0.99858946,0.5716928,0.31327683,0.035945307,0.9994978,0.66974556,0.42195353,-0.29927233,0.98682904,0.5292728,0.41355482,-0.08595215,0.92826444,0.62185967,0.30774182,-0.47320336,0.9863502,0.5334209,0.31937686,-0.38479042,0.9686675,0.6534787,0.55488414,-0.05016315,0.9987158,0.58343345,0.5514357,0.050045557,0.9994406,0.66593087,0.7237922,0.018216044,0.9979742,0.5647612,0.7198215,0.10536108,0.99687314,0.6753681,0.8715031,0.19956163,0.99625695,0.559836,0.8812563,0.26275858,0.99674946,0.67360497,0.8871998,0.20752954,0.90349305,0.5722336,0.90296894,0.27042907,0.9658582,idle
0.6027396,0.22813554,-0.21886885,0.99978685,0.61725616,0.21024877,-0.22153842,0.99955654,0.6021592,0.20892642,-0.19795941,0.9995168,0.641238,0.22028328,-0.16885844,0.99930435,0.60610145,0.21781093,-0.061294097,0.99884295,0.61164206,0.24595974,-0.19531867,0.9994648,0.60195625,0.24456328,-0.16467583,0.9993847,0.68323135,0.3134337,-0.14230338,0.9985514,0.57246387,0.3133804,0.040878717,0.9994982,0.67093253,0.42121384,-0.30145413,0.98592764,0.5295769,0.4139404,-0.082315415,0.92656153,0.62239563,0.30863097,-0.47116408,0.9858744,0.53386086,0.32034948,-0.38563484,0.9688071,0.6540876,0.5536374,-0.0501664,0.9986402,0.58411705,0.55046314,0.05005111,0.9994226,0.663649,0.7233357,0.014978705,0.99792826,0.5640434,0.71915394,0.09722682,0.9968338,0.6726581,0.8719054,0.17296346,0.996167,0.55916774,0.8811477,0.23210403,0.9967223,0.6707977,0.8879244,0.17826134,0.902406,0.57227886,0.90295655,0.237299,0.9656651,idle
0.6031859,0.2299215,-0.23171854,0.99977845,0.6172358,0.21076457,-0.24232523,0.99954176,0.6025391,0.21052569,-0.21409759,0.99949545,0.6414045,0.22071269,-0.19574995,0.99929345,0.6064185,0.21846369,-0.07589413,0.9988129,0.6120633,0.24673997,-0.2125406,0.9994496,0.6025077,0.24539493,-0.17434525,0.9993609,0.68366355,0.3135788,-0.16168964,0.9985399,0.572811,0.31368372,0.037451826,0.9994926,0.6716476,0.421389,-0.3230194,0.9853342,0.53018534,0.4171638,-0.08460916,0.923241,0.6228931,0.30927154,-0.48976916,0.9853061,0.5340185,0.3238128,-0.40574378,0.9678329,0.6545533,0.55399215,-0.05043245,0.9985924,0.5845016,0.551217,0.050338726,0.99941087,0.6640173,0.7239347,0.0050873896,0.99788934,0.5613595,0.7171401,0.08169939,0.9968214,0.6721892,0.8727665,0.16538106,0.996095,0.55924666,0.8802195,0.23740312,0.99666834,0.6706478,0.8892317,0.17064734,0.9011047,0.5724741,0.9024643,0.24447306,0.965619,idle
0.6029577,0.23498446,-0.28672174,0.9997365,0.61677206,0.2150826,-0.2947318,0.9994695,0.6026866,0.215417,-0.26772895,0.99940735,0.6414763,0.22387293,-0.24736483,0.99921453,0.6066841,0.22239472,-0.12551193,0.99868983,0.6123437,0.25028363,-0.26431915,0.9993901,0.6026261,0.24841887,-0.22855647,0.99928415,0.68464017,0.31675023,-0.2124829,0.99848783,0.5730904,0.31891733,-0.0057722507,0.9994802,0.67221147,0.42294788,-0.38545674,0.98430896,0.53176695,0.42432648,-0.13065529,0.9204224,0.62314713,0.3131538,-0.5555845,0.98388016,0.5342497,0.32862175,-0.45479193,0.96692854,0.65486425,0.56228787,-0.050416578,0.9985812,0.58467174,0.5583681,0.050322585,0.99940443,0.6634987,0.73333305,-0.0040137772,0.9978161,0.55706084,0.7171487,0.092476375,0.99679565,0.6710426,0.87686145,0.18037856,0.9959418,0.5591728,0.87768227,0.3195631,0.99657834,0.66977626,0.89411694,0.18926816,0.8979799,0.5725866,0.900254,0.33393148,0.96540225,idle
