x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.42844492,0.15636228,-0.28703094,0.99988455,0.43676192,0.14037989,-0.25749117,0.99984723,0.41461802,0.13356884,-0.2723536,0.9998746,0.4372363,0.15193488,-0.08151393,0.999619,0.39511284,0.14328687,-0.14113458,0.99986666,0.4314118,0.17784671,-0.2188148,0.99958795,0.41516834,0.175493,-0.2406934,0.9996804,0.45589685,0.27243367,0.030847216,0.9996265,0.33238772,0.2363346,-0.06886396,0.9999606,0.48664188,0.39569843,-0.14518099,0.6178787,0.288925,0.3436446,-0.28897622,0.993078,0.48196092,0.2914448,-0.48416394,0.6511165,0.33429322,0.23199916,-0.58278614,0.9712995,0.41680288,0.5167008,0.031786516,0.999225,0.3413971,0.5138085,-0.031869076,0.9995584,0.4562297,0.71604174,0.033463687,0.9608244,0.31655145,0.7250212,-0.063946076,0.99266535,0.46305513,0.88725334,0.29926437,0.9852903,0.31306505,0.9072326,0.14558929,0.9911677,0.44414845,0.91449016,0.31707302,0.95543075,0.31529146,0.928806,0.15846257,0.89956063,idle
0.41966265,0.14550863,-0.27467334,0.9998949,0.42872065,0.12798864,-0.24446659,0.9998606,0.40491286,0.12267534,-0.25687662,0.9998853,0.43074593,0.1366879,-0.06679915,0.9996546,0.38584358,0.12895483,-0.117930256,0.9998785,0.42307633,0.1682845,-0.20624709,0.9996275,0.40669122,0.16522238,-0.2250764,0.99971133,0.44738093,0.2547386,0.035450105,0.99964935,0.32517487,0.22009596,-0.04039602,0.9999544,0.4854079,0.38011685,-0.14559656,0.6551225,0.2832344,0.3335094,-0.2514787,0.99286693,0.47152513,0.27029702,-0.46769857,0.68551505,0.32855967,0.23173673,-0.5558316,0.9736121,0.404843,0.5053573,0.01849528,0.9992361,0.33041918,0.5000073,-0.018403124,0.99956745,0.4257183,0.7120213,0.027883863,0.96390325,0.3024854,0.7139191,-0.07130773,0.9929625,0.41158095,0.89013684,0.26092365,0.9855005,0.30179763,0.9062361,0.1299621,0.9914245,0.39800876,0.9160927,0.273958,0.9537757,0.3113833,0.9254407,0.14017396,0.90140975,idle
0.40661106,0.15605329,-0.31968158,0.9999043,0.4174966,0.13825141,-0.29107094,0.9998723,0.39529935,0.13209939,-0.29938656,0.999895,0.4204708,0.14559641,-0.10643709,0.9996857,0.37689167,0.13471578,-0.14163968,0.99988925,0.4095734,0.17700599,-0.24884856,0.9996628,0.3939818,0.17383704,-0.26148644,0.99973905,0.44002342,0.2531108,0.00093101244,0.9996649,0.31683138,0.22581863,-0.074272856,0.9999514,0.48257536,0.38061225,-0.20140252,0.68838906,0.2729826,0.34237522,-0.27323985,0.9929109,0.46171442,0.27523342,-0.53669095,0.7159555,0.31904727,0.23567462,-0.60814434,0.9755706,0.397823,0.51474226,0.013714971,0.999259,0.32088655,0.50584173,-0.01366235,0.99958944,0.40649167,0.7214555,0.033700712,0.9664808,0.28433576,0.7123784,-0.0728631,0.99336755,0.39266968,0.8922941,0.3126517,0.98546594,0.27242523,0.90205586,0.14421378,0.99171764,0.38005504,0.91846305,0.33012563,0.9518085,0.28125614,0.92295784,0.15621783,0.9032337,idle
0.3937772,0.1673837,-0.33147007,0.9999125,0.4063614,0.14963385,-0.3040775,0.999883,0.3820231,0.14385806,-0.31319267,0.99990356,0.4120873,0.15721759,-0.12452589,0.9997138,0.36471564,0.14757968,-0.15543784,0.9998986,0.39932504,0.18836938,-0.26282582,0.99969465,0.38121903,0.18487455,-0.2761869,0.9997637,0.43537816,0.26047966,-0.013294062,0.99967736,0.30780357,0.23884174,-0.09938079,0.9999465,0.4730676,0.38825923,-0.19880311,0.7180792,0.2663376,0.35440403,-0.3073558,0.9926271,0.45121294,0.2977189,-0.5138782,0.7428895,0.30967864,0.26056793,-0.60976326,0.9767501,0.38890314,0.52024084,0.021819184,0.99928325,0.30759582,0.5123447,-0.021776171,0.99960756,0.4067958,0.73382735,0.07154866,0.96908385,0.26080775,0.71528655,-0.057114102,0.99381554,0.39860764,0.89507073,0.34038574,0.9859371,0.23428734,0.89941734,0.15592353,0.9920986,0.3852604,0.9203389,0.35698318,0.9519135,0.24212782,0.921881,0.1676254,0.9048707,idle
0.38333642,0.17037725,-0.37270895,0.99991995,0.3973239,0.15286554,-0.34740704,0.99989223,0.37097734,0.14667942,-0.35130483,0.9999111,0.4034799,0.16471547,-0.17548324,0.99973786,0.35546544,0.15274912,-0.1933632,0.9999063,0.38911685,0.190044,-0.30735523,0.99972296,0.3704316,0.18518999,-0.3142363,0.99978596,0.4245418,0.28326216,-0.073104925,0.9996827,0.3000315,0.24911715,-0.110086426,0.9999436,0.4555028,0.42035553,-0.25793803,0.74522024,0.25661263,0.36750352,-0.3127047,0.99240756,0.434443,0.3068029,-0.5744475,0.76775545,0.29547238,0.28525457,-0.63468283,0.9781551,0.3779114,0.54597306,0.014896451,0.99926984,0.297141,0.5309341,-0.014908646,0.9996208,0.40272027,0.74284387,0.08377935,0.97148275,0.25115433,0.71882814,-0.049950697,0.99427503,0.39587706,0.8952371,0.3574324,0.9862856,0.23004667,0.89932185,0.15177378,0.9925469,0.3832924,0.9221133,0.37512723,0.9512409,0.23885417,0.92127025,0.16250226,0.9073943,idle
0.37396663,0.17817484,-0.32235765,0.9999272,0.38829088,0.16301814,-0.29710388,0.9999017,0.36143053,0.1567142,-0.30739456,0.9999185,0.3945558,0.17385001,-0.1309017,0.9997622,0.34631777,0.16170745,-0.15000531,0.9999138,0.3791042,0.19975765,-0.2586993,0.99974966,0.3604756,0.1961005,-0.27665836,0.9998066,0.41515917,0.2923823,-0.037983112,0.99970776,0.28941947,0.2558128,-0.055555813,0.99994236,0.4379634,0.43165243,-0.20470504,0.7701242,0.24760899,0.37313312,-0.25321296,0.99229306,0.4181634,0.33051383,-0.5094237,0.79064435,0.28244367,0.29474995,-0.5833255,0.9796255,0.36824766,0.5522613,0.009026507,0.9992684,0.28671357,0.5371327,-0.009040594,0.99962056,0.39486676,0.7471889,0.05472087,0.9738734,0.24445102,0.71948373,-0.048095632,0.9946513,0.39913613,0.8963804,0.3248245,0.9866293,0.22985634,0.8998753,0.16853505,0.9928095,0.38737446,0.922922,0.34259534,0.9487187,0.23679677,0.9205828,0.18108548,0.9073228,idle
0.36713216,0.18567175,-0.31455055,0.9999338,0.3807157,0.17028347,-0.2907234,0.99991024,0.35466662,0.16319357,-0.2972568,0.99992514,0.38641962,0.17763157,-0.1235172,0.99978447,0.33792296,0.16508064,-0.14473167,0.9999207,0.3717066,0.20643343,-0.24953988,0.9997739,0.35328457,0.20239851,-0.26316103,0.9998253,0.40650135,0.29304367,-0.032813154,0.9997316,0.2807284,0.25594634,-0.050218146,0.9999418,0.4289958,0.43041465,-0.20561722,0.79243374,0.2372969,0.3728167,-0.24769226,0.9918743,0.40629387,0.33151808,-0.51116896,0.81098,0.27457827,0.29537612,-0.5750836,0.980531,0.36014014,0.5512077,0.0050195577,0.99926275,0.27922654,0.5370819,-0.004997871,0.999615,0.39042854,0.7467608,0.016807605,0.9760634,0.23984806,0.7211434,-0.054394208,0.9949636,0.40336686,0.89695364,0.31174406,0.9869224,0.23070388,0.8998897,0.17793712,0.99305767,0.39368653,0.9212107,0.33141983,0.9447881,0.23789866,0.9201976,0.19284777,0.9087067,idle
0.3640791,0.18733044,-0.3229999,0.99994,0.37512654,0.17123392,-0.29898018,0.9999186,0.35137188,0.16335505,-0.30600992,0.9999318,0.3785238,0.17782983,-0.12854257,0.9998054,0.33211255,0.16582118,-0.14851032,0.99992794,0.36707193,0.20700903,-0.25602502,0.9997962,0.34970018,0.2027228,-0.2672059,0.99984246,0.40022063,0.29253778,-0.029631412,0.9997561,0.27271813,0.25310308,-0.06755066,0.99994373,0.4263812,0.42843524,-0.18524648,0.8125594,0.22559698,0.37203106,-0.2603304,0.9919647,0.40402764,0.33154228,-0.4885691,0.82932204,0.2648815,0.29474604,-0.5852216,0.9817549,0.35460624,0.54475963,0.007392402,0.99928534,0.27377036,0.5330931,-0.007346527,0.99961,0.39006346,0.74520683,-0.03458773,0.97814596,0.23924574,0.7222341,-0.054810457,0.9951955,0.4007365,0.8991691,0.24664417,0.98720163,0.2281667,0.8991718,0.19036831,0.99299324,0.3942907,0.9217765,0.26562235,0.93943816,0.23607115,0.9196522,0.20806806,0.90814275,idle
0.35823685,0.18772313,-0.3182783,0.99994534,0.36794215,0.17153879,-0.29430214,0.99992573,0.34436134,0.164087,-0.29524493,0.9999375,0.37033385,0.17783533,-0.11735922,0.99982375,0.32415313,0.1663652,-0.1441795,0.99993414,0.36080545,0.20767602,-0.24796072,0.99981606,0.34339496,0.20368595,-0.25399038,0.9998578,0.3929927,0.2906678,-0.019490404,0.9997769,0.26497993,0.25239334,-0.061633714,0.9999445,0.42452273,0.42627484,-0.16508609,0.8303955,0.21835339,0.37110418,-0.25320145,0.99222535,0.39983362,0.33116204,-0.46050662,0.84554356,0.26103443,0.2886001,-0.5740354,0.98293227,0.351355,0.5410146,0.011288396,0.99928313,0.27057844,0.5318133,-0.01123963,0.9995816,0.38853678,0.7425872,-0.029446399,0.97993636,0.24032044,0.7229487,-0.057990234,0.9953037,0.39930493,0.9013258,0.2242401,0.9873597,0.22583969,0.8984022,0.17721838,0.99274087,0.39236313,0.92409265,0.24046,0.9355889,0.23329365,0.9187062,0.19300847,0.9045133,idle
0.3585127,0.18892741,-0.3011343,0.99995,0.36470908,0.17170878,-0.27983755,0.9999319,0.34592575,0.1641893,-0.2929477,0.9999423,0.36185503,0.17728406,-0.11004933,0.99984,0.31984657,0.16687943,-0.1688275,0.9999396,0.35854888,0.20831014,-0.23242497,0.99983376,0.34500095,0.20460138,-0.25114578,0.99987143,0.38672706,0.28670225,-0.007738964,0.99979603,0.25818935,0.25235268,-0.083845764,0.9999464,0.4194011,0.42580718,-0.1363027,0.84623706,0.21602917,0.37136614,-0.2733851,0.9925237,0.39488688,0.32860762,-0.43463278,0.8601289,0.25951925,0.2901713,-0.56695676,0.9840782,0.34921882,0.53665584,0.014892693,0.99928015,0.26773673,0.53015506,-0.014909806,0.99956304,0.38698462,0.7394977,-0.015745942,0.9815161,0.23959248,0.7232934,-0.05937586,0.9953481,0.3979368,0.90137464,0.22981027,0.9872419,0.22567602,0.897483,0.16802849,0.9925504,0.38989455,0.92441636,0.24555865,0.93360823,0.2325184,0.9173872,0.18261877,0.9024068,idle
0.35388803,0.18885127,-0.2758729,0.999954,0.35958606,0.17085262,-0.25280023,0.9999371,0.34239048,0.16398914,-0.27142227,0.9999465,0.35486412,0.17499301,-0.089653805,0.99985415,0.3142706,0.16542068,-0.16844386,0.9999444,0.3535183,0.2079154,-0.21070087,0.9998495,0.3416247,0.2043924,-0.23591587,0.99988365,0.3801034,0.2836619,0.0122083295,0.99981165,0.25413442,0.25196522,-0.08666786,0.99994713,0.41409907,0.42247793,-0.113253556,0.85986996,0.21412213,0.37446633,-0.27455562,0.99280274,0.39119667,0.32880434,-0.41231948,0.8727378,0.25782135,0.2918213,-0.5631776,0.9851576,0.3460366,0.5347859,0.01710358,0.9992823,0.26471263,0.52953154,-0.0171394,0.9995445,0.38271806,0.7342175,-0.015804108,0.98294145,0.24000256,0.7235974,-0.06027741,0.9954141,0.3977296,0.90139216,0.22337441,0.98718405,0.22505221,0.8961355,0.16963379,0.9924017,0.39031467,0.92459106,0.23806326,0.93157554,0.23167498,0.9161047,0.18430483,0.9005365,idle
0.35053957,0.1888628,-0.2781504,0.9999573,0.35573286,0.1702693,-0.2549542,0.9999414,0.33945754,0.16389465,-0.2723806,0.9999498,0.34956652,0.17317048,-0.09156269,0.9998666,0.30998522,0.16432688,-0.17665453,0.99994826,0.3496378,0.20773439,-0.21319568,0.9998635,0.3387856,0.20447592,-0.2372485,0.99989444,0.37551162,0.28027543,0.010929529,0.99982506,0.25070804,0.2518071,-0.093216054,0.999947,0.4108201,0.41756925,-0.1154532,0.8721325,0.2131275,0.37774897,-0.27634484,0.9928768,0.3843382,0.32878312,-0.41077572,0.8838814,0.25313705,0.29286578,-0.5620222,0.9860238,0.34468877,0.5329014,0.018524807,0.99927497,0.26287925,0.52889085,-0.018511979,0.9995244,0.3805608,0.73160404,-0.011329768,0.98433995,0.23954073,0.7237391,-0.046392452,0.995566,0.39595625,0.90010345,0.22119173,0.9875322,0.22630596,0.8961338,0.17459716,0.9926207,0.3884245,0.92340916,0.23479661,0.93119943,0.23366773,0.91605324,0.18775639,0.9025339,idle
0.34601426,0.189095,-0.2792953,0.9999607,0.35082653,0.17026553,-0.25748327,0.99994594,0.33493727,0.16412452,-0.27552134,0.9999533,0.3448956,0.1723197,-0.09269924,0.99987864,0.30464077,0.16416039,-0.17574349,0.9999522,0.34505334,0.20794682,-0.21421537,0.99987644,0.33434325,0.20482339,-0.23800811,0.99990433,0.3725949,0.27685657,0.006818247,0.99983966,0.24535084,0.25207147,-0.0887791,0.99994767,0.40919337,0.41530755,-0.123438284,0.88362217,0.20826352,0.37943277,-0.27470475,0.9927432,0.37933904,0.3290779,-0.4327554,0.8942806,0.24606964,0.29352644,-0.56849563,0.986606,0.34323633,0.5310508,0.01575018,0.9992824,0.26059777,0.52860266,-0.015671086,0.9995136,0.37845457,0.73159486,-0.026492834,0.98559415,0.2371325,0.7256893,-0.04981083,0.9957223,0.39532202,0.9013882,0.20220575,0.98791957,0.2278533,0.8966962,0.17260109,0.9928338,0.38777804,0.9251966,0.21543929,0.9308078,0.23541693,0.9161182,0.18665728,0.90498865,idle
0.34315783,0.18880087,-0.27939618,0.999964,0.34699744,0.16941257,-0.25878757,0.9999503,0.33221334,0.1638341,-0.27673763,0.99995685,0.34006995,0.1707255,-0.095216826,0.99988973,0.30227304,0.16323781,-0.17558697,0.9999559,0.3422472,0.20710227,-0.21477234,0.99988824,0.33216572,0.20442256,-0.23848829,0.9999134,0.36971653,0.2735078,-0.003981533,0.9998536,0.24097125,0.25222793,-0.08112259,0.9999487,0.40877318,0.41220343,-0.1323171,0.8944597,0.20381086,0.37983787,-0.26383585,0.9925886,0.37563998,0.32936022,-0.43861046,0.90420663,0.2357631,0.29915515,-0.5688498,0.9871463,0.34267512,0.530935,0.012462032,0.999289,0.25992522,0.52860427,-0.0123718195,0.9995114,0.37896487,0.73160154,-0.024986431,0.9867496,0.23514716,0.7257614,-0.051885277,0.9958934,0.3954573,0.9018586,0.20810357,0.9883437,0.22830066,0.8968667,0.16946456,0.99311155,0.3876185,0.92546684,0.22177494,0.9311883,0.23599696,0.91629666,0.1832445,0.9084293,idle
