x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.7470151,0.17442259,-0.274286,0.99988276,0.76073635,0.15327734,-0.27495554,0.99975777,0.742147,0.15635228,-0.25187412,0.9997023,0.7794063,0.15625554,-0.20866534,0.9996499,0.74013513,0.1615983,-0.099325456,0.9995244,0.7586149,0.19006537,-0.24435583,0.99976116,0.7443933,0.19105934,-0.21343677,0.99967253,0.8344539,0.23236635,-0.15826929,0.9996985,0.7208334,0.24803045,-0.009737259,0.9997491,0.8531984,0.34427565,-0.34570566,0.9890367,0.6728644,0.3433943,-0.16077234,0.9521582,0.7884666,0.24934839,-0.5294658,0.98579216,0.70060027,0.2489963,-0.43971205,0.97136754,0.7991677,0.50013596,-0.04690366,0.9992676,0.73152274,0.48936632,0.046799034,0.999553,0.80235875,0.679655,-0.046043497,0.9946169,0.68853414,0.6430467,-0.051704712,0.99186265,0.81102276,0.8315226,0.16412972,0.99282604,0.6980769,0.80167675,0.28952923,0.9917538,0.81337565,0.8502549,0.17630057,0.90590644,0.7139461,0.82031536,0.31124303,0.9527093,idle
0.74607456,0.17400926,-0.26968825,0.9998663,0.75958717,0.15287098,-0.27261764,0.99971783,0.74176353,0.15544204,-0.24720626,0.999662,0.7794837,0.15611817,-0.2157675,0.99957186,0.7405848,0.16054139,-0.09682075,0.99947584,0.7572143,0.18994819,-0.24349412,0.99973524,0.74373597,0.19057581,-0.20960598,0.99964356,0.8335592,0.23291071,-0.16183466,0.9996783,0.72038084,0.24527906,-0.013380671,0.99974394,0.8546318,0.34554413,-0.3502344,0.9892229,0.6720714,0.34218854,-0.15984862,0.9542855,0.78987515,0.24943973,-0.5299977,0.98586357,0.6997376,0.24900797,-0.443492,0.9721798,0.79928863,0.50101113,-0.04100135,0.9992568,0.7313098,0.48984498,0.040884912,0.9995538,0.803384,0.68248117,-0.04753883,0.9938344,0.68645644,0.6433146,-0.050302364,0.9920734,0.8107688,0.8352427,0.14859155,0.9918878,0.691187,0.8011941,0.18669793,0.99155974,0.81281024,0.85296804,0.15898766,0.89821184,0.70513934,0.8221963,0.20487604,0.95016783,idle
0.7453474,0.17350014,-0.26289833,0.99987465,0.758603,0.15261866,-0.26619798,0.99973565,0.7409363,0.1547532,-0.24106379,0.9996841,0.7790553,0.15620904,-0.20931411,0.9995994,0.7400807,0.15969019,-0.091819294,0.99950963,0.7565458,0.18985252,-0.23657253,0.99975246,0.7430512,0.19021559,-0.203004,0.9996655,0.83251446,0.2344625,-0.15551007,0.9996884,0.72016203,0.24327318,-0.0015959183,0.9997487,0.8596013,0.35037407,-0.3379914,0.9898189,0.6691657,0.34167615,-0.14505762,0.9568066,0.7954506,0.25222394,-0.51033366,0.98634535,0.6995413,0.24788429,-0.43363157,0.9735127,0.7988675,0.50137484,-0.04462193,0.99927086,0.73048407,0.49169648,0.04447311,0.9995594,0.8031758,0.6833065,-0.02804694,0.9941176,0.6845033,0.64361113,0.104044676,0.99241996,0.81141937,0.8389672,0.122450925,0.9922258,0.68408287,0.80283713,0.3215669,0.9917927,0.81337976,0.8567482,0.12829903,0.90014,0.70080864,0.82535374,0.33708757,0.95047486,idle
0.7447485,0.17327322,-0.2595014,0.999881,0.7578529,0.15258616,-0.26210606,0.99974746,0.74013007,0.15425447,-0.23735508,0.9997009,0.7780615,0.15623993,-0.20125028,0.99961364,0.7391756,0.15897323,-0.08610539,0.9995332,0.7548321,0.18981162,-0.23169497,0.99976194,0.7428727,0.18999095,-0.19896539,0.9996788,0.8312367,0.23468238,-0.1442234,0.99969804,0.71744317,0.24255781,0.010779974,0.99975294,0.858425,0.35045153,-0.33092037,0.9903783,0.6622273,0.34123096,-0.13253248,0.9591314,0.7951424,0.25248113,-0.50729406,0.9867884,0.6988617,0.24762997,-0.417638,0.97469676,0.79838383,0.5019972,-0.054231364,0.9992881,0.7293239,0.4931868,0.054091346,0.9995673,0.8025651,0.68430436,-0.034606833,0.9941254,0.68207246,0.64340603,0.08090967,0.992346,0.8114959,0.8428044,0.08661957,0.9923222,0.6752235,0.80299455,0.28702983,0.99163896,0.8134546,0.8612597,0.08921534,0.9007755,0.6905267,0.8274222,0.30142733,0.95000315,idle
0.74397606,0.17300792,-0.25739557,0.99989,0.75736964,0.1525857,-0.26021737,0.9997667,0.7398957,0.15432718,-0.23537222,0.9997248,0.77746737,0.15627527,-0.19758424,0.99964345,0.7386496,0.15894602,-0.083058946,0.9995684,0.75288147,0.18974708,-0.23071618,0.99977916,0.741614,0.18941344,-0.19754736,0.9997019,0.82786053,0.23594788,-0.1383072,0.9997144,0.714963,0.2412245,0.034844987,0.99976146,0.86125696,0.35282007,-0.31619072,0.9909951,0.6544863,0.33757645,-0.10797866,0.9612618,0.7989541,0.25961623,-0.50136626,0.98702306,0.69723636,0.24729349,-0.401277,0.97553927,0.7953924,0.5018874,-0.07043889,0.99932164,0.7264115,0.4940688,0.07034722,0.9995843,0.80198985,0.6839478,-0.05361998,0.99442416,0.6793874,0.643884,0.15123244,0.99225056,0.81354505,0.8436631,0.049615275,0.99269503,0.66703176,0.810188,0.35616988,0.99172693,0.8185279,0.86282307,0.051211573,0.9058278,0.6812795,0.83801407,0.37029663,0.95123756,idle
0.74109775,0.17260292,-0.24960737,0.99989915,0.7562278,0.15263686,-0.24889275,0.9997865,0.7385715,0.1541199,-0.22525218,0.99974877,0.7771671,0.15685293,-0.17189908,0.99967456,0.738196,0.15868086,-0.062450178,0.9996045,0.7493879,0.1895395,-0.2163105,0.9997979,0.73856175,0.18884487,-0.18526042,0.9997271,0.8220771,0.2378018,-0.11610626,0.99973655,0.7100986,0.23897046,0.06750105,0.99977434,0.86412585,0.35565236,-0.2819938,0.9917362,0.6492064,0.33479294,-0.075498655,0.9637652,0.80856925,0.27021214,-0.4784255,0.98763245,0.69404125,0.24703765,-0.37971514,0.97683805,0.788668,0.50142175,-0.08028678,0.99936867,0.7219137,0.49415553,0.080249235,0.9996059,0.7994581,0.6836556,-0.09875193,0.99460036,0.6778448,0.6461451,0.17200926,0.99096924,0.8135328,0.8459212,-0.007962768,0.9929773,0.656182,0.81623554,0.3710333,0.991398,0.8190778,0.86542416,-0.0074925446,0.91120255,0.6726736,0.84484583,0.38351193,0.95144314,idle
0.7353293,0.17266028,-0.30219695,0.9999058,0.7492563,0.15276922,-0.29633793,0.99980134,0.7318653,0.15423314,-0.27636844,0.99976724,0.7720899,0.15772286,-0.19487932,0.9996989,0.7324726,0.15866938,-0.10231473,0.9996304,0.74302506,0.18955298,-0.2606006,0.99981296,0.73217595,0.1889316,-0.23400235,0.9997471,0.8148023,0.23933573,-0.12310451,0.99975616,0.7015975,0.23949166,0.04768256,0.9997832,0.8658894,0.35504627,-0.3165943,0.99242586,0.64034736,0.3335904,-0.112186715,0.96641123,0.81429493,0.2799643,-0.56222045,0.988245,0.6868642,0.24703227,-0.4368392,0.9783128,0.7829039,0.5011046,-0.0820184,0.9993996,0.7159352,0.4960554,0.081952885,0.99961615,0.7966917,0.6804162,-0.08523123,0.9947763,0.67329675,0.65071243,0.16321336,0.9902518,0.81418216,0.8451965,0.023202825,0.993244,0.65175027,0.81699866,0.36801353,0.99116236,0.82126933,0.86527175,0.024496078,0.914012,0.6673398,0.84526545,0.3806712,0.9511075,idle
0.7285095,0.17353517,-0.3295024,0.9999136,0.7419802,0.1543819,-0.31768575,0.99981785,0.7239632,0.15486981,-0.30217463,0.99978685,0.7643288,0.15950151,-0.196604,0.9997246,0.72324705,0.15874225,-0.12250854,0.9996586,0.73632324,0.19103812,-0.28032905,0.9998285,0.7247358,0.18972893,-0.25973222,0.9997679,0.80691403,0.24187835,-0.12658182,0.9997764,0.69340265,0.2396297,0.029233882,0.99979234,0.86369437,0.35520178,-0.30251798,0.99309796,0.63318,0.3335543,-0.12763749,0.9689285,0.8160124,0.28790414,-0.53207314,0.98907876,0.6810184,0.24649803,-0.44343138,0.9798669,0.77535874,0.5009273,-0.08053694,0.99943167,0.7109403,0.49702835,0.08047758,0.9996257,0.7928502,0.6774667,-0.10271804,0.9949362,0.6655437,0.650816,0.13680947,0.9899244,0.8141365,0.844877,0.005162875,0.9935656,0.6488138,0.81966114,0.33317527,0.99122834,0.8205596,0.86491007,0.0064847134,0.9183914,0.6656862,0.848581,0.34681568,0.9520227,idle
0.692921,0.18221118,-0.36529642,0.99988973,0.7097682,0.16730142,-0.3534545,0.9997684,0.69226444,0.1637169,-0.33884522,0.99975276,0.7308785,0.17180654,-0.22501262,0.9996768,0.69790804,0.16495326,-0.15582952,0.9995996,0.70165074,0.2021524,-0.31398255,0.9998005,0.69000566,0.19655867,-0.29403454,0.99973196,0.7755741,0.24710575,-0.15542492,0.9997824,0.67214954,0.2444326,-0.0006458684,0.99976397,0.8466446,0.34181195,-0.32633537,0.993489,0.60289073,0.33340505,-0.1641468,0.9701158,0.81551707,0.33288157,-0.5578071,0.98525935,0.6518193,0.2510427,-0.49788672,0.9806933,0.74540347,0.50584185,-0.08568345,0.99940634,0.68816584,0.50529593,0.08563547,0.99959755,0.76153845,0.67769545,-0.13788626,0.9949433,0.63695896,0.6516107,0.11665287,0.9892272,0.80504066,0.8454694,-0.039790146,0.99375325,0.6451799,0.82201636,0.29552755,0.9911,0.8112613,0.8659489,-0.03935188,0.92153776,0.6671827,0.8515265,0.3047902,0.9534881,idle
0.69045603,0.19159842,-0.36664525,0.999853,0.7066036,0.17900585,-0.35541534,0.9996636,0.68754166,0.17333145,-0.34445292,0.9996727,0.72339094,0.182259,-0.22462146,0.9995846,0.68863785,0.1737258,-0.1712337,0.9994925,0.698471,0.2107448,-0.3130494,0.99972534,0.68565613,0.20588064,-0.2980814,0.9996602,0.764701,0.25204083,-0.1522801,0.9997862,0.6621829,0.24857871,-0.0072191306,0.9997248,0.8346961,0.33889377,-0.26970077,0.99380445,0.59139216,0.33357376,-0.15362254,0.971463,0.81919175,0.3548779,-0.47999412,0.9814811,0.64275986,0.2579899,-0.4651239,0.9806381,0.7383517,0.5091826,-0.08245608,0.9992754,0.6814244,0.509744,0.082397,0.99953455,0.74824995,0.680875,-0.113892734,0.9944473,0.632758,0.6560351,0.023290468,0.98768264,0.7956563,0.8451679,-0.01907185,0.9931252,0.646539,0.82902646,0.17918445,0.9903143,0.8080028,0.86565626,-0.0028670658,0.9162288,0.66781133,0.8541571,0.186762,0.9529417,idle
