x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4295681,0.3508748,-0.08974322,0.99997735,0.42585307,0.34177065,-0.065811604,0.9999634,0.41803923,0.34210926,-0.08583835,0.9999659,0.41686043,0.35046497,0.05904127,0.99992555,0.40154845,0.35201457,-0.03228147,0.9999588,0.42886204,0.36555815,-0.04301813,0.99995655,0.4232212,0.3660516,-0.06934195,0.99995995,0.4446566,0.41993254,0.12097216,0.99990225,0.36065584,0.42992985,-0.00024531168,0.99993706,0.47676015,0.5017038,0.016638938,0.9013675,0.35216814,0.5169763,-0.010877028,0.9435151,0.4772922,0.500433,-0.26149523,0.9158997,0.380131,0.5620633,-0.058538653,0.89168733,0.4498527,0.6160347,0.026672551,0.9996589,0.3932612,0.6195331,-0.026508942,0.999867,0.46202916,0.7656365,0.040513653,0.99353373,0.36869574,0.7642222,-0.08575822,0.9976729,0.47399178,0.8965431,0.15807597,0.99453634,0.33279142,0.9165716,-0.012272672,0.9979012,0.468324,0.91668725,0.16234703,0.94912916,0.33394906,0.93922096,-0.013957341,0.93773335,idle
0.4337818,0.34949723,-0.081852034,0.99997836,0.42998987,0.34055203,-0.057791203,0.99996555,0.42191583,0.34135324,-0.08048108,0.999968,0.42123705,0.34918034,0.0686599,0.99992836,0.4061107,0.35123459,-0.03500372,0.99996215,0.43341237,0.36347482,-0.03432887,0.9999587,0.42769447,0.36430296,-0.064285055,0.9999628,0.4485066,0.41887426,0.14132991,0.9999063,0.366607,0.42942142,-0.0016545951,0.99994123,0.48029146,0.5003034,0.03679059,0.8817226,0.35549724,0.5178417,-0.017501887,0.9468732,0.48150104,0.49620774,-0.25559777,0.9048207,0.38734788,0.5577852,-0.044544376,0.8963499,0.4530379,0.614707,0.041193485,0.9996707,0.39689618,0.6187567,-0.040994294,0.99986994,0.4624354,0.76581,0.061347514,0.9923207,0.3711615,0.76417094,-0.091799565,0.9976501,0.47379407,0.8969831,0.17416541,0.9940406,0.33621466,0.91648966,-0.018850233,0.9978404,0.46738654,0.91797346,0.17761481,0.9500751,0.33610505,0.9387692,-0.02050183,0.93658173,idle
0.43796378,0.34951773,-0.07887163,0.99997765,0.4344492,0.34059045,-0.056157462,0.9999648,0.42691907,0.34123296,-0.07996106,0.99996805,0.42557126,0.3491312,0.06676839,0.9999208,0.41071114,0.3508243,-0.041429453,0.999964,0.43677586,0.36371028,-0.03184069,0.99995756,0.43127912,0.36444515,-0.06349156,0.9999643,0.4513937,0.4182846,0.13895555,0.99990445,0.36795408,0.42121205,-0.011882233,0.9999452,0.4843102,0.4994163,0.03166467,0.8643921,0.35535315,0.51601094,-0.024063151,0.9505898,0.48530427,0.4956875,-0.26089185,0.8948932,0.39342844,0.5520203,-0.08096125,0.9032706,0.4543551,0.6135054,0.041651852,0.9996604,0.39922965,0.6154471,-0.04144928,0.99987054,0.4612705,0.76506627,0.06763406,0.99046504,0.37384862,0.7614426,-0.1279917,0.9975488,0.4734625,0.8976141,0.18766895,0.992953,0.34117362,0.9164134,-0.08276257,0.9977052,0.4670431,0.9194471,0.1918291,0.94981444,0.3417508,0.93910635,-0.08696015,0.9360095,idle
0.44123492,0.34920204,-0.0756694,0.99997634,0.43710533,0.34023237,-0.051819228,0.99996346,0.4300158,0.34082365,-0.07535286,0.9999665,0.42745438,0.34892797,0.07141008,0.99991435,0.41416588,0.350591,-0.037309773,0.9999638,0.44054174,0.3633877,-0.028850505,0.99995446,0.4355642,0.36398283,-0.060139753,0.99996364,0.45366582,0.4184764,0.14037794,0.9999066,0.37206167,0.42162,-0.016589116,0.9999458,0.48742718,0.49968556,0.048621707,0.85368806,0.35922664,0.5160963,-0.06587476,0.95250213,0.49490285,0.49317515,-0.22454664,0.8959751,0.39375466,0.5504659,-0.1476718,0.9086398,0.4557392,0.61314976,0.0416436,0.999653,0.40008146,0.6153357,-0.041429184,0.9998651,0.46036798,0.7645444,0.06241367,0.98927677,0.37513068,0.76142704,-0.12915114,0.9974191,0.47392598,0.897752,0.17573084,0.9922617,0.3443783,0.9164959,-0.07513116,0.9975846,0.46787056,0.9195986,0.17821868,0.9488363,0.34706724,0.9390944,-0.07849245,0.934548,idle
0.4413231,0.3492507,-0.09146361,0.99997395,0.43922877,0.34028327,-0.067003585,0.99996024,0.43069267,0.34093794,-0.08345764,0.9999648,0.43152475,0.34905884,0.07055094,0.9998993,0.4157775,0.35069403,-0.054085165,0.99996376,0.44165865,0.36357757,-0.040985666,0.9999502,0.43553525,0.36419344,-0.061543453,0.9999632,0.4585659,0.42122933,0.12554926,0.9998937,0.37267777,0.4239049,-0.034214657,0.99994797,0.49121222,0.5000418,0.030778129,0.83884573,0.36338776,0.52885234,-0.06352578,0.955008,0.49113822,0.48616737,-0.27216244,0.88207746,0.39333135,0.545525,-0.1379147,0.9141677,0.45493942,0.6161175,0.043590944,0.9996424,0.39975813,0.618358,-0.04342943,0.9998631,0.46084708,0.76566195,0.07546006,0.9872454,0.37486982,0.7625247,-0.12411462,0.9973409,0.4741233,0.8982113,0.20145443,0.99153394,0.34356242,0.9164406,-0.07240794,0.99747807,0.4678093,0.9203825,0.20578754,0.9495577,0.3451448,0.93839496,-0.075814016,0.9341943,idle
0.44336548,0.34978113,-0.07047505,0.99997485,0.44073376,0.34065467,-0.048287876,0.999962,0.43317676,0.34117556,-0.07017576,0.99996614,0.43221346,0.3490961,0.0705946,0.9999017,0.41841164,0.3507901,-0.038101014,0.9999657,0.44352603,0.3636405,-0.025639394,0.9999511,0.43780255,0.3643079,-0.054576207,0.99996483,0.45861617,0.42313653,0.13745506,0.99989676,0.37233382,0.42398492,-0.024251802,0.99995106,0.48791498,0.50606984,0.033312727,0.83034784,0.36274862,0.5295257,-0.048749287,0.95743096,0.4958345,0.48602378,-0.25659326,0.8844164,0.39313152,0.53933704,-0.09916282,0.92048967,0.45420185,0.61644036,0.043583006,0.99964595,0.39855757,0.61873245,-0.04341758,0.99986684,0.46061987,0.765817,0.08524476,0.9863784,0.3736314,0.7625021,-0.122336246,0.99737597,0.47399822,0.89823437,0.21434069,0.9912739,0.34238797,0.91644996,-0.06967686,0.99747944,0.4678023,0.9204721,0.21962169,0.9508054,0.3435974,0.93840885,-0.07298206,0.9348734,idle
0.44416642,0.3513733,-0.07821002,0.9999765,0.4411471,0.34163082,-0.055444606,0.9999648,0.4340114,0.34189564,-0.07819325,0.9999685,0.43171805,0.3491594,0.06407161,0.9999081,0.4187626,0.35085252,-0.041870628,0.9999684,0.44410077,0.36528903,-0.03301962,0.9999541,0.4383073,0.36573917,-0.06321509,0.99996734,0.45786682,0.42496622,0.13671795,0.99990267,0.37193328,0.42517012,-0.027986646,0.99995434,0.48627716,0.51006407,0.036272507,0.82511634,0.3611505,0.53197944,-0.06562925,0.95965606,0.49687424,0.4856253,-0.2452174,0.8883391,0.39134824,0.5303785,-0.12462944,0.92623156,0.4528544,0.61627287,0.04732517,0.9996585,0.39679438,0.6186201,-0.047165096,0.9998733,0.46019626,0.76680225,0.09741444,0.9858071,0.37254697,0.7619919,-0.1476532,0.9974415,0.47391444,0.8981397,0.2231534,0.9912652,0.341592,0.9166155,-0.11587219,0.99753994,0.4676109,0.92020035,0.2278763,0.95224965,0.34337088,0.9384557,-0.12091372,0.93617636,idle
0.44443116,0.3551225,-0.06460851,0.99997765,0.44134802,0.3443013,-0.04072032,0.9999671,0.43445188,0.34457695,-0.0643266,0.99996996,0.43100825,0.3505474,0.07975702,0.99991375,0.4189919,0.35179958,-0.02916033,0.9999704,0.44381508,0.3702488,-0.019018011,0.99995595,0.43784618,0.37074262,-0.05031278,0.9999684,0.45719367,0.42584416,0.14649007,0.9999089,0.3715837,0.42466605,-0.024379913,0.99995536,0.48506984,0.5112294,0.028172221,0.8170342,0.3639725,0.52811265,-0.04332192,0.9592456,0.49398732,0.48330995,-0.249525,0.89007497,0.39039284,0.522815,-0.044838183,0.9275273,0.4518563,0.6153476,0.04521622,0.99967057,0.39590532,0.6173993,-0.045050886,0.9998744,0.45996737,0.7677114,0.088224776,0.9856876,0.37202257,0.7629938,-0.12048663,0.9974048,0.47370204,0.8980438,0.2106375,0.99126434,0.34109217,0.9170454,-0.100363776,0.9974287,0.46765605,0.92013896,0.215089,0.95144093,0.34271425,0.938191,-0.10605551,0.93229455,idle
0.44379455,0.3561042,-0.08977679,0.99997836,0.44055623,0.34502843,-0.067671165,0.99996877,0.43363875,0.34529856,-0.09214251,0.9999711,0.4305902,0.3507972,0.052524883,0.9999178,0.41832852,0.35207093,-0.057332803,0.99997216,0.4430953,0.37115762,-0.043846186,0.99995756,0.43711892,0.37198418,-0.076251715,0.9999699,0.45692882,0.42668992,0.1358509,0.99991167,0.37076518,0.424712,-0.0429122,0.9999574,0.48463988,0.5121418,0.016978368,0.8145489,0.362768,0.52781516,-0.05909261,0.96202856,0.4916223,0.48087594,-0.2760077,0.8929809,0.38879937,0.51386756,-0.077498004,0.9325616,0.4487474,0.621272,0.04489984,0.99967706,0.39316547,0.6211035,-0.04473632,0.9998765,0.4593191,0.7708873,0.0967341,0.9852414,0.37133017,0.7668954,-0.10212588,0.9974348,0.47367924,0.8985069,0.22832258,0.9911314,0.34076935,0.9183265,-0.04376697,0.99734515,0.4679163,0.9199971,0.23365054,0.9518485,0.34233528,0.9383714,-0.045657717,0.930922,idle
0.44242078,0.35779133,-0.08855748,0.99997973,0.43964142,0.34636077,-0.064135455,0.9999711,0.43190235,0.34703916,-0.084470704,0.9999728,0.43038243,0.35156173,0.065024175,0.99992406,0.4165085,0.35347304,-0.025610942,0.99997425,0.44211602,0.3726554,-0.04043508,0.99996,0.43561253,0.37426952,-0.06761281,0.99997157,0.45698446,0.42691803,0.13722047,0.99991626,0.36994296,0.425192,-0.0031275335,0.9999581,0.4844709,0.51181144,0.014873152,0.8208659,0.35964128,0.5211051,-0.014213325,0.9627523,0.48743567,0.47146186,-0.2728824,0.8978109,0.3881734,0.5050151,-0.02350167,0.9322642,0.44634724,0.6210422,0.040644158,0.9996913,0.39066,0.6208109,-0.04042767,0.999879,0.45705193,0.7705638,0.064888924,0.9855102,0.37085256,0.7666183,-0.09640487,0.9974464,0.47357813,0.89843357,0.18684708,0.99130744,0.3406979,0.9182985,-0.022582544,0.9973226,0.467932,0.91986823,0.19126132,0.9524583,0.34239444,0.93831486,-0.023627501,0.9296276,idle
