x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.47283402,0.008085159,-0.31277585,0.99985504,0.48850283,-0.008812159,-0.29977593,0.999665,0.4601565,-0.007076038,-0.2882877,0.9995683,0.5037486,0.002083174,-0.19048056,0.99951935,0.4519516,0.0011954297,-0.14134029,0.99903524,0.48657602,0.024697833,-0.26999658,0.9998335,0.466575,0.024789434,-0.254891,0.9997225,0.5584986,0.11726211,-0.13797273,0.99979335,0.41868943,0.1167086,-0.0232645,0.9995799,0.5721601,0.2696548,-0.24941008,0.9726064,0.38680464,0.27218473,-0.13226858,0.91957945,0.52078855,0.22457583,-0.49238172,0.9656455,0.4157795,0.22568557,-0.42862803,0.9376168,0.52076095,0.40921646,-0.027050216,0.9992185,0.43879122,0.4010177,0.026894275,0.999333,0.5145511,0.60106766,0.009189678,0.96380395,0.43294376,0.5986362,0.09557352,0.97099096,0.50815696,0.7552838,0.34200615,0.94654065,0.43761057,0.7558458,0.38628364,0.96147025,0.50048053,0.76783776,0.36619508,0.7945074,0.4454867,0.76920277,0.40854698,0.8164525,idle
0.4724327,0.009133013,-0.314287,0.99984807,0.4880746,-0.00899816,-0.30070156,0.99965733,0.45962924,-0.006868318,-0.28856367,0.9995528,0.5037071,0.0020265297,-0.18638775,0.99951607,0.4509445,0.0013133299,-0.13741295,0.9990159,0.48628235,0.02540699,-0.26903558,0.99983037,0.46615586,0.02575264,-0.25300732,0.99971724,0.5585025,0.117258765,-0.13463001,0.99978805,0.4187327,0.116762824,-0.01906113,0.9995772,0.5721003,0.27032083,-0.24662335,0.97305655,0.38694617,0.2721243,-0.12519446,0.9197569,0.5208757,0.22393265,-0.49276477,0.96654296,0.4162596,0.22731487,-0.42378283,0.93859494,0.520717,0.4097378,-0.027857339,0.9991836,0.43869892,0.40152925,0.027738031,0.99930567,0.5142188,0.6020712,0.009534818,0.9657914,0.4329285,0.5999529,0.09680807,0.97241926,0.50809854,0.75525,0.3432483,0.94833183,0.4375546,0.756095,0.39459834,0.9629055,0.5003916,0.7677689,0.36782026,0.79687035,0.44537657,0.7694556,0.41737908,0.8199723,idle
0.47181916,0.008958654,-0.29111043,0.9998423,0.4874053,-0.009159505,-0.27825302,0.99965197,0.45909864,-0.0070253825,-0.26409978,0.9995412,0.5036132,0.001964371,-0.16740952,0.9995142,0.45011592,0.0012579862,-0.10392705,0.99900824,0.48564234,0.025281029,-0.2475719,0.99982756,0.4656186,0.025591534,-0.22883567,0.9997129,0.55832565,0.11706415,-0.11859591,0.999783,0.41874108,0.116950005,0.0036683648,0.999576,0.57199407,0.27039543,-0.23727043,0.97318333,0.38700444,0.272621,-0.0962216,0.9194695,0.5213693,0.22303699,-0.4788596,0.9674451,0.4159994,0.22777827,-0.41407245,0.94007564,0.52069837,0.4098927,-0.029649755,0.99917126,0.4386754,0.40163583,0.02955379,0.9992911,0.513929,0.60260975,0.0036306374,0.9675772,0.43274936,0.6002256,0.095821835,0.9735292,0.5080864,0.7563296,0.33621734,0.94985056,0.4375642,0.75670755,0.39089257,0.96402824,0.50032246,0.76875794,0.36105847,0.79735166,0.44536456,0.7702504,0.41344684,0.82280445,idle
0.47119603,0.008840343,-0.2903113,0.9998404,0.48672232,-0.009425438,-0.27780613,0.9996549,0.458247,-0.0072292085,-0.2629853,0.99953926,0.50347227,0.0014350209,-0.16745919,0.99952406,0.44916072,0.0004218114,-0.09885697,0.99902254,0.48505193,0.025261125,-0.24700749,0.99982864,0.46497688,0.025530647,-0.22724715,0.9997148,0.55832094,0.11700567,-0.11701205,0.9997778,0.41876602,0.11694757,0.006630077,0.9995762,0.5712438,0.2707203,-0.23796216,0.97272724,0.38711685,0.2722928,-0.09133416,0.9184904,0.52156603,0.22284277,-0.47706923,0.9676357,0.41620708,0.22828312,-0.40376663,0.9401227,0.52067834,0.41029608,-0.0302578,0.9991763,0.4386447,0.40180168,0.030179683,0.9992904,0.51360714,0.6042128,-0.001952295,0.9694297,0.43265152,0.60161597,0.099203326,0.97488075,0.5081529,0.75692654,0.3348576,0.9518466,0.43757343,0.75709,0.4087645,0.9654917,0.5002813,0.76942956,0.3592606,0.8008417,0.44536456,0.7707308,0.4328479,0.8268929,idle
0.47086984,0.010241621,-0.28625414,0.99983215,0.4863997,-0.009028837,-0.2736035,0.9996445,0.4577898,-0.007108428,-0.25875053,0.9995212,0.50336796,0.0014032964,-0.16161294,0.99951756,0.4486804,0.00039569967,-0.09290485,0.99901354,0.48459846,0.026557725,-0.24221519,0.9998229,0.46443924,0.026688822,-0.22243743,0.9997078,0.5580751,0.11695073,-0.10643996,0.9997627,0.41877002,0.116978005,0.012306188,0.99957305,0.5700484,0.27041215,-0.23313424,0.9713952,0.38714963,0.27210698,-0.077619135,0.91759515,0.52233535,0.22228955,-0.46325588,0.9663759,0.41680473,0.22936913,-0.3697428,0.9400862,0.5206755,0.4103084,-0.030544465,0.9991729,0.4386579,0.401784,0.030480701,0.9992846,0.5127884,0.60443777,-0.0074191326,0.97090167,0.43255505,0.6019885,0.09828647,0.9759611,0.5077738,0.7569122,0.33558846,0.9531146,0.4375797,0.7573863,0.40479952,0.9666927,0.49996725,0.7694178,0.36125988,0.80252486,0.4453686,0.77110034,0.42894197,0.83029103,idle
0.47078785,0.010038774,-0.2719305,0.9998239,0.48640412,-0.009522615,-0.25822657,0.999631,0.45752445,-0.0073927636,-0.24500248,0.9995028,0.503371,0.0006672112,-0.1466079,0.9995032,0.44830185,0.000118090094,-0.084733486,0.9989963,0.4845139,0.026410382,-0.22826895,0.99981445,0.46418586,0.026526693,-0.21051848,0.9996984,0.55764973,0.116761796,-0.096855804,0.9997488,0.4186604,0.116971426,0.014833142,0.99957085,0.56893563,0.27019325,-0.2188833,0.97030056,0.38721076,0.272581,-0.07620081,0.917307,0.5226603,0.22106853,-0.44300604,0.96596056,0.41683513,0.22763674,-0.36001453,0.94119954,0.5206478,0.41024697,-0.030327547,0.99916476,0.438587,0.40164682,0.030257892,0.99927276,0.51221377,0.6043275,-0.009461842,0.97183233,0.43246263,0.6018879,0.089494996,0.9764925,0.50737995,0.75690037,0.3305144,0.9533834,0.43756524,0.7574423,0.3872267,0.9670326,0.4990185,0.7692164,0.35682297,0.8000201,0.445301,0.771126,0.41073838,0.8302813,idle
0.47084275,0.009855425,-0.25869936,0.999815,0.4864444,-0.009561482,-0.24523965,0.99961084,0.45761055,-0.0074902405,-0.23308983,0.99948525,0.503374,0.0005814723,-0.13709365,0.9994764,0.44818228,-0.00020380851,-0.07944305,0.99898386,0.48452687,0.026290055,-0.21628639,0.99980366,0.46424618,0.02640107,-0.19982037,0.9996896,0.55744183,0.11641585,-0.090891264,0.9997322,0.41848597,0.11692326,0.014251593,0.99957794,0.5688743,0.2697454,-0.20645425,0.9692389,0.38708434,0.27302852,-0.07639341,0.919096,0.52302647,0.22026984,-0.4224506,0.96564186,0.41675258,0.22697999,-0.3509952,0.9436953,0.5206708,0.410238,-0.030165827,0.9991548,0.43860596,0.4015709,0.030094728,0.999265,0.51201415,0.60424197,-0.0106994305,0.9725803,0.4324054,0.6017156,0.08370295,0.9769342,0.50728154,0.7576535,0.31696087,0.9533783,0.4375643,0.75745505,0.36707777,0.96719986,0.4986114,0.7692921,0.3421302,0.79703796,0.4452811,0.7711244,0.38933733,0.8304096,idle
0.47085935,0.0097702015,-0.2655807,0.9998099,0.48652825,-0.0100262705,-0.25218946,0.9996003,0.45765853,-0.007691803,-0.23997238,0.9994769,0.50337654,7.2725525e-06,-0.14277409,0.99946445,0.44817662,-0.00055712427,-0.084971584,0.998983,0.48462707,0.026224617,-0.2227273,0.9998001,0.4643042,0.026323557,-0.20620342,0.9996878,0.55744547,0.11621756,-0.09398157,0.9997268,0.41845465,0.11681864,0.010329966,0.9995882,0.5689254,0.26959455,-0.20750621,0.9689471,0.38709456,0.2729154,-0.079263575,0.92090577,0.5232696,0.22125675,-0.4315269,0.96594805,0.41613188,0.22541903,-0.36587852,0.9461896,0.5208422,0.41022584,-0.030020192,0.9991505,0.43865147,0.40155214,0.029946571,0.99926186,0.5120086,0.6041982,-0.010212635,0.97362196,0.43240732,0.6016769,0.08375682,0.97765857,0.5073106,0.7589414,0.3084368,0.9540968,0.43757385,0.75779784,0.36712494,0.9677719,0.4986044,0.77076024,0.3319684,0.7958336,0.44529063,0.771438,0.3890793,0.83186275,idle
0.47089863,0.009664057,-0.2682492,0.9998067,0.48654848,-0.010327727,-0.25500447,0.999594,0.4576191,-0.007782105,-0.24282393,0.9994737,0.5033789,-0.0005815719,-0.14593467,0.9994547,0.44813576,-0.0009035931,-0.088003635,0.9989878,0.48463875,0.026158571,-0.22553425,0.9997972,0.4642834,0.026265007,-0.20901756,0.9996861,0.55748457,0.11597014,-0.096590236,0.9997215,0.41842708,0.116750635,0.007844084,0.9995964,0.5689487,0.26947242,-0.20813718,0.96840304,0.38712153,0.272841,-0.08660371,0.92191386,0.5235215,0.22146307,-0.43213654,0.9658818,0.4160958,0.22568461,-0.37696436,0.9479016,0.52106214,0.4102303,-0.029941699,0.9991557,0.4387304,0.4015797,0.029869583,0.9992608,0.51205814,0.6044738,-0.010339954,0.9745842,0.43238607,0.6016268,0.087058805,0.97830176,0.5080761,0.7620218,0.2883169,0.9551511,0.43757707,0.7581119,0.36913928,0.9683079,0.498837,0.7741864,0.30928034,0.79554754,0.44531727,0.77184296,0.39102378,0.83334327,idle
0.47094703,0.009616631,-0.29583472,0.9998083,0.48657218,-0.010464134,-0.28178015,0.9995987,0.45764655,-0.007807062,-0.2704888,0.99948144,0.50337535,-0.0007832068,-0.16616425,0.99946016,0.44815564,-0.0009496083,-0.11189739,0.9990051,0.48477602,0.026134312,-0.25052595,0.9998002,0.46430802,0.026201162,-0.23508349,0.99969155,0.5575857,0.115855366,-0.11207892,0.99972665,0.41843003,0.11656235,-0.010882758,0.9996065,0.5699131,0.26939565,-0.23201671,0.9689461,0.38709158,0.27256063,-0.116121635,0.9234611,0.5237509,0.22189674,-0.47743458,0.9667288,0.41646376,0.22635657,-0.42253762,0.94951606,0.5212085,0.41022295,-0.029890802,0.9991517,0.4388229,0.40151992,0.02981101,0.9992555,0.512188,0.60445565,-0.0036183472,0.97553337,0.43239284,0.6002937,0.09831725,0.9789216,0.50866294,0.7623949,0.29664952,0.95631266,0.43759307,0.7581419,0.38412568,0.9689502,0.50009966,0.7752379,0.31816238,0.7961782,0.44543228,0.7718853,0.40570527,0.83543515,idle
