x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.6325882,0.13323893,-0.25675255,0.99993455,0.64418447,0.11486601,-0.23650439,0.9998846,0.6187402,0.116226874,-0.23074344,0.9998576,0.65568274,0.121527,-0.09718376,0.99979615,0.6093307,0.12152985,-0.06911932,0.9998517,0.64360934,0.15211639,-0.20255268,0.99992484,0.62475795,0.15182823,-0.19503613,0.9999062,0.69472855,0.23021717,-0.036833234,0.9998904,0.5732543,0.21984853,-0.0122678,0.99994737,0.69460803,0.3570384,-0.2255948,0.97991675,0.5206552,0.3218568,-0.19011652,0.9714147,0.6548879,0.24400274,-0.4553452,0.9768977,0.587702,0.22709893,-0.4266761,0.97951293,0.6530858,0.50685513,-0.001206454,0.9997452,0.5745637,0.5004466,0.0011302098,0.9998791,0.6809967,0.69851524,0.03837277,0.9917363,0.5423522,0.6993301,0.020871196,0.99671,0.7415429,0.8563785,0.28322333,0.98948264,0.54742134,0.8641908,0.3057251,0.9849719,0.73737484,0.8825992,0.30067545,0.93602824,0.56794715,0.8857607,0.32750607,0.90341204,idle
0.6227623,0.12774684,-0.21840867,0.99994016,0.6334277,0.108836435,-0.19506714,0.99989384,0.61019504,0.11104576,-0.19115444,0.99986917,0.64635634,0.11489699,-0.047816165,0.99981356,0.59749377,0.11900464,-0.031041065,0.9998642,0.6302783,0.14714006,-0.16225693,0.99993014,0.61476684,0.14660104,-0.15791568,0.9999137,0.6822459,0.227414,0.014752736,0.9998866,0.56469476,0.21945368,0.029733697,0.9999478,0.685305,0.35593605,-0.17043735,0.98099893,0.50996345,0.3207316,-0.15026349,0.9729941,0.6487053,0.23917761,-0.39073813,0.9785028,0.5725663,0.22832313,-0.37683147,0.97990036,0.64662254,0.5032403,-0.002441963,0.9997445,0.5699711,0.49712032,0.0024078533,0.99988204,0.6679084,0.6957567,0.071013376,0.9919633,0.5369369,0.7012987,0.008495677,0.99683094,0.72100127,0.8590082,0.30755207,0.9896863,0.54754436,0.87344587,0.23598301,0.9861433,0.7170037,0.8859453,0.32389593,0.93633384,0.56827086,0.8949251,0.25098854,0.9079719,idle
0.6144808,0.11694218,-0.20179462,0.99994534,0.6266449,0.096955515,-0.17683086,0.99990267,0.6032035,0.1006989,-0.17255999,0.9998801,0.6388086,0.105639465,-0.025263023,0.99983,0.5927925,0.110775016,-0.0064105736,0.99987584,0.62260044,0.13732253,-0.14444172,0.99993545,0.6077267,0.13807383,-0.1395606,0.99992096,0.6773058,0.22243677,0.036692873,0.9998848,0.5591581,0.21468872,0.052442588,0.999946,0.6812021,0.35545316,-0.15814298,0.98221093,0.50455433,0.3204119,-0.13724439,0.9746658,0.644698,0.23111722,-0.38435096,0.98011744,0.5676235,0.22504269,-0.3708169,0.9805342,0.64030075,0.5011718,-0.0036208227,0.99974215,0.56361043,0.49025086,0.0036113095,0.9998798,0.6582195,0.6937382,0.054909516,0.99242955,0.53809786,0.6949407,0.0057504466,0.9969817,0.7006435,0.8592042,0.2956223,0.9902033,0.54770386,0.87446696,0.23312406,0.9872754,0.69386375,0.885595,0.3120454,0.9365424,0.56700647,0.8949724,0.24752268,0.9118451,idle
0.59927857,0.0955634,-0.12608185,0.9999468,0.6110501,0.07649186,-0.10059867,0.9999037,0.58688396,0.081552744,-0.09601682,0.99988234,0.62510765,0.085228875,0.048506923,0.9998366,0.5760345,0.09002703,0.0691002,0.9998797,0.60737044,0.115031876,-0.06952458,0.99993587,0.59279567,0.11602558,-0.06389228,0.9999246,0.6693882,0.2022418,0.11173357,0.9998849,0.5441577,0.1989999,0.13662396,0.999942,0.674271,0.34020868,-0.050921805,0.9827201,0.49555087,0.3178583,-0.013732359,0.9761218,0.63172853,0.22028509,-0.24403377,0.98109823,0.55458033,0.22413304,-0.22389655,0.9813465,0.6347836,0.47862867,-0.0031915498,0.99974024,0.5604373,0.47829852,0.003221828,0.99986356,0.6250017,0.69192034,0.0109693175,0.9925122,0.54300183,0.6792304,-0.00381342,0.99659127,0.6259707,0.8660833,0.29081935,0.9901426,0.5454649,0.87670255,0.23787627,0.987695,0.61888754,0.88804764,0.30306402,0.92961425,0.56429636,0.8976934,0.25298902,0.9062161,idle
0.5959931,0.09818353,-0.13560179,0.99994886,0.60845244,0.07682006,-0.110356584,0.99990594,0.5856164,0.0808129,-0.107314035,0.99988604,0.62197983,0.08442643,0.041807167,0.9998395,0.5750326,0.09021925,0.052968077,0.9998832,0.605489,0.11792279,-0.07777409,0.9999339,0.5891899,0.11831884,-0.07466378,0.9999265,0.6675225,0.1978111,0.11248819,0.9998802,0.5434226,0.19601794,0.11444751,0.9999372,0.67177427,0.33821827,-0.049712483,0.9832444,0.49369377,0.318551,-0.039387003,0.977508,0.6291159,0.21605884,-0.25825673,0.98233944,0.55060595,0.22497658,-0.2575888,0.9820771,0.63378817,0.47571918,0.004705571,0.9997291,0.55921185,0.47333032,-0.004567976,0.99984306,0.61727154,0.6915891,0.011138283,0.99132144,0.54513025,0.677272,-0.00969587,0.99584144,0.6044413,0.8681467,0.24521306,0.98915625,0.54325324,0.8744968,0.20970318,0.9876248,0.59569174,0.89206356,0.25697118,0.92891395,0.55872846,0.89904195,0.22385955,0.9000961,idle
0.594586,0.099984184,-0.14015272,0.9999479,0.6063522,0.07869161,-0.11553924,0.99990225,0.58348817,0.08299745,-0.11289153,0.9998824,0.62035,0.08665798,0.03427302,0.9998308,0.5736689,0.092047535,0.043595813,0.9998767,0.60508966,0.12037568,-0.08319848,0.99992555,0.5877785,0.12017567,-0.08056112,0.99992275,0.6678485,0.20088956,0.108306505,0.99987,0.54187524,0.19740908,0.095938325,0.9999289,0.6735424,0.34229556,-0.051824987,0.9835658,0.4941134,0.31974933,-0.06175647,0.978429,0.62992007,0.2215658,-0.25874335,0.98337305,0.5545881,0.22543153,-0.27571505,0.9824371,0.6301959,0.47521675,0.011580529,0.9996982,0.55693567,0.47073373,-0.011441463,0.99981165,0.6123412,0.6880887,0.036805473,0.9894464,0.5459805,0.6747954,-0.010435542,0.9949314,0.59836346,0.8677493,0.24789813,0.9876078,0.5414672,0.8723823,0.19724986,0.9871208,0.58882296,0.89149255,0.2608902,0.92685926,0.5533532,0.8955791,0.21291304,0.8923286,idle
0.58549213,0.113005094,-0.21034464,0.99994564,0.5979022,0.089958824,-0.19813105,0.99989647,0.57487524,0.09777202,-0.1865258,0.9998728,0.61468846,0.09528024,-0.07689219,0.999815,0.56649905,0.106128916,-0.035600673,0.99985415,0.59747404,0.12700737,-0.16567859,0.99991775,0.57946575,0.12876387,-0.15258351,0.99991435,0.6654352,0.21201506,0.0106320735,0.999844,0.53858507,0.21136624,0.029355947,0.99991375,0.66939586,0.35748026,-0.055061687,0.9841447,0.49158603,0.3400462,-0.082249075,0.9775497,0.6228439,0.2411191,-0.3168777,0.9843769,0.5454825,0.2486606,-0.34735802,0.9803906,0.61913663,0.48511285,0.016016865,0.9996399,0.54824597,0.47867253,-0.016040102,0.99976486,0.6097033,0.68860656,0.07367621,0.9875978,0.53826225,0.6749589,0.011050322,0.9947291,0.6013812,0.8634256,0.27269715,0.9863981,0.52206266,0.8600074,0.20864764,0.9870487,0.5915744,0.8872395,0.28405243,0.9258194,0.5323738,0.88483816,0.22081892,0.8882655,idle
0.5723812,0.114030175,-0.20116237,0.9999465,0.5833604,0.09177635,-0.18498632,0.99989647,0.5607666,0.09839093,-0.17424372,0.99987346,0.60237545,0.097387746,-0.065957405,0.9998166,0.552023,0.10649566,-0.018120643,0.9998519,0.58388525,0.12939808,-0.15504138,0.99991584,0.5676019,0.13069902,-0.14190958,0.99991274,0.6527061,0.21283296,0.010150268,0.9998242,0.52141654,0.21218063,0.046594925,0.9999075,0.65463567,0.35746872,-0.11888299,0.98482275,0.47892514,0.3391695,-0.0933359,0.97794384,0.60683984,0.242369,-0.3248763,0.98525167,0.53295064,0.24716926,-0.31890562,0.9798371,0.61118335,0.48932675,0.009819454,0.9996398,0.5363952,0.48216787,-0.009842229,0.9997652,0.60806435,0.6883001,0.058245353,0.9881237,0.51728785,0.6817351,0.032223538,0.9949935,0.6031354,0.86336523,0.2697755,0.98665154,0.48582512,0.8579222,0.2577551,0.9878035,0.5929748,0.8870582,0.2823511,0.92795646,0.49557987,0.8806387,0.27200425,0.8914397,idle
0.56882536,0.11217367,-0.17336379,0.99994814,0.5791777,0.09081975,-0.15141237,0.9998993,0.5563963,0.09741317,-0.14489107,0.99987787,0.59657395,0.09828407,-0.015528837,0.9998235,0.5463106,0.10599586,0.012137546,0.9998566,0.57998,0.12955591,-0.12226218,0.9999158,0.56377965,0.13001342,-0.11439475,0.9999142,0.64276624,0.21375135,0.045601822,0.99981356,0.5139886,0.21205005,0.07167239,0.99990404,0.6448797,0.35652667,-0.105514444,0.9852358,0.47294402,0.3371456,-0.08063866,0.97855085,0.59802186,0.24093555,-0.28961092,0.98586965,0.52828455,0.245478,-0.28929204,0.97971565,0.6049081,0.48927978,0.0077507435,0.99965394,0.5277871,0.4817181,-0.0077234497,0.999774,0.60464984,0.6853114,0.056121312,0.98867106,0.50664246,0.6802357,0.03687691,0.99524266,0.605111,0.863031,0.2763273,0.98707646,0.47063008,0.8628334,0.2639458,0.9886058,0.5945954,0.88691926,0.29005894,0.9299996,0.480368,0.8847676,0.2778375,0.89495593,idle
0.5642059,0.111978546,-0.1901398,0.9999513,0.5761441,0.090732835,-0.16925585,0.999905,0.5522916,0.09680051,-0.1628583,0.99988556,0.5921787,0.098940395,-0.029396197,0.99983394,0.5429986,0.10530968,-0.003681153,0.99986553,0.57556367,0.13032934,-0.13774745,0.9999196,0.5584563,0.13047037,-0.12985428,0.99991924,0.636719,0.21433565,0.03928127,0.99980843,0.50675845,0.21166435,0.05884617,0.99990594,0.6388299,0.3564456,-0.12120982,0.98571783,0.465165,0.33712927,-0.099328175,0.9794155,0.59442496,0.24387588,-0.32825595,0.98650265,0.52083457,0.24551134,-0.32378885,0.9799441,0.5992302,0.4899083,0.0074192607,0.9996629,0.52078986,0.4839839,-0.007381531,0.9997824,0.60127836,0.6848825,0.06328874,0.9892035,0.4966343,0.6816404,0.032865383,0.995522,0.606005,0.8627795,0.2955972,0.9875809,0.46243602,0.86268437,0.26123178,0.98941815,0.59579027,0.88702714,0.3104809,0.93282413,0.47180423,0.88493663,0.27491444,0.899228,idle
