x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.64741063,0.14991689,-0.28857914,0.99974,0.65965533,0.12449197,-0.27645075,0.99975353,0.63173836,0.13046835,-0.26900285,0.9997046,0.67375445,0.122470655,-0.15010609,0.9996597,0.6175202,0.13242677,-0.112751625,0.99973166,0.6600446,0.1680333,-0.23751894,0.99972093,0.6393931,0.17487308,-0.2285488,0.9996782,0.7269869,0.2155732,-0.067956686,0.99971986,0.59141535,0.23263595,-0.033483393,0.9998602,0.76534486,0.3652684,-0.23397148,0.9857067,0.5396985,0.3588731,-0.22565758,0.9830485,0.71464795,0.2602707,-0.45454088,0.9879997,0.598011,0.23882252,-0.459972,0.9756737,0.716266,0.5308897,0.0007274587,0.99857867,0.6307677,0.52956367,-0.0004312642,0.9993516,0.7307147,0.7604896,0.042380348,0.9330865,0.60396594,0.74758625,-0.014668362,0.97522753,0.7206491,0.9192042,0.33375844,0.8007037,0.5682014,0.9509441,0.15213409,0.91270417,0.706735,0.9404705,0.35672194,0.62679106,0.5672694,0.9648165,0.15714885,0.6113411,idle
0.6496023,0.14660898,-0.28268856,0.9997593,0.6616298,0.12099806,-0.27023962,0.99976766,0.6338471,0.12834315,-0.26186335,0.999719,0.67523706,0.1188422,-0.14008357,0.999683,0.6196786,0.13194348,-0.101672694,0.9997422,0.6623777,0.16513361,-0.22990415,0.99974155,0.6420763,0.17172822,-0.21968229,0.9997019,0.730271,0.21371928,-0.06034897,0.99973387,0.5954875,0.23083805,-0.022365376,0.9998574,0.7652878,0.36685652,-0.22422919,0.9864988,0.542181,0.357148,-0.22000575,0.98375607,0.7170892,0.2656499,-0.4521939,0.98883665,0.5998186,0.23463963,-0.46640658,0.97616184,0.7174455,0.53036517,-0.0037343719,0.9984998,0.6306982,0.52806526,0.004074574,0.9993502,0.7309843,0.75949955,0.06189846,0.93726635,0.6024967,0.7467133,-0.013627924,0.97669184,0.7201304,0.91929454,0.3424136,0.80790854,0.56832856,0.9532359,0.11554996,0.9159899,0.7071582,0.9390975,0.36254257,0.63039607,0.5697747,0.9672476,0.117188014,0.6180089,idle
0.6501597,0.14542523,-0.27937642,0.9997695,0.66236395,0.119367406,-0.26557344,0.9997688,0.634537,0.12713315,-0.25692886,0.9997138,0.67525995,0.11670515,-0.13791914,0.9996917,0.62004745,0.13083541,-0.098931104,0.9997352,0.66302377,0.16484968,-0.22653028,0.9997536,0.64238995,0.17133869,-0.21605127,0.99971384,0.7318798,0.21235432,-0.0384276,0.99974954,0.59671575,0.22908275,-0.0050555943,0.9998572,0.764725,0.36529812,-0.20860584,0.98717624,0.54274875,0.3564921,-0.19778068,0.98444486,0.7151411,0.26356927,-0.45165452,0.9895164,0.600703,0.2248209,-0.46340752,0.9770397,0.7161281,0.5256247,-0.0030960399,0.998454,0.62906665,0.5240767,0.0033919688,0.99932563,0.730672,0.758237,0.03427001,0.93876106,0.59991777,0.74540806,-0.027662512,0.9766799,0.72030294,0.9247168,0.287098,0.80927366,0.5676276,0.9518708,0.11484567,0.9138401,0.7077701,0.9413666,0.304171,0.6245591,0.56982356,0.9663107,0.11958454,0.6102854,idle
0.63936347,0.12482322,-0.20649807,0.99978477,0.6531723,0.095725864,-0.1949897,0.9997774,0.6257356,0.10577239,-0.17990412,0.999725,0.6700789,0.094723,-0.07365857,0.99970067,0.6165832,0.10992613,-0.0070395893,0.9997394,0.65385026,0.14223044,-0.15726136,0.9997617,0.63318145,0.1460274,-0.13840255,0.99972564,0.7282182,0.19759926,-0.0028231472,0.99974513,0.5944077,0.21098222,0.066585176,0.9998578,0.74679774,0.35553116,-0.1880174,0.98759395,0.5300743,0.3398506,-0.11199597,0.9846721,0.68700385,0.24588227,-0.40676945,0.98996615,0.58274424,0.21757075,-0.37492558,0.9774415,0.69616926,0.5186616,-0.0050259945,0.9985172,0.6084331,0.5085897,0.005210646,0.9993479,0.7101144,0.7534332,0.048387975,0.93666166,0.5709178,0.7331347,-0.016402442,0.9771592,0.7194344,0.9284932,0.24341564,0.81266886,0.54344594,0.9509522,0.113866046,0.9153142,0.7075708,0.9473203,0.25419098,0.6281344,0.55132675,0.9658317,0.11895879,0.61055267,idle
0.62435025,0.11323898,-0.20922455,0.999799,0.6367538,0.082563706,-0.19649912,0.999786,0.6104003,0.095144324,-0.1812582,0.9997372,0.6583723,0.082119174,-0.07570988,0.9997067,0.6053096,0.099826604,-0.009703016,0.9997408,0.6393486,0.1302851,-0.16119443,0.9997673,0.62030804,0.1332586,-0.14253628,0.99973506,0.716546,0.18938063,-0.011460106,0.99973184,0.57975286,0.20353822,0.06126853,0.99985546,0.7274191,0.33889535,-0.19403374,0.9880301,0.5140288,0.3353686,-0.12009915,0.9844507,0.6678287,0.22389321,-0.43151826,0.9904369,0.564944,0.21900171,-0.39548957,0.977003,0.6786581,0.5161731,-0.0050526913,0.9985483,0.593159,0.5041906,0.0051582055,0.9993717,0.6977139,0.74744105,0.07671756,0.9318721,0.55632484,0.72719175,-0.03140394,0.9771872,0.71326673,0.9155449,0.2910962,0.8082636,0.53239685,0.9493812,0.07015959,0.9153884,0.7024065,0.93428546,0.30049562,0.62127864,0.53782403,0.96548355,0.07381977,0.60495216,idle
0.61157507,0.11376437,-0.21086824,0.99980754,0.6225892,0.08398576,-0.202643,0.9997863,0.59839,0.09380674,-0.1849167,0.9997368,0.6459901,0.0828831,-0.08315903,0.99970376,0.593797,0.09829095,-0.017363492,0.9997289,0.6256931,0.13118857,-0.16676912,0.99976945,0.6081702,0.13351145,-0.1447044,0.99973726,0.70704997,0.18887839,-0.02652939,0.9997275,0.56903446,0.20422894,0.05414622,0.99985254,0.7149631,0.3359493,-0.21072754,0.9883995,0.5058957,0.33550194,-0.12158777,0.98389816,0.6573702,0.22093177,-0.43205985,0.9908205,0.55434835,0.22333102,-0.40276042,0.9766067,0.6700465,0.51622415,-0.006514578,0.99856955,0.58340484,0.50524724,0.006560091,0.99937147,0.6901456,0.742958,0.05025332,0.9251812,0.54871505,0.72637904,-0.025975564,0.97509295,0.70842767,0.91139483,0.29337314,0.79744333,0.5296091,0.9360362,0.13956998,0.9090695,0.6990676,0.9305206,0.3100083,0.61001796,0.5366361,0.95787805,0.15106934,0.5912515,idle
0.58760536,0.11995983,-0.21906325,0.9998236,0.59937274,0.09308737,-0.2073673,0.99980146,0.573231,0.101031624,-0.19543846,0.9997555,0.61984575,0.09032596,-0.12772909,0.999724,0.56912154,0.10483603,-0.028883914,0.9997455,0.60297626,0.13679218,-0.18249123,0.9997867,0.5861825,0.14076999,-0.1521389,0.99975556,0.6870095,0.20071456,-0.08404858,0.99972373,0.5481065,0.22098896,0.045562442,0.9998576,0.68856156,0.3403964,-0.30742818,0.98897165,0.4880693,0.35491645,-0.13663252,0.9834171,0.6271752,0.22164777,-0.55030733,0.99130815,0.52286154,0.26158127,-0.43600005,0.9771791,0.6468057,0.5348982,-0.012746125,0.99858236,0.56278116,0.5241281,0.012653026,0.9993892,0.68006605,0.7512751,0.05282421,0.9279663,0.5225852,0.7495774,0.007081783,0.97629046,0.70960796,0.9139764,0.29228124,0.8052076,0.52556765,0.95026684,0.182029,0.9133059,0.70204544,0.93266374,0.30911604,0.6171244,0.5373951,0.9653066,0.19334057,0.6054265,idle
0.57794106,0.12879923,-0.23469612,0.999839,0.5900017,0.10350048,-0.23665948,0.99981713,0.56385386,0.109019585,-0.20976706,0.9997743,0.6129569,0.10011669,-0.17044815,0.9997457,0.5598122,0.112533726,-0.046699435,0.9997628,0.59325254,0.14660548,-0.20915656,0.99980503,0.5762804,0.1508992,-0.17003958,0.9997755,0.6816598,0.21453157,-0.12329514,0.9997249,0.54154193,0.23054907,0.017266458,0.9998638,0.676673,0.35045198,-0.32939792,0.9894761,0.48810172,0.36089677,-0.15017648,0.9818456,0.61419713,0.22211571,-0.54860544,0.9917136,0.51762664,0.27285555,-0.47522855,0.9771663,0.63509524,0.5469485,-0.013385361,0.9985941,0.5498398,0.53539747,0.013255286,0.999397,0.66909707,0.7573332,0.044419877,0.9334106,0.51545453,0.7568462,0.022741087,0.9780515,0.7110201,0.91383094,0.30278248,0.81960505,0.52721244,0.9491846,0.24754068,0.91963893,0.704149,0.9326357,0.3235146,0.6378461,0.5395347,0.96279854,0.26444903,0.6268633,idle
0.56922793,0.13398226,-0.22751415,0.9998508,0.58092797,0.10824624,-0.23484173,0.9998265,0.55624,0.113570824,-0.20419256,0.99978495,0.6041614,0.103297435,-0.16857281,0.99975914,0.55441356,0.115677916,-0.04192664,0.99976975,0.58446205,0.15104923,-0.20687349,0.9998173,0.56908476,0.15532233,-0.1618102,0.99978757,0.6753775,0.2148981,-0.11559876,0.99972,0.5370267,0.23024663,0.029023433,0.9998679,0.66949356,0.3511215,-0.3099144,0.98964,0.48421296,0.36606777,-0.13262871,0.9795284,0.60451627,0.222626,-0.5253131,0.99187624,0.5150012,0.2705893,-0.46212825,0.9767013,0.630665,0.54465127,-0.018436067,0.9985111,0.5438591,0.53307825,0.018248199,0.9993884,0.6593749,0.76170456,0.033398096,0.9371367,0.5147779,0.7570594,0.01047908,0.9792614,0.7107003,0.9143845,0.3189801,0.82929343,0.52430314,0.95588034,0.2064563,0.92446786,0.70433587,0.9332331,0.34324217,0.6471887,0.5376619,0.9700914,0.2203949,0.64055043,idle
0.5644961,0.13640009,-0.19305155,0.99986243,0.5755671,0.11038955,-0.20153984,0.9998383,0.5518254,0.116121925,-0.1698589,0.9997983,0.5983115,0.10475162,-0.15332784,0.9997772,0.55073076,0.1173661,-0.00947612,0.9997827,0.5804409,0.1527512,-0.17124096,0.9998316,0.5656926,0.1580298,-0.12811795,0.9998017,0.67075455,0.21439028,-0.10100512,0.99972504,0.5327214,0.23000932,0.05690536,0.9998677,0.6663974,0.3517951,-0.28848797,0.98992294,0.48211807,0.3687336,-0.09499357,0.97696483,0.5963353,0.2230939,-0.46961302,0.99210477,0.51135224,0.26934794,-0.41197506,0.97630066,0.62570804,0.5449053,-0.020653661,0.9984966,0.53879887,0.5327437,0.020457545,0.9993669,0.66132337,0.78762436,-0.08307959,0.93989706,0.51111937,0.7607133,-0.031857528,0.97949743,0.7071723,0.9159936,0.24549949,0.82539165,0.5228187,0.95478016,0.20792456,0.9210211,0.70415986,0.93415177,0.2744188,0.63656664,0.53540784,0.96953005,0.22970107,0.6330699,idle
