x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.43286973,0.07392557,-0.35884324,0.9998893,0.44903404,0.0472487,-0.35951048,0.9998155,0.42617473,0.05666559,-0.33004573,0.99975175,0.47671327,0.05236,-0.29184225,0.9998133,0.43287462,0.06646372,-0.15259293,0.9993249,0.4505844,0.0936681,-0.32483315,0.99990284,0.43375048,0.09685814,-0.2857516,0.9997523,0.5437833,0.16975011,-0.26275042,0.99977005,0.42373037,0.1942855,-0.0030715377,0.9996714,0.5592979,0.31971076,-0.4382589,0.99325675,0.40968943,0.35409743,-0.091402605,0.79371804,0.48505822,0.27914038,-0.67271006,0.99095315,0.3706099,0.28276083,-0.48963386,0.97079504,0.51639056,0.48405382,-0.07760498,0.9982377,0.43761474,0.47804224,0.077580824,0.9988743,0.5082099,0.65984833,0.04042905,0.9937931,0.4127713,0.65865237,0.17705801,0.994522,0.52851284,0.829008,0.3418948,0.9878099,0.4022065,0.8322752,0.43373662,0.9929354,0.5315005,0.85806096,0.36133215,0.8906128,0.41574836,0.85531557,0.45088857,0.96179175,idle
0.43710065,0.07249015,-0.39025542,0.99989176,0.45466834,0.045603506,-0.3917221,0.9998209,0.42927346,0.054228544,-0.36326694,0.9997596,0.48292932,0.050977554,-0.31638867,0.9998179,0.43604293,0.06449067,-0.18413821,0.9993445,0.45553264,0.092982605,-0.35647017,0.99990416,0.4373312,0.095710985,-0.31878284,0.9997546,0.54853,0.16949336,-0.2848384,0.99976397,0.4283064,0.19440883,-0.030081144,0.99967164,0.5646292,0.31997916,-0.46102363,0.99316466,0.41605788,0.35608235,-0.1197108,0.78534275,0.48937836,0.27915105,-0.68918496,0.9908421,0.376633,0.28419426,-0.5007298,0.9697945,0.5206663,0.48396695,-0.07817041,0.99815387,0.44112653,0.4778437,0.07813336,0.99883056,0.5112834,0.6549269,0.03605461,0.99315983,0.41405073,0.65927106,0.17275539,0.9940456,0.52951765,0.82726437,0.3341313,0.9870371,0.40222636,0.8310625,0.43701655,0.99256384,0.5313802,0.85758674,0.35305536,0.88967085,0.41573167,0.8550139,0.45542827,0.9607675,idle
0.43883008,0.072065875,-0.38622373,0.9998945,0.45537442,0.044761464,-0.38648596,0.9998268,0.43065706,0.05410895,-0.35944855,0.9997674,0.4850824,0.049479544,-0.30525818,0.99982446,0.43792573,0.064450234,-0.1809609,0.99936247,0.457256,0.09261826,-0.351161,0.99990654,0.43953115,0.095637344,-0.31518203,0.9997574,0.55004674,0.16788034,-0.2708916,0.9997664,0.4309632,0.19421561,-0.028005803,0.99966663,0.5696308,0.31836525,-0.43513036,0.9931468,0.41779804,0.35535276,-0.11040111,0.7773208,0.49152356,0.2785168,-0.66136533,0.99083346,0.37875837,0.28420752,-0.49639302,0.9690387,0.5235852,0.48333406,-0.07814174,0.998132,0.44304729,0.4755803,0.07810242,0.99879277,0.5123953,0.6565484,0.03368558,0.99262387,0.41586384,0.6575807,0.17831144,0.993594,0.52939886,0.82957995,0.30789235,0.98629934,0.40243158,0.8291576,0.43479744,0.99218297,0.52989376,0.8589866,0.32380283,0.88843846,0.41581145,0.8540561,0.45150882,0.95992833,idle
0.43979272,0.071976505,-0.37370342,0.99988276,0.45592317,0.04477026,-0.37709174,0.99981046,0.43216276,0.054103512,-0.34717566,0.9997482,0.48658055,0.049502354,-0.30494887,0.9998067,0.44009247,0.0645047,-0.17107543,0.99930364,0.45694405,0.09261894,-0.34335643,0.9998925,0.44037706,0.09563641,-0.30365628,0.9997177,0.5515424,0.16773811,-0.27541927,0.99973637,0.4335863,0.19425379,-0.018645776,0.9996338,0.57091755,0.31564462,-0.43673453,0.9928509,0.42443633,0.35534415,-0.08749595,0.76247853,0.49016175,0.2767663,-0.65337837,0.99017704,0.3813191,0.2883075,-0.45681387,0.96617186,0.5250325,0.48393956,-0.081280075,0.99797934,0.44559532,0.47610226,0.08122456,0.9986743,0.5132798,0.65721035,0.036804505,0.99211586,0.41668057,0.6564786,0.19458883,0.9929568,0.5301439,0.83079916,0.3100596,0.9855544,0.40412918,0.82848644,0.4422976,0.9916688,0.53022766,0.8596608,0.32664186,0.8866482,0.41781273,0.8536705,0.46055636,0.9588658,idle
0.44063345,0.07189371,-0.38385737,0.999882,0.45628038,0.04478212,-0.38753587,0.99981135,0.4331204,0.054105725,-0.3567695,0.99974906,0.4872151,0.049737073,-0.31525537,0.99980825,0.4408483,0.06460672,-0.1749588,0.99930155,0.45697737,0.092589825,-0.35263833,0.99989086,0.44109806,0.095575236,-0.31171814,0.9997099,0.55185664,0.16765766,-0.28605753,0.99973154,0.4345561,0.19431482,-0.01720366,0.9996202,0.5739039,0.31528684,-0.45737416,0.9928526,0.42606765,0.35545677,-0.09131427,0.7531895,0.491867,0.27678695,-0.66312575,0.9899174,0.38154492,0.28831482,-0.47159562,0.96491736,0.52587473,0.48458174,-0.086113624,0.99793166,0.44721395,0.4764112,0.08604126,0.99861974,0.51404846,0.65794593,0.035613038,0.9918995,0.41765994,0.6553665,0.20174403,0.9925648,0.5308923,0.8306282,0.3066608,0.9853988,0.40762442,0.82691723,0.4441433,0.9913898,0.53138685,0.85860234,0.3229745,0.8864348,0.4212466,0.85225505,0.4641079,0.9585558,idle
0.4418015,0.0706099,-0.40478092,0.99988395,0.45775065,0.04432983,-0.40602955,0.99981475,0.4339598,0.05330316,-0.37736362,0.9997564,0.48825845,0.049749326,-0.32621348,0.999811,0.44088593,0.06457767,-0.19316542,0.9993222,0.45773283,0.09156584,-0.37024316,0.9998904,0.44180202,0.094385125,-0.3321337,0.9997113,0.5521854,0.16778857,-0.29824534,0.99971944,0.43421116,0.19459237,-0.026396487,0.99961954,0.57359165,0.31532198,-0.47436357,0.992862,0.42387286,0.35658437,-0.10713712,0.74796444,0.4915902,0.2768278,-0.68666446,0.9895618,0.38116655,0.289919,-0.47880918,0.963848,0.52541363,0.48570505,-0.08897303,0.9978915,0.4477337,0.47668466,0.08885501,0.9986171,0.5141757,0.65850824,0.046590984,0.9917601,0.41806158,0.6543906,0.1988987,0.99225813,0.53134775,0.8300919,0.31203258,0.9853605,0.40931565,0.82681924,0.44711915,0.991208,0.5331494,0.8571321,0.3274183,0.8858747,0.4236884,0.8520658,0.46605843,0.958299,idle
0.44364396,0.069990136,-0.40840244,0.9998878,0.4588267,0.043831117,-0.4083876,0.9998209,0.4345433,0.05298688,-0.38079864,0.99976563,0.4883388,0.049338493,-0.32379192,0.9998175,0.4400143,0.06458197,-0.19484699,0.9993491,0.45915413,0.09090616,-0.37196314,0.9998928,0.4427866,0.09398706,-0.33531985,0.9997188,0.55317104,0.16797763,-0.29413316,0.99971676,0.43312564,0.19466606,-0.027010914,0.9996227,0.57140845,0.315829,-0.47381693,0.99282026,0.4219408,0.35657832,-0.11238297,0.7426547,0.49071687,0.27710772,-0.67909867,0.9893894,0.3805253,0.2899361,-0.49303675,0.96266466,0.5249092,0.48693705,-0.088073626,0.9978942,0.44759053,0.47834614,0.08796839,0.9986285,0.5149914,0.6592316,0.053532146,0.99175435,0.41762257,0.65483475,0.20057683,0.99222994,0.5318915,0.8301265,0.32232296,0.98551756,0.41045508,0.8267043,0.4580826,0.9912313,0.53333634,0.85750204,0.33774942,0.8857857,0.42573532,0.8518658,0.47630423,0.9585754,idle
0.44413957,0.06895235,-0.4063291,0.99989223,0.45937294,0.042580273,-0.4057482,0.9998271,0.43465644,0.05217487,-0.37921947,0.99977654,0.4881665,0.04825122,-0.32121733,0.9998239,0.43922678,0.06456353,-0.1959844,0.99938136,0.45963764,0.08939292,-0.36948192,0.99989593,0.44290763,0.092889674,-0.33425257,0.99972934,0.5525826,0.16861133,-0.29196948,0.9997108,0.43188906,0.19482312,-0.029676119,0.99963266,0.570144,0.3162659,-0.4501515,0.9928226,0.42071873,0.3564363,-0.12223317,0.7446442,0.49013153,0.2777568,-0.6583289,0.98904914,0.3794409,0.28948233,-0.50344324,0.9626723,0.5245263,0.4867219,-0.087439194,0.99786174,0.4469388,0.47841597,0.08733238,0.9986273,0.51554453,0.65952516,0.051576417,0.9914425,0.41743836,0.6551022,0.19910346,0.99165416,0.53408587,0.8293703,0.30901185,0.985069,0.41092938,0.82646763,0.4547573,0.9907051,0.5339027,0.85459846,0.32448494,0.8837815,0.4265923,0.85118324,0.47188815,0.9576915,idle
0.44318333,0.06703654,-0.42859155,0.99989855,0.45892596,0.04069657,-0.42624736,0.9998366,0.43425077,0.049737867,-0.401743,0.99979085,0.4878129,0.047083937,-0.33369642,0.99983376,0.43617564,0.064116254,-0.21870312,0.99942297,0.45885772,0.088219196,-0.38915625,0.9999018,0.44228703,0.09162191,-0.35651392,0.9997464,0.55172265,0.17020343,-0.30197293,0.9997139,0.4273111,0.19599022,-0.049031667,0.9996506,0.56953216,0.3195624,-0.4595757,0.9930187,0.41886848,0.3572865,-0.13734704,0.749951,0.48970437,0.27798575,-0.67195576,0.98897153,0.37782308,0.28966746,-0.5111215,0.9634445,0.52402216,0.48713762,-0.08709897,0.9978781,0.44628587,0.48026675,0.08697716,0.9986499,0.5151782,0.6598845,0.053146027,0.9912806,0.41702995,0.6580292,0.20828807,0.9911314,0.5350687,0.82799137,0.3286619,0.9847469,0.4110147,0.82623476,0.4790536,0.990202,0.53396916,0.8493909,0.34678414,0.8823091,0.42727312,0.85043836,0.4982625,0.95670694,idle
0.4423999,0.06683008,-0.4201526,0.9999002,0.4582147,0.04073285,-0.41912073,0.99983776,0.4332478,0.049421366,-0.39335626,0.9997965,0.4867888,0.04710078,-0.3330229,0.99983263,0.43477875,0.0640465,-0.21349385,0.9994412,0.45635706,0.087906495,-0.38328734,0.99990183,0.44039947,0.09104313,-0.34913206,0.9997505,0.54921734,0.17153001,-0.3015906,0.9997043,0.42333513,0.1964058,-0.05026129,0.9996595,0.5677919,0.32170567,-0.46466097,0.99312806,0.4167456,0.35675132,-0.14341882,0.7539756,0.48802176,0.28132993,-0.67451125,0.98861027,0.37417468,0.28965145,-0.5139854,0.96361744,0.5222249,0.48715037,-0.086992316,0.9978535,0.4449846,0.48073837,0.08685533,0.9986555,0.515118,0.6598778,0.05150426,0.99118465,0.41696423,0.6579787,0.20506461,0.9906805,0.53593665,0.82707775,0.30077407,0.9847274,0.41142696,0.82619596,0.46346697,0.98990405,0.5394454,0.85061353,0.31583905,0.88186616,0.4280408,0.8503578,0.48114842,0.9562236,idle
