x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.30584654,0.1606525,-0.2389706,0.99997175,0.31911182,0.14473543,-0.20928416,0.99994844,0.29635298,0.14141394,-0.21094108,0.99995106,0.3300402,0.15615755,-0.039341904,0.9999282,0.28251106,0.14653714,-0.03956696,0.9999579,0.31052762,0.18094046,-0.17530058,0.99995536,0.2959923,0.17816462,-0.17852017,0.9999648,0.35017043,0.25939876,0.03917254,0.99982876,0.2357188,0.22681747,0.0144699495,0.99989027,0.3946602,0.37765363,-0.16736105,0.9580224,0.17768571,0.3011502,-0.18478887,0.9921829,0.35935572,0.28200385,-0.4530495,0.9639942,0.24422438,0.25710467,-0.42236274,0.9890464,0.30842274,0.509055,0.009026358,0.9998381,0.23270836,0.508255,-0.009093946,0.99981505,0.37795156,0.686474,-0.071799554,0.9959152,0.18878292,0.6906387,-0.07582779,0.9966536,0.4134171,0.84160846,0.16460456,0.9936708,0.17805915,0.8451351,0.20079288,0.9940365,0.40395555,0.86450726,0.17889175,0.9582581,0.189022,0.86946076,0.22299314,0.9091694,idle
0.29912087,0.1345876,-0.20895073,0.99997425,0.3132716,0.118562005,-0.18159911,0.99995285,0.28888634,0.11243386,-0.18235092,0.99995494,0.3213979,0.12729765,-0.023646967,0.9999346,0.27365968,0.11781703,-0.025694031,0.99996144,0.30471477,0.156879,-0.14909329,0.9999594,0.28853148,0.15243374,-0.15086105,0.99996793,0.34275347,0.22787976,0.042116515,0.9998437,0.2274781,0.1881437,0.024771731,0.9998977,0.3828944,0.34142914,-0.17362934,0.9619429,0.16579801,0.25767234,-0.18600975,0.9924097,0.3406194,0.23542735,-0.44220528,0.9672351,0.24114084,0.21042834,-0.41257805,0.9886996,0.29897898,0.48182547,0.0029237128,0.99984205,0.22260591,0.4783715,-0.0030473764,0.9998238,0.36392456,0.66933346,-0.07336247,0.9961909,0.1790595,0.66975635,-0.10026254,0.9968704,0.39430648,0.8324056,0.17630066,0.9940361,0.17109641,0.8414819,0.14269754,0.9944502,0.38647735,0.8521076,0.19222769,0.95467436,0.18210286,0.86657846,0.15965584,0.9136825,idle
0.29163128,0.12496476,-0.1716478,0.99997634,0.3057497,0.10785623,-0.14410709,0.9999562,0.28022504,0.103325635,-0.14387283,0.999958,0.3149464,0.1186869,0.0062785847,0.9999397,0.26561955,0.109530464,0.008519424,0.99996436,0.29952556,0.14868134,-0.114947416,0.9999624,0.28026503,0.14516851,-0.11515969,0.99997044,0.33400512,0.2188662,0.060688876,0.99985415,0.21806435,0.1828815,0.04474891,0.9999054,0.37743703,0.3323982,-0.1673042,0.9654603,0.15522024,0.2509634,-0.16222158,0.9927318,0.33286434,0.22727412,-0.3906232,0.97008175,0.23785117,0.18921866,-0.35718212,0.9889461,0.28922883,0.47657612,0.0030418735,0.9998487,0.21120985,0.47139177,-0.0031722994,0.9998367,0.3523885,0.6659597,-0.065550804,0.99640685,0.16323209,0.66118544,-0.10081498,0.99708843,0.38332415,0.83055073,0.18029752,0.99430203,0.15214343,0.83623123,0.124966644,0.994884,0.37325704,0.85282695,0.19547467,0.95348954,0.16603756,0.86348164,0.1393248,0.91938806,idle
0.2828925,0.1368338,-0.18202707,0.9999782,0.29627532,0.11973432,-0.15396465,0.99995947,0.2706467,0.11593119,-0.15487757,0.9999607,0.30519992,0.12892443,0.006760174,0.9999445,0.25771195,0.121346965,0.0050089294,0.99996674,0.29015535,0.15820034,-0.12081571,0.9999651,0.27120346,0.15501413,-0.12222077,0.99997234,0.32866567,0.22704771,0.07310177,0.9998648,0.20801015,0.19585723,0.050599225,0.9999116,0.3645357,0.33655998,-0.15564604,0.96841973,0.1513897,0.27542502,-0.15300372,0.9927093,0.31714374,0.23638664,-0.39988476,0.9724181,0.22976366,0.19593398,-0.37563422,0.9891236,0.28158522,0.48658645,0.0020044527,0.9998558,0.20297725,0.4805279,-0.0020696614,0.9998489,0.34400132,0.67033577,-0.06329685,0.9965851,0.14456196,0.66810143,-0.10940579,0.997297,0.37835586,0.8372901,0.20911022,0.9945304,0.115622714,0.83670676,0.11858467,0.9952854,0.36667913,0.85892814,0.22851877,0.9538531,0.13047129,0.8661062,0.13337377,0.92467886,idle
0.27306387,0.15233755,-0.24279194,0.9999789,0.28763843,0.13701192,-0.21165903,0.9999607,0.2605601,0.13404326,-0.21389413,0.999961,0.29619628,0.14710996,-0.045355856,0.9999461,0.24727583,0.13823368,-0.055834126,0.999966,0.28007945,0.17589825,-0.18160085,0.99996597,0.2611198,0.17370644,-0.18543133,0.99997246,0.31675684,0.26124543,0.017313812,0.99986345,0.19525056,0.22725722,-0.0136523545,0.9999102,0.35065168,0.3918245,-0.19506711,0.97049105,0.14769293,0.31002146,-0.22032252,0.99207085,0.31541163,0.2918282,-0.44621888,0.97387797,0.21909165,0.206104,-0.43638858,0.98817503,0.2731159,0.5268004,0.0029908374,0.9998498,0.19284458,0.5193839,-0.0030876105,0.99985427,0.34336203,0.6906553,-0.033574935,0.9966202,0.12831703,0.6862504,-0.107824385,0.99746066,0.37335703,0.84739286,0.27516818,0.99449295,0.10345529,0.8443591,0.14899877,0.9955384,0.36042005,0.8724449,0.29836348,0.9544716,0.11739649,0.87070644,0.16863613,0.9273114,idle
0.27119416,0.18224224,-0.23581159,0.99998033,0.28497523,0.16522723,-0.20557913,0.99996334,0.25873178,0.16139713,-0.2081668,0.9999632,0.29596084,0.17454147,-0.041402258,0.99994946,0.24342827,0.16595705,-0.054474384,0.9999674,0.27747416,0.20672594,-0.17514944,0.9999678,0.25915217,0.20521198,-0.17953344,0.99997383,0.31956786,0.2921954,0.019963993,0.99986875,0.194479,0.25837195,-0.0087831365,0.99991083,0.3457132,0.42667252,-0.18644902,0.9725081,0.14821272,0.36215925,-0.21263802,0.99156135,0.31433505,0.33482715,-0.45680055,0.9758409,0.21308365,0.27524087,-0.4396855,0.98767847,0.2763905,0.5481783,0.0045558666,0.9998353,0.1936934,0.54147226,-0.004630906,0.99985486,0.34792444,0.7082764,-0.048600294,0.9966559,0.12507197,0.7029781,-0.1359816,0.99762577,0.37115204,0.85222435,0.2501418,0.99443746,0.10109941,0.8541144,0.12925822,0.9958034,0.35782418,0.8793603,0.27228588,0.9547719,0.11503901,0.87936825,0.14876077,0.9304467,idle
0.27701652,0.179002,-0.23324147,0.9999814,0.29046282,0.16198899,-0.20334628,0.99996525,0.26595747,0.15848392,-0.20555997,0.9999651,0.30186248,0.17101976,-0.039413728,0.99995184,0.25225788,0.1645375,-0.050803207,0.9999685,0.28419065,0.20252647,-0.1724286,0.99996895,0.26751536,0.20072943,-0.17603633,0.99997455,0.331648,0.2853691,0.02704196,0.999866,0.20572868,0.25405034,-0.00668249,0.99991167,0.35831225,0.41484144,-0.18505916,0.9740856,0.16406922,0.3611449,-0.20831914,0.99094343,0.32798657,0.32363266,-0.47198296,0.977087,0.22718151,0.27627343,-0.43950945,0.9872183,0.28771538,0.54110605,0.0042285593,0.9998316,0.20713174,0.534576,-0.004278443,0.9998611,0.35443866,0.70870644,-0.03264456,0.99678946,0.14046267,0.7049979,-0.11052158,0.9978001,0.37753934,0.85441667,0.2862338,0.99458313,0.10391782,0.854684,0.1468196,0.9961155,0.3637088,0.88108957,0.3097422,0.9553491,0.11739521,0.8804564,0.16439554,0.9345916,idle
0.28778335,0.15399133,-0.19543351,0.9999822,0.30247903,0.13662528,-0.17016456,0.99996656,0.27677095,0.13490829,-0.16838256,0.9999663,0.3145823,0.14563532,-0.017149655,0.99995357,0.26373956,0.14193577,-0.0094010215,0.9999692,0.29476723,0.17468712,-0.13716497,0.9999694,0.27849254,0.17449185,-0.13530898,0.9999748,0.34320027,0.25379163,0.05093079,0.99986917,0.21953042,0.23235814,0.04240756,0.9999154,0.37454084,0.39001334,-0.16939554,0.97575974,0.17610446,0.36064243,-0.15179557,0.9903626,0.34393585,0.32252187,-0.4599256,0.9785866,0.2398401,0.25313923,-0.40440097,0.98706985,0.3004208,0.5088455,0.0020935698,0.99983084,0.22205389,0.5007629,-0.0021079194,0.99986726,0.35815758,0.70729667,-0.02940346,0.9968762,0.16007769,0.688591,-0.07311452,0.99793106,0.37913883,0.8540319,0.27725857,0.99467796,0.12181467,0.8492609,0.14568125,0.99640405,0.367305,0.88011205,0.2869498,0.9553594,0.13762638,0.87987804,0.15909174,0.93862486,idle
0.29693002,0.12633964,-0.23854212,0.99998367,0.31088287,0.10898514,-0.21346824,0.99996924,0.28606963,0.10658439,-0.2138149,0.999969,0.3225138,0.1172578,-0.05894506,0.9999574,0.2724773,0.11361494,-0.06041961,0.99997157,0.30377737,0.14573832,-0.17969835,0.99997205,0.28711575,0.14519757,-0.18054055,0.99997693,0.34595042,0.22520842,0.015320209,0.99987787,0.22705789,0.20398697,0.004616852,0.9999202,0.3785191,0.35765657,-0.18150422,0.9776475,0.17929217,0.31896007,-0.19622663,0.99052507,0.356718,0.2774771,-0.4807891,0.980279,0.24748416,0.22324958,-0.48498663,0.9876192,0.30626523,0.47639176,0.0011268419,0.99980855,0.23054723,0.47011554,-0.0011659088,0.99985594,0.36598596,0.6874199,-0.06701757,0.99693197,0.17906451,0.67448395,-0.07862036,0.9979845,0.38708293,0.84999454,0.17373806,0.99461555,0.16208598,0.8538686,0.107449874,0.99648637,0.37535116,0.87309265,0.1868268,0.9505418,0.18416145,0.8863643,0.11853458,0.93953353,idle
0.31714395,0.11639395,-0.29987437,0.9999847,0.32977128,0.09711655,-0.27269444,0.9999713,0.3023748,0.09436366,-0.27651486,0.9999708,0.33713323,0.10573643,-0.10362004,0.99996036,0.28542432,0.101126716,-0.121023655,0.9999731,0.32425588,0.13905896,-0.2355583,0.9999743,0.30550283,0.13859393,-0.24130325,0.9999788,0.35873014,0.21787266,-0.016153226,0.99988645,0.236873,0.19100188,-0.04671214,0.9999225,0.3904619,0.35356724,-0.20644014,0.97909456,0.19165392,0.3018023,-0.256494,0.9906082,0.37062746,0.26437962,-0.5164232,0.98153424,0.2572648,0.22203675,-0.5609988,0.98748755,0.32488114,0.47424385,0.0047442885,0.9997885,0.24859086,0.4710344,-0.0048038894,0.9998307,0.3824695,0.67748445,-0.049652588,0.99706364,0.215,0.67209655,-0.054947555,0.9979784,0.41238976,0.8458345,0.20608914,0.9947232,0.2101382,0.85633,0.16085914,0.9964729,0.4029189,0.86962503,0.2193327,0.9470979,0.2201738,0.88455784,0.17375715,0.9356322,idle
