x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.75051373,0.1711587,-0.09965618,0.99989855,0.7580319,0.1502467,-0.1184958,0.99984676,0.7464453,0.15520935,-0.08248935,0.9997625,0.7777954,0.14471798,-0.12817281,0.99979985,0.7521811,0.15538788,0.033492424,0.999642,0.7612948,0.18183644,-0.098526694,0.99968684,0.75258887,0.18555203,-0.051281475,0.9995681,0.8366703,0.21113898,-0.13372771,0.9996574,0.74638134,0.2475947,0.120877005,0.9996236,0.79882777,0.28524777,-0.21814945,0.97740495,0.6979549,0.32330814,0.0057492964,0.91531336,0.76448995,0.18027711,-0.20901236,0.97585875,0.703512,0.21432424,-0.2521207,0.946692,0.8202766,0.4800759,-0.07623704,0.9993453,0.75904554,0.48368654,0.07624076,0.9995401,0.8225788,0.66531104,-0.096341945,0.99448913,0.738855,0.6662021,0.15320946,0.9858602,0.85096776,0.84133124,-0.045090843,0.99252486,0.7426276,0.8360916,0.26672786,0.9883537,0.8575015,0.86748314,-0.048903085,0.93571967,0.75560385,0.86054456,0.27040258,0.9434413,idle
0.7500772,0.17281188,-0.093489856,0.9998987,0.7579031,0.15172109,-0.11270545,0.99984825,0.74685663,0.15621829,-0.0762346,0.9997652,0.7776249,0.14517012,-0.12643468,0.99980086,0.7539643,0.15585683,0.04048338,0.99964803,0.7609009,0.18323924,-0.09256353,0.9996725,0.7529112,0.18653157,-0.044627182,0.9995541,0.8374273,0.21120314,-0.1343906,0.9996573,0.74885,0.24842586,0.12724796,0.9996282,0.79749304,0.28064492,-0.22436908,0.97711253,0.70088124,0.32341346,0.0131005095,0.914301,0.76529187,0.17918271,-0.24026231,0.9754368,0.7051494,0.2145171,-0.24903157,0.9472886,0.8215653,0.4803034,-0.07573329,0.9993464,0.7607211,0.4838617,0.0757348,0.9995571,0.8230589,0.66555303,-0.09482979,0.99472004,0.73888177,0.6659864,0.14997903,0.9866055,0.85102856,0.8413134,-0.04133832,0.9927866,0.7421324,0.8359007,0.2649782,0.98903316,0.8572079,0.8672927,-0.04500024,0.937611,0.7551565,0.8603588,0.2681357,0.94585323,idle
0.75323117,0.1727193,-0.047413986,0.9998863,0.7611271,0.15153879,-0.06709436,0.9998337,0.7515427,0.15618679,-0.03163156,0.999744,0.7799603,0.14549845,-0.09148717,0.99978125,0.75792104,0.15541431,0.07236463,0.9996167,0.7642881,0.1831945,-0.05002579,0.99959,0.7576278,0.18651432,-0.003241776,0.9994248,0.8415929,0.21102901,-0.11601379,0.99964285,0.7540786,0.24836668,0.15512018,0.9995778,0.7923893,0.28102833,-0.19627038,0.9758554,0.71760726,0.33081403,0.06203746,0.89103687,0.7653241,0.17597461,-0.18525748,0.97414285,0.70844173,0.22404821,-0.18704455,0.9402992,0.82565355,0.4805685,-0.075478785,0.999331,0.7644634,0.48402172,0.07547418,0.99955684,0.82569057,0.6658298,-0.084794596,0.99488217,0.7405318,0.6658625,0.1400207,0.9868216,0.8507783,0.8412526,-0.025009584,0.9927649,0.74181354,0.834675,0.25112304,0.9892401,0.85754156,0.86655396,-0.028138135,0.93398607,0.7548654,0.85870576,0.25482652,0.94606566,idle
0.75295806,0.17328449,-0.06858344,0.99986565,0.76118803,0.15249255,-0.08799935,0.99980855,0.7531216,0.156373,-0.052289344,0.99971485,0.78134567,0.14694268,-0.10361445,0.9997384,0.7630054,0.15564394,0.053489335,0.99955755,0.7641191,0.18435335,-0.07125206,0.9994571,0.7585362,0.18719451,-0.02441927,0.99924225,0.84423274,0.21106693,-0.13148223,0.9995479,0.75997007,0.24916808,0.1387603,0.99951285,0.78435427,0.28357375,-0.2028261,0.97267365,0.7281171,0.33810565,0.03514863,0.8674002,0.7650699,0.17865579,-0.17332187,0.9700674,0.71183914,0.23951168,-0.22645268,0.93244106,0.83083856,0.47942477,-0.074164726,0.9992331,0.7714826,0.4837326,0.074179135,0.9995343,0.83071005,0.6650409,-0.08350064,0.9950059,0.74468285,0.66269946,0.1198629,0.987177,0.85165244,0.84048027,-0.011652024,0.9928292,0.7417773,0.8346571,0.2221562,0.98962945,0.8575571,0.8638454,-0.013645065,0.93267655,0.75479877,0.8586665,0.22467694,0.94671863,idle
0.7556836,0.17543548,-0.007279467,0.9998554,0.7626938,0.15395518,-0.027505314,0.9998023,0.75635535,0.15710656,0.008102744,0.99970925,0.78154415,0.14885797,-0.057641022,0.99973434,0.7660839,0.15656108,0.10377872,0.99954945,0.7660104,0.18665938,-0.013090141,0.99936247,0.7618915,0.18915203,0.033432197,0.99907833,0.8445469,0.2108009,-0.10331092,0.99954623,0.7663015,0.25285274,0.1954129,0.9994603,0.77581394,0.28451458,-0.14410715,0.96812713,0.74730617,0.36057562,0.10128418,0.81002533,0.7542714,0.1928745,-0.04493535,0.9657937,0.7154335,0.2666618,-0.15065798,0.90152335,0.83357984,0.47883072,-0.07142814,0.9992603,0.7754282,0.4837287,0.071459115,0.9995528,0.834375,0.6650594,-0.079691775,0.9949688,0.7449807,0.65996444,0.11882973,0.98763734,0.85071623,0.84511584,-0.007883838,0.9926883,0.74163324,0.8336165,0.22534764,0.9900252,0.85624254,0.87268335,-0.009657501,0.93116957,0.7550938,0.8573248,0.22899719,0.9473162,idle
0.75512135,0.17549723,0.035862945,0.99979645,0.7626535,0.15444615,0.013275805,0.99974,0.7562057,0.1572811,0.051704783,0.99963266,0.7812866,0.14912,-0.03902895,0.99965936,0.7702079,0.15654606,0.13540293,0.999449,0.7654932,0.18722372,0.021102356,0.99893767,0.76214904,0.18977745,0.07136185,0.9983839,0.84507847,0.21017388,-0.10295381,0.99951345,0.7793313,0.25359088,0.22524007,0.9992861,0.7806567,0.28559172,-0.14458464,0.96259737,0.76893103,0.3695254,0.201087,0.739517,0.75281847,0.20101497,-0.041747805,0.9593402,0.7225755,0.29605907,0.04206322,0.8429086,0.8348645,0.47834936,-0.075290136,0.9992384,0.78021115,0.48350087,0.07527461,0.9995375,0.835882,0.6645114,-0.079792,0.9942998,0.74454534,0.65536666,0.10690163,0.98675805,0.8507274,0.844743,-0.0020838361,0.9914543,0.74152315,0.829858,0.21562007,0.98947823,0.85633326,0.87179244,-0.0023065913,0.92031705,0.7549906,0.8535581,0.21992774,0.9448796,idle
0.7548297,0.17800881,0.01844831,0.9997785,0.76249945,0.1564127,-0.0063508973,0.999711,0.75736874,0.15877154,0.03356199,0.99960333,0.78284734,0.1504731,-0.06144259,0.99961406,0.7742201,0.15711674,0.11681457,0.9994234,0.7658218,0.18928337,0.0018675763,0.99880534,0.7633375,0.19202136,0.053672284,0.998243,0.8479785,0.21077211,-0.12146256,0.99949795,0.7886198,0.2569872,0.20936084,0.99928594,0.78302777,0.28320974,-0.17036247,0.959596,0.78404474,0.37699184,0.21558344,0.68315494,0.76298165,0.19223423,-0.07875689,0.9569836,0.7208032,0.3431021,0.085816026,0.80900997,0.838158,0.48441583,-0.07733531,0.99924695,0.7828489,0.48802325,0.07731308,0.99954456,0.8359801,0.66873944,-0.07952957,0.9942308,0.74417627,0.65484834,0.12512639,0.98683125,0.8506379,0.8456277,-0.00034126945,0.9912055,0.7330239,0.82988477,0.23214301,0.989782,0.85545504,0.8733082,-0.00038407845,0.91773957,0.74476635,0.8533172,0.2355622,0.94565386,idle
0.7570633,0.17822787,0.034640685,0.9997484,0.7650207,0.15676264,0.012420917,0.99965936,0.7601769,0.15907207,0.049891934,0.9995344,0.7867428,0.15114643,-0.037852805,0.9995355,0.7768538,0.15743433,0.13114956,0.99937093,0.7684627,0.18949021,0.020989968,0.9985493,0.76577437,0.19222753,0.06964579,0.9979658,0.8506411,0.21142128,-0.09938246,0.99949706,0.7894024,0.25715524,0.21965626,0.9992832,0.7825966,0.28405434,-0.14381276,0.9570144,0.78369004,0.3710148,0.25228736,0.62832195,0.7643768,0.18383053,-0.04636028,0.9567448,0.72143143,0.36320987,0.15054229,0.77042675,0.8416136,0.4878359,-0.074803844,0.99924666,0.7828852,0.4891236,0.07476603,0.99955124,0.8363274,0.6711312,-0.04487409,0.99376154,0.7437521,0.6594315,0.10217096,0.986895,0.8506063,0.8456749,0.07892453,0.9904697,0.7258551,0.83534735,0.21438129,0.99009645,0.8549136,0.87327236,0.0838054,0.9102259,0.7369782,0.85919666,0.21847299,0.9459465,idle
0.7566432,0.17802852,0.033715628,0.9997379,0.7648284,0.15656589,0.012846606,0.99963015,0.7596325,0.15888888,0.04948833,0.9995112,0.7863391,0.15186913,-0.033056658,0.99948853,0.775473,0.15742883,0.13143387,0.9993638,0.76825583,0.1899462,0.02085434,0.99845505,0.7648264,0.19222191,0.06824385,0.9979162,0.8495698,0.21364692,-0.09470827,0.9994631,0.7873696,0.25680178,0.21645442,0.99929696,0.7834927,0.2842416,-0.1476681,0.9505037,0.7754822,0.38025397,0.2392008,0.57573736,0.7648985,0.18773068,-0.050645493,0.95097,0.7316013,0.384844,0.14342183,0.72068554,0.84236795,0.48817015,-0.071615875,0.99925345,0.78463924,0.4892598,0.0715899,0.99956745,0.8371126,0.67345214,-0.042149894,0.99366206,0.7454766,0.6607614,0.09231191,0.9875577,0.8503763,0.8458859,0.0888536,0.9904622,0.72252744,0.8381503,0.21132274,0.99076587,0.8523971,0.87338656,0.09404588,0.9088353,0.7324004,0.86324054,0.21518663,0.94805616,idle
0.7565397,0.17733127,0.06947485,0.99975044,0.7647771,0.15597534,0.049437568,0.99964774,0.7591573,0.15793203,0.08710687,0.99953604,0.7862028,0.15181133,-0.00042231946,0.9995133,0.77591014,0.15695594,0.16777682,0.99939954,0.7678954,0.18969525,0.054368466,0.9984995,0.7642033,0.19167802,0.10272056,0.99799883,0.84605944,0.21452631,-0.07851129,0.999483,0.7901937,0.25488713,0.2527169,0.9993137,0.77690244,0.28363976,-0.10274615,0.9450562,0.77473944,0.38275874,0.25932333,0.5249368,0.76383984,0.18977924,0.047833778,0.9458318,0.7398187,0.40256053,0.14864342,0.666782,0.8418829,0.48416224,-0.07498897,0.99928945,0.78680307,0.4873213,0.07493395,0.99959177,0.8370905,0.6713054,-0.047563996,0.99307394,0.74901,0.6605336,0.09511421,0.9872572,0.8501954,0.8457483,0.058542915,0.989517,0.72172326,0.8386995,0.20164926,0.9909622,0.85235965,0.87309,0.062054664,0.8982432,0.7326234,0.865722,0.20481014,0.9474016,idle
0.75626403,0.17723268,0.0878635,0.9996808,0.7646042,0.15595742,0.0664735,0.99953204,0.75889635,0.15789549,0.1036342,0.99938995,0.7860451,0.1530586,0.013170527,0.9993749,0.7744834,0.15731741,0.17877364,0.99927986,0.76783925,0.18958911,0.072463796,0.99801326,0.7638588,0.1915913,0.120129704,0.9974854,0.8401467,0.21450342,-0.060046323,0.9994721,0.78956205,0.25485557,0.26073197,0.99929744,0.77376837,0.28250614,-0.08456548,0.9393228,0.7793678,0.38456973,0.29924196,0.47759375,0.76028144,0.19252418,0.065271124,0.9413231,0.7515012,0.41210797,0.22905064,0.61531526,0.8403449,0.48439127,-0.073603325,0.9992923,0.7847237,0.4875646,0.07359943,0.9995996,0.83695376,0.6712659,-0.049387958,0.99042815,0.7481812,0.66049725,0.0835525,0.9862,0.8494919,0.84121567,0.07240431,0.9847282,0.7197627,0.83941525,0.19507228,0.99050665,0.8503909,0.8724233,0.07810484,0.87777376,0.7293625,0.86735207,0.19915798,0.9444801,idle
