x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4517691,0.22043122,-0.42754072,0.9999872,0.46487635,0.2045428,-0.41020647,0.99996805,0.43980294,0.20202184,-0.40804976,0.9999443,0.47761282,0.21190944,-0.26365554,0.9999569,0.43044862,0.20934367,-0.25554928,0.9998861,0.46084982,0.24279831,-0.36973974,0.99998266,0.4418625,0.24034168,-0.36736575,0.9999664,0.51916784,0.32196608,-0.13259569,0.9999711,0.39035937,0.30302903,-0.15479521,0.9998908,0.5358201,0.44377905,-0.054349113,0.9900979,0.3363157,0.40216357,-0.17201945,0.9840732,0.540305,0.55453753,-0.16410448,0.9842815,0.3193171,0.49323598,-0.35083893,0.98262125,0.47727498,0.5779096,0.019131087,0.9998852,0.40310603,0.57514155,-0.019184444,0.9999223,0.49242505,0.7281142,0.11798719,0.9959253,0.35687616,0.7331772,0.0057468293,0.99829316,0.49340853,0.8646091,0.44903427,0.99439174,0.322068,0.8643176,0.22552912,0.9968185,0.48063105,0.88559276,0.47308964,0.94946647,0.32898203,0.87857807,0.23824582,0.9491281,idle
0.46214423,0.20878674,-0.43058196,0.9999883,0.47435832,0.19080089,-0.41240257,0.99997044,0.44987783,0.19088814,-0.41044635,0.99994934,0.48802748,0.19795474,-0.26616198,0.9999591,0.4390216,0.19918759,-0.25940758,0.99989647,0.47053272,0.23149377,-0.37331486,0.999984,0.45386544,0.2305802,-0.371235,0.9999695,0.52909017,0.30833387,-0.1410937,0.9999725,0.40162334,0.30030063,-0.15825655,0.9999008,0.5515533,0.4296191,-0.059486218,0.9902694,0.35387474,0.40266418,-0.14543754,0.9850544,0.55487317,0.5414733,-0.18162824,0.9847009,0.34611735,0.50400317,-0.30348393,0.98317236,0.49120885,0.5692201,0.016061964,0.99988705,0.41758332,0.5653107,-0.016141616,0.99992454,0.4992021,0.7274214,0.09430562,0.996078,0.38176137,0.7219938,0.037015114,0.99835235,0.4961637,0.8661846,0.42364717,0.9945585,0.34356195,0.85916543,0.3091296,0.9969347,0.48471555,0.885325,0.4477718,0.950996,0.34870577,0.87221086,0.32795188,0.9498248,idle
0.46684718,0.19382876,-0.4213535,0.9999891,0.4805627,0.17683554,-0.40245566,0.9999716,0.4546751,0.17682797,-0.40021625,0.9999529,0.49537873,0.18412645,-0.25610775,0.9999587,0.44543085,0.18403819,-0.24736638,0.99990404,0.4752907,0.21581508,-0.36437038,0.99998504,0.45943713,0.21584333,-0.36172563,0.99997205,0.53544486,0.29746526,-0.13465276,0.99997365,0.40786305,0.29374886,-0.14995405,0.99990857,0.5610321,0.41677064,-0.048263915,0.9900495,0.36752042,0.399433,-0.08784784,0.985569,0.56156325,0.53083915,-0.17715037,0.9842098,0.3649614,0.50831443,-0.20885651,0.98278123,0.4992044,0.55940247,0.0146705005,0.99988973,0.42696896,0.5559672,-0.014737718,0.99992085,0.5020225,0.72554743,0.060923476,0.9961462,0.39817554,0.7201468,0.05754637,0.99832344,0.5021141,0.8654421,0.38824767,0.99454254,0.37379035,0.84722334,0.38968417,0.9968175,0.49025974,0.8845202,0.41243458,0.9505895,0.37977168,0.8561022,0.41585398,0.9468261,idle
0.47220182,0.18121192,-0.42182595,0.99998945,0.486193,0.16302164,-0.40298945,0.99997133,0.45972165,0.16351002,-0.40012893,0.99995476,0.5015198,0.17036992,-0.25664255,0.9999562,0.44989586,0.17269251,-0.24460554,0.9999086,0.48093873,0.20209952,-0.36469513,0.9999858,0.4645907,0.20291081,-0.36117122,0.9999742,0.5438376,0.28624135,-0.1363081,0.9999743,0.41331655,0.2818624,-0.14879158,0.9999146,0.5642493,0.4097273,-0.049586684,0.9895114,0.37947378,0.3963147,-0.06654189,0.9855982,0.56842065,0.52134824,-0.1764628,0.98308295,0.38009793,0.50737596,-0.18569282,0.9815949,0.509497,0.54718626,0.010628719,0.9998901,0.43504062,0.5456303,-0.010700962,0.9999133,0.5095398,0.71580786,0.024472509,0.9960851,0.41974497,0.7206497,0.042844716,0.99819404,0.50660145,0.8597943,0.38762692,0.99411815,0.4112429,0.83876824,0.393501,0.99627835,0.49701324,0.87118685,0.4128352,0.9471461,0.41509873,0.8432496,0.42230153,0.9402606,idle
0.49362034,0.17401533,-0.3453477,0.9999903,0.50779015,0.15683436,-0.32799932,0.9999729,0.48121086,0.1559839,-0.33120996,0.9999585,0.5192219,0.16512579,-0.20324776,0.99995726,0.46740836,0.16532913,-0.22910425,0.9999168,0.5005232,0.19546732,-0.2958309,0.99998695,0.48394457,0.19484776,-0.30050743,0.99997663,0.5533055,0.27644756,-0.11011598,0.9999753,0.4265849,0.26838776,-0.14639981,0.99992234,0.5781997,0.40241522,-0.008633549,0.988874,0.40567008,0.39990863,-0.11258833,0.9864044,0.5870672,0.51319945,-0.08974212,0.9831675,0.42956123,0.51487625,-0.21603501,0.98240924,0.53693163,0.53458613,0.008273175,0.9998867,0.46600962,0.538188,-0.008386539,0.99991095,0.5554076,0.7036646,0.047779337,0.9959401,0.4802876,0.70791996,0.058406103,0.9977433,0.5589439,0.8354915,0.35561085,0.99353725,0.48983517,0.84241086,0.357008,0.9958113,0.5469538,0.84773767,0.37792447,0.9420161,0.49837598,0.8497432,0.38989168,0.9375666,idle
0.501737,0.17938988,-0.35845536,0.9999909,0.5140537,0.16240415,-0.33934063,0.99997383,0.4888044,0.16091466,-0.34171036,0.9999616,0.5256872,0.17178048,-0.20252919,0.9999571,0.47465506,0.1690719,-0.22607645,0.999924,0.5091425,0.20146857,-0.30472562,0.99998784,0.49234432,0.19994785,-0.30884606,0.9999788,0.55843383,0.28105026,-0.097942576,0.9999756,0.431511,0.27216786,-0.14426437,0.99992913,0.5826539,0.40743348,-0.00018162023,0.9872908,0.41186795,0.40990713,-0.12156536,0.98707193,0.59554154,0.5170972,-0.10738386,0.98215276,0.4395578,0.5230249,-0.25428328,0.9828314,0.5495487,0.5417737,0.010323223,0.9998895,0.47593293,0.5425264,-0.010394117,0.9999124,0.5747838,0.70473135,0.065488055,0.9959832,0.48296228,0.70916015,0.06933908,0.99764365,0.58119196,0.83882457,0.36048287,0.9932332,0.48534665,0.84443,0.36130124,0.99551606,0.5692286,0.85266757,0.38557264,0.9412912,0.4905634,0.8531916,0.38562948,0.9355021,idle
0.50763875,0.18441643,-0.3521728,0.9999915,0.51976687,0.1673699,-0.33030182,0.9999752,0.49479094,0.1660127,-0.33424768,0.99996454,0.530857,0.17551377,-0.18732873,0.99995774,0.48018855,0.17390364,-0.21793048,0.9999302,0.5162561,0.20610848,-0.29781526,0.9999886,0.4981993,0.20477523,-0.30418327,0.9999807,0.56346893,0.2866639,-0.091083564,0.99997646,0.43719167,0.2766804,-0.13669573,0.99993455,0.5865813,0.41107985,-0.014368383,0.9864772,0.4208819,0.42059708,-0.13763452,0.9874875,0.600824,0.5192071,-0.13407668,0.9825939,0.4470939,0.53287435,-0.30050844,0.98322284,0.55878437,0.5428429,0.012526694,0.999896,0.48390493,0.5538331,-0.012606064,0.99991596,0.58925575,0.70694566,0.06584906,0.9961076,0.48393694,0.7103681,0.07289144,0.99760103,0.60580003,0.8404576,0.3610548,0.9932845,0.48368588,0.8457171,0.37833378,0.99538434,0.59225416,0.8553383,0.3839948,0.9417464,0.49081454,0.8543312,0.40262088,0.9335413,idle
0.5153522,0.18610552,-0.37562066,0.9999919,0.5278897,0.17164694,-0.3500219,0.9999759,0.5025379,0.16726883,-0.3590474,0.9999667,0.53705454,0.18113916,-0.18871869,0.99995595,0.4872206,0.17779459,-0.23756218,0.9999349,0.52379495,0.20709458,-0.31717446,0.9999891,0.50623864,0.20549554,-0.32986766,0.99998224,0.569069,0.2914429,-0.0932711,0.9999762,0.4424793,0.28915274,-0.14868104,0.99993867,0.5896148,0.41500437,-0.0261677,0.9844892,0.42578846,0.4319082,-0.14915453,0.9876712,0.6051296,0.51986784,-0.14875814,0.98197323,0.454063,0.54574,-0.3071356,0.98298365,0.56540644,0.55444753,0.014227728,0.999902,0.49015966,0.5699165,-0.014308314,0.9999188,0.60075843,0.7134396,0.06257306,0.99633896,0.48419333,0.7142924,0.09760992,0.99763536,0.62363684,0.85281986,0.33019352,0.9936373,0.48511368,0.84921587,0.42823362,0.99542135,0.6135748,0.86870944,0.3480727,0.9439048,0.4922336,0.8558062,0.45380694,0.93333656,idle
0.521976,0.19756572,-0.39188474,0.9999922,0.5340861,0.18313445,-0.36683124,0.9999764,0.50966305,0.17868552,-0.37510616,0.99996835,0.54346436,0.19210264,-0.20197482,0.9999531,0.49521226,0.19028984,-0.24719286,0.9999389,0.53006375,0.21672192,-0.33186418,0.99998933,0.51330996,0.2163188,-0.34349918,0.99998355,0.57612216,0.3035437,-0.10192861,0.9999754,0.4504412,0.30168504,-0.15911555,0.99994236,0.59294593,0.42746976,-0.06108851,0.9804042,0.43335924,0.4404957,-0.15603974,0.9877693,0.611953,0.52942085,-0.23749045,0.9796697,0.45994648,0.5555542,-0.30497974,0.9818381,0.5712741,0.56740016,0.01548059,0.99990845,0.4970891,0.5814391,-0.01553995,0.99992216,0.61105657,0.7257115,0.060744505,0.9965534,0.4879826,0.7274163,0.1285735,0.9976626,0.6353196,0.8699964,0.29520872,0.9940298,0.4860583,0.8551406,0.47548166,0.9954435,0.6266681,0.88708955,0.30947733,0.94660324,0.49096507,0.86231893,0.5023807,0.93281275,idle
0.52766496,0.20944984,-0.40695333,0.9999926,0.5400713,0.19425908,-0.38348672,0.99997747,0.515539,0.1904004,-0.39006057,0.99997056,0.5500012,0.20312695,-0.22783343,0.99995196,0.50104797,0.20226455,-0.26341313,0.9999436,0.535896,0.22889748,-0.34892172,0.9999898,0.5191299,0.22910528,-0.35848948,0.9999849,0.58315337,0.31474477,-0.12286496,0.9999753,0.45764273,0.31358626,-0.17938057,0.9999465,0.6033453,0.4383358,-0.07449925,0.9782327,0.44036,0.4504424,-0.17733297,0.9882328,0.6197084,0.5433659,-0.23856068,0.97907376,0.4671677,0.56530297,-0.31738582,0.9817423,0.57785213,0.57838833,0.017216258,0.9999159,0.5053544,0.5897237,-0.01727594,0.9999275,0.6170785,0.73430043,0.09484604,0.99671793,0.49474773,0.73206896,0.17660183,0.99762636,0.63835293,0.8767817,0.30748352,0.9943993,0.48843256,0.8551586,0.5360546,0.9953757,0.6288298,0.893912,0.32050616,0.9497105,0.4924655,0.86254674,0.56522644,0.9321718,idle
