x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4651986,0.23066288,-0.38577178,0.99999833,0.4799409,0.20928565,-0.36285567,0.9999968,0.45039368,0.21030736,-0.3602159,0.9999968,0.49421653,0.21613047,-0.19149216,0.99999785,0.4407777,0.21713959,-0.18107028,0.9999982,0.47670978,0.2501401,-0.31887108,0.99999964,0.4549946,0.25177953,-0.31636247,0.99999964,0.5490572,0.32778022,-0.080987826,0.99999285,0.40112537,0.33212143,-0.047155418,0.9999784,0.600032,0.4542229,-0.18484157,0.9985569,0.36440092,0.45294082,-0.15185864,0.9936453,0.56052405,0.46748465,-0.5058158,0.9980708,0.3779121,0.47434253,-0.5216494,0.99337244,0.51857704,0.5981972,-0.014124389,0.99922585,0.43408594,0.6031369,0.01422297,0.99914503,0.528987,0.83250415,-0.08754451,0.81929976,0.4343881,0.8165233,-0.043961357,0.8276016,0.5326184,0.9912137,0.2118924,0.38088572,0.44236907,0.98103344,0.22439794,0.5820288,0.5390084,1.0284216,0.23155382,0.21626492,0.4470912,1.0294298,0.24357188,0.38255844,idle
0.46937594,0.23411053,-0.24388452,0.99999845,0.48425388,0.21342234,-0.22011843,0.999997,0.4546535,0.21471049,-0.21896923,0.999997,0.4998837,0.22151296,-0.057552706,0.99999803,0.44363052,0.22271493,-0.050730396,0.99999833,0.48017755,0.25403807,-0.18075046,0.99999964,0.45826235,0.25536305,-0.17931083,0.99999964,0.55215275,0.32860988,0.041532066,0.9999934,0.4043931,0.33538923,0.05997446,0.9999799,0.6028284,0.4625128,-0.05471722,0.9986411,0.36564523,0.4635359,-0.039413955,0.99416184,0.56048644,0.45831305,-0.3517744,0.9982191,0.3807928,0.46834165,-0.3796261,0.9939299,0.52372324,0.6295211,-0.0063413144,0.9992963,0.43470016,0.63293594,0.0066548623,0.99921805,0.53642154,0.8898981,-0.08783844,0.8349969,0.43352574,0.8865191,-0.018617127,0.841798,0.54730093,1.0620967,0.20497422,0.40613312,0.43276238,1.0376315,0.29196903,0.58528185,0.54604495,1.0882372,0.22308251,0.22131117,0.43973732,1.0593499,0.3156721,0.37020585,idle
0.4797333,0.23528649,-0.2183088,0.99999845,0.4946025,0.21440147,-0.1943483,0.99999714,0.46554422,0.21555263,-0.19320668,0.99999714,0.50983816,0.22221297,-0.029597426,0.9999981,0.45200595,0.22369651,-0.023719508,0.9999984,0.4882502,0.2555193,-0.15416431,0.99999964,0.4676116,0.25652254,-0.15288255,0.99999964,0.55881375,0.331029,0.071002625,0.99999386,0.41084957,0.33532715,0.08506929,0.999981,0.61093426,0.46634096,-0.022755053,0.998648,0.36978814,0.4731933,-0.023210255,0.99452925,0.56705034,0.4562444,-0.30797756,0.9983055,0.38962227,0.45447487,-0.35835564,0.9943817,0.5314212,0.6417029,-0.000699128,0.999356,0.4392582,0.6434662,0.0010570643,0.99927384,0.54512775,0.89743686,-0.11993383,0.846327,0.4352943,0.89530253,-0.013152492,0.8507335,0.5624844,1.0890635,0.16733739,0.4197382,0.43382463,1.0538998,0.3354218,0.57641715,0.556636,1.1155407,0.18589696,0.22378016,0.4402662,1.072775,0.36430874,0.35374323,idle
0.4872907,0.23575385,-0.21145555,0.9999985,0.50225174,0.21479581,-0.1873465,0.99999726,0.47351527,0.21566488,-0.1865579,0.99999726,0.5168525,0.22233944,-0.026411459,0.99999815,0.45909077,0.22368342,-0.022742335,0.99999845,0.49531096,0.25601313,-0.1492581,0.99999964,0.4756449,0.2568927,-0.14858223,0.99999964,0.5640914,0.33218658,0.06656228,0.9999943,0.41599244,0.33544073,0.08678105,0.9999821,0.6166579,0.46884352,-0.022395065,0.9987038,0.37398663,0.47732228,-0.015892023,0.99492025,0.57049817,0.45402738,-0.29989108,0.99841195,0.39585075,0.44949916,-0.34807345,0.99485517,0.5376976,0.6434328,-0.00171715,0.9994097,0.44457644,0.6456939,0.0020708828,0.99932367,0.5472785,0.8955896,-0.13781665,0.8547207,0.4395805,0.8961957,-0.01058329,0.85608363,0.56683475,1.0901196,0.13106225,0.41360205,0.43844756,1.0567187,0.32389873,0.55171835,0.5623006,1.1170908,0.14818306,0.2161597,0.4442945,1.0758786,0.3515621,0.3335992,idle
0.49569196,0.23573257,-0.22381982,0.99999857,0.51211655,0.21468791,-0.20057163,0.99999744,0.4828674,0.2155567,-0.1991481,0.99999744,0.52721053,0.22228076,-0.040357243,0.9999983,0.468584,0.22355375,-0.03456297,0.99999857,0.5046799,0.25595406,-0.16179723,0.99999964,0.4857428,0.25682756,-0.16042332,0.99999964,0.57384795,0.3336319,0.059564393,0.9999946,0.42404062,0.3353953,0.076082975,0.99998313,0.6268742,0.47576207,-0.031713717,0.9987869,0.38266233,0.4777726,-0.023115644,0.9953161,0.5823592,0.4541565,-0.317502,0.99853206,0.40606633,0.44929317,-0.3526917,0.9953046,0.54399836,0.6484247,-0.00054000795,0.99945587,0.4508615,0.6479837,0.0009319081,0.9993694,0.5513892,0.8996423,-0.1152186,0.86228955,0.44484586,0.8932468,-0.00856161,0.86431324,0.56779855,1.0979886,0.13875718,0.40219894,0.4400827,1.0704408,0.2970065,0.53424793,0.5628349,1.1256479,0.15567647,0.21000908,0.4453501,1.0918406,0.3213207,0.3181903,idle
0.50082195,0.23566827,-0.19920565,0.9999986,0.5171955,0.21459529,-0.1742408,0.99999756,0.4876214,0.21546708,-0.1735741,0.99999756,0.5322638,0.22213347,-0.014402993,0.9999984,0.47404927,0.2234147,-0.012132359,0.9999986,0.5096904,0.2558682,-0.137997,0.99999964,0.4903091,0.2567619,-0.13762814,0.99999964,0.57892495,0.33440432,0.0711929,0.9999949,0.42905325,0.3353605,0.08943369,0.9999838,0.628673,0.47566757,-0.022599492,0.99887395,0.38824376,0.47692642,-0.01492996,0.9956752,0.5846672,0.45456716,-0.29528603,0.9986512,0.41264597,0.44916734,-0.3324916,0.995721,0.5480857,0.6519864,-0.000902599,0.99949825,0.4547258,0.6512149,0.0013120295,0.9994111,0.55500036,0.9043961,-0.11471486,0.8687902,0.44834512,0.89695674,-0.011564079,0.8705737,0.567973,1.1019038,0.16074155,0.38537303,0.44780517,1.0791996,0.2699172,0.51221365,0.5637464,1.1293267,0.1788084,0.20087516,0.45253778,1.101937,0.29034132,0.30133432,idle
0.5065533,0.23566923,-0.19972292,0.9999987,0.5229451,0.21455862,-0.17411637,0.9999977,0.4934658,0.21541384,-0.17474899,0.9999977,0.53750205,0.22206064,-0.00869563,0.99999845,0.47909108,0.2232879,-0.01245847,0.9999987,0.51503253,0.25585517,-0.1361577,0.99999964,0.49555025,0.25671902,-0.1374802,0.99999964,0.5834106,0.33498996,0.08192139,0.9999952,0.43268567,0.3352221,0.09091474,0.9999844,0.63244987,0.47580862,-0.01272206,0.99895144,0.39372605,0.47686413,-0.014589211,0.996004,0.5881089,0.45363238,-0.2989486,0.9987581,0.4180686,0.44924885,-0.33615917,0.99609727,0.5525014,0.6521508,0.00054765504,0.9995334,0.4593521,0.65136445,-8.4561056e-05,0.9994445,0.55885446,0.90771663,-0.10276811,0.8772808,0.45047063,0.8982486,-0.012294891,0.8786363,0.5678206,1.108066,0.17186794,0.37967405,0.44793582,1.0865294,0.24773102,0.5005974,0.5635692,1.1353333,0.1896171,0.19646004,0.45238748,1.1096785,0.26694173,0.28949913,idle
0.5115806,0.23570085,-0.18296097,0.9999987,0.5278334,0.21460281,-0.15696155,0.9999978,0.49869958,0.21536441,-0.15808451,0.99999774,0.54138124,0.22226116,0.0105117075,0.9999985,0.48326665,0.22305413,0.0041827885,0.99999875,0.5195667,0.25591236,-0.11849888,0.9999996,0.49985534,0.2566764,-0.12057457,0.9999996,0.5874373,0.33551353,0.1022671,0.9999954,0.43576273,0.33504173,0.109926105,0.9999848,0.63512,0.4787202,0.0122876,0.99902767,0.3951631,0.47672412,0.007842414,0.99632007,0.58794194,0.45389202,-0.26638073,0.9988585,0.41961703,0.4492877,-0.30545002,0.99643964,0.5557756,0.6536158,0.003648692,0.99956787,0.46238247,0.6523627,-0.0031570215,0.99947965,0.5616169,0.91268265,-0.10258315,0.8863926,0.45242923,0.90488565,-0.037251823,0.8871445,0.5691761,1.1097244,0.1952727,0.37655744,0.4486575,1.0935042,0.22848256,0.49307364,0.5647063,1.1357204,0.21675333,0.19359249,0.45238876,1.1165792,0.24808247,0.27877346,idle
0.51546526,0.23570608,-0.19710168,0.99999875,0.5310785,0.21463521,-0.17107064,0.9999979,0.5022589,0.21531792,-0.17254296,0.99999785,0.543363,0.22271189,-0.0016507056,0.99999857,0.48580962,0.22270173,-0.009763813,0.9999988,0.5228976,0.25603664,-0.13182594,0.9999996,0.5032134,0.25664175,-0.134457,0.9999995,0.587984,0.3354563,0.08862896,0.99999565,0.43733,0.33428863,0.10149996,0.9999852,0.6366245,0.47785956,-9.751738e-05,0.9991036,0.3963624,0.47664335,-0.0015090349,0.99661505,0.58992755,0.4541368,-0.28248554,0.99895453,0.42164126,0.4477579,-0.32145086,0.99676096,0.5569264,0.65342164,0.002931382,0.9995986,0.46368784,0.65307075,-0.0024447371,0.99951094,0.5617765,0.9128921,-0.10236933,0.8936167,0.45338616,0.9067082,-0.029422468,0.8937959,0.5691311,1.1120914,0.1897184,0.36085096,0.45347992,1.0943037,0.23590429,0.47446257,0.5649844,1.1392348,0.20992145,0.18583182,0.45732683,1.1188737,0.25562233,0.26617455,idle
0.5172642,0.23570459,-0.18314141,0.99999875,0.5326859,0.2146129,-0.1573965,0.999998,0.50392914,0.21528238,-0.15870991,0.9999979,0.5447048,0.2226834,0.012517269,0.9999986,0.48784223,0.22251835,0.0055005644,0.99999887,0.5242052,0.25611043,-0.11734496,0.9999995,0.50454414,0.25661525,-0.11966424,0.99999946,0.58949864,0.3353959,0.10693787,0.9999959,0.4405139,0.33338735,0.11740051,0.9999856,0.63936496,0.47822797,0.020924754,0.9991697,0.39798138,0.4762534,0.017855164,0.9968845,0.5939279,0.4543004,-0.25610304,0.9990363,0.4234329,0.4453031,-0.29553744,0.99704707,0.5580756,0.6536001,0.0032581582,0.9996282,0.4646159,0.65231776,-0.0027529113,0.99954337,0.5624658,0.91457886,-0.102266386,0.9008096,0.4553949,0.9072691,-0.038477123,0.90067595,0.56981885,1.114585,0.20109066,0.35183138,0.45501432,1.100048,0.22853693,0.4637318,0.56588596,1.140976,0.2228368,0.1810267,0.45862713,1.1244483,0.24812846,0.25679138,idle
